Epoch,Train Accuracy,Validation Accuracy
1,0.5055,0.6269
2,0.67746,0.7075
3,0.74064,0.7295
4,0.78262,0.7429
5,0.817,0.7562
6,0.8457,0.7552
7,0.8744,0.7547
8,0.89614,0.7645
9,0.92294,0.7608
10,0.93922,0.7653
11,0.95294,0.7461
12,0.96418,0.7645
13,0.96612,0.7637
14,0.9753,0.7592
15,0.97286,0.7592
16,0.97148,0.7534
17,0.97688,0.7441
18,0.9745,0.757
19,0.98112,0.7505
20,0.98492,0.7553
21,0.97854,0.7564
22,0.97804,0.7493
23,0.98136,0.7547
24,0.98414,0.7555
25,0.9822,0.7561
26,0.98248,0.7496
27,0.98338,0.7555
28,0.98414,0.7487
29,0.98626,0.7538
30,0.98612,0.7547
31,0.98684,0.7609
32,0.98222,0.7541
33,0.98268,0.7611
34,0.98828,0.7491
35,0.98632,0.7501
36,0.98608,0.7483
37,0.98648,0.7584
38,0.98662,0.7553
39,0.98888,0.7538
40,0.986,0.7528
41,0.98614,0.7601
42,0.98768,0.7607
43,0.98816,0.7509
44,0.98742,0.7497
45,0.9881,0.7598
46,0.988,0.7586
47,0.99008,0.7585
48,0.98976,0.763
49,0.9877,0.7454
50,0.98656,0.7572
51,0.9906,0.7601
52,0.98996,0.7411
53,0.98468,0.7543
54,0.99134,0.7517
55,0.98852,0.7449
56,0.98954,0.7586
57,0.99082,0.7564
58,0.99078,0.7484
59,0.9857,0.7556
60,0.98864,0.7525
61,0.99202,0.7601
62,0.99248,0.7488
63,0.9877,0.7488
64,0.9877,0.7471
65,0.99036,0.7557
66,0.99194,0.7497
67,0.9918,0.7534
68,0.98922,0.7512
69,0.989,0.7565
70,0.99162,0.7509
71,0.9915,0.7516
72,0.98946,0.7515
73,0.9901,0.7501
74,0.9924,0.7536
75,0.99114,0.7546
76,0.99146,0.7497
77,0.99278,0.7497
78,0.99118,0.749
79,0.98978,0.7552
80,0.99134,0.7514
81,0.99156,0.7544
82,0.99134,0.7527
83,0.99248,0.7518
84,0.99206,0.7547
85,0.99028,0.7558
86,0.98992,0.7471
87,0.99218,0.7515
88,0.9907,0.7561
89,0.99352,0.7563
90,0.99148,0.7527
91,0.99154,0.7505
92,0.99224,0.7486
93,0.99226,0.7492
94,0.99298,0.7509
95,0.99118,0.7481
96,0.99048,0.7533
97,0.9927,0.7503
98,0.99282,0.7519
99,0.99184,0.7463
100,0.9924,0.7495
