200
200
Label to index mapping is the same
Train Epoch: 0/100	Average Training Loss: 5.030330	Accuracy: 5465/100000 (5%)
Train Epoch: 1/100	Average Training Loss: 4.261477	Accuracy: 14880/100000 (15%)
Train Epoch: 2/100	Average Training Loss: 3.710200	Accuracy: 22375/100000 (22%)
Train Epoch: 3/100	Average Training Loss: 3.366899	Accuracy: 27897/100000 (28%)
Train Epoch: 4/100	Average Training Loss: 3.107031	Accuracy: 32136/100000 (32%)
Train Epoch: 5/100	Average Training Loss: 2.884150	Accuracy: 36075/100000 (36%)
Train Epoch: 6/100	Average Training Loss: 2.670134	Accuracy: 39179/100000 (39%)
Train Epoch: 7/100	Average Training Loss: 2.466522	Accuracy: 45455/100000 (45%)
Train Epoch: 8/100	Average Training Loss: 2.252564	Accuracy: 51831/100000 (52%)
Train Epoch: 9/100	Average Training Loss: 2.025672	Accuracy: 55737/100000 (56%)
Train Epoch: 10/100	Average Training Loss: 1.793210	Accuracy: 59717/100000 (60%)
Train Epoch: 11/100	Average Training Loss: 1.535653	Accuracy: 65983/100000 (66%)
Train Epoch: 12/100	Average Training Loss: 1.282605	Accuracy: 74447/100000 (74%)
Train Epoch: 13/100	Average Training Loss: 1.028391	Accuracy: 79988/100000 (80%)
Train Epoch: 14/100	Average Training Loss: 0.800222	Accuracy: 81070/100000 (81%)
Train Epoch: 15/100	Average Training Loss: 0.608666	Accuracy: 85168/100000 (85%)
Train Epoch: 16/100	Average Training Loss: 0.467487	Accuracy: 88853/100000 (89%)
Train Epoch: 17/100	Average Training Loss: 0.369944	Accuracy: 89124/100000 (89%)
Train Epoch: 18/100	Average Training Loss: 0.327340	Accuracy: 89996/100000 (90%)
Train Epoch: 19/100	Average Training Loss: 0.289507	Accuracy: 91666/100000 (92%)
Train Epoch: 20/100	Average Training Loss: 0.254426	Accuracy: 92128/100000 (92%)
Train Epoch: 21/100	Average Training Loss: 0.243046	Accuracy: 91498/100000 (91%)
Train Epoch: 22/100	Average Training Loss: 0.227870	Accuracy: 93178/100000 (93%)
Train Epoch: 23/100	Average Training Loss: 0.199391	Accuracy: 93370/100000 (93%)
Train Epoch: 24/100	Average Training Loss: 0.211806	Accuracy: 95242/100000 (95%)
Train Epoch: 25/100	Average Training Loss: 0.187340	Accuracy: 92677/100000 (93%)
Train Epoch: 26/100	Average Training Loss: 0.185675	Accuracy: 95478/100000 (95%)
Train Epoch: 27/100	Average Training Loss: 0.176246	Accuracy: 93983/100000 (94%)
Train Epoch: 28/100	Average Training Loss: 0.173119	Accuracy: 91965/100000 (92%)
Train Epoch: 29/100	Average Training Loss: 0.160339	Accuracy: 92119/100000 (92%)
Train Epoch: 30/100	Average Training Loss: 0.153486	Accuracy: 97719/100000 (98%)
Train Epoch: 31/100	Average Training Loss: 0.150827	Accuracy: 93795/100000 (94%)
Train Epoch: 32/100	Average Training Loss: 0.146690	Accuracy: 95463/100000 (95%)
Train Epoch: 33/100	Average Training Loss: 0.137582	Accuracy: 95981/100000 (96%)
Train Epoch: 34/100	Average Training Loss: 0.145960	Accuracy: 95093/100000 (95%)
Train Epoch: 35/100	Average Training Loss: 0.130244	Accuracy: 94570/100000 (95%)
Train Epoch: 36/100	Average Training Loss: 0.133704	Accuracy: 96507/100000 (97%)
Train Epoch: 37/100	Average Training Loss: 0.116730	Accuracy: 96049/100000 (96%)
Train Epoch: 38/100	Average Training Loss: 0.112924	Accuracy: 96012/100000 (96%)
Train Epoch: 39/100	Average Training Loss: 0.114755	Accuracy: 96768/100000 (97%)
Train Epoch: 40/100	Average Training Loss: 0.128561	Accuracy: 96002/100000 (96%)
Train Epoch: 41/100	Average Training Loss: 0.098734	Accuracy: 93488/100000 (93%)
Train Epoch: 42/100	Average Training Loss: 0.126497	Accuracy: 94633/100000 (95%)
Train Epoch: 43/100	Average Training Loss: 0.078351	Accuracy: 95294/100000 (95%)
Train Epoch: 44/100	Average Training Loss: 0.135644	Accuracy: 96582/100000 (97%)
Train Epoch: 45/100	Average Training Loss: 0.085373	Accuracy: 94935/100000 (95%)
Train Epoch: 46/100	Average Training Loss: 0.112883	Accuracy: 95667/100000 (96%)
Train Epoch: 47/100	Average Training Loss: 0.100661	Accuracy: 94722/100000 (95%)
Train Epoch: 48/100	Average Training Loss: 0.089854	Accuracy: 97751/100000 (98%)
Train Epoch: 49/100	Average Training Loss: 0.102792	Accuracy: 96782/100000 (97%)
Train Epoch: 50/100	Average Training Loss: 0.098667	Accuracy: 98304/100000 (98%)
Train Epoch: 51/100	Average Training Loss: 0.082525	Accuracy: 97314/100000 (97%)
Train Epoch: 52/100	Average Training Loss: 0.087939	Accuracy: 96566/100000 (97%)
Train Epoch: 53/100	Average Training Loss: 0.096507	Accuracy: 96414/100000 (96%)
Train Epoch: 54/100	Average Training Loss: 0.080965	Accuracy: 95445/100000 (95%)
Train Epoch: 55/100	Average Training Loss: 0.092601	Accuracy: 97553/100000 (98%)
Train Epoch: 56/100	Average Training Loss: 0.070558	Accuracy: 96329/100000 (96%)
Train Epoch: 57/100	Average Training Loss: 0.101809	Accuracy: 97422/100000 (97%)
Train Epoch: 58/100	Average Training Loss: 0.054756	Accuracy: 96815/100000 (97%)
