200
200
Label to index mapping is the same
Train Epoch: 0/100	Average Training Loss: 4.247105	Accuracy: 18878/100000 (19%)
Train Epoch: 1/100	Average Training Loss: 3.432321	Accuracy: 28434/100000 (28%)
Train Epoch: 2/100	Average Training Loss: 3.039905	Accuracy: 35152/100000 (35%)
Train Epoch: 3/100	Average Training Loss: 2.722898	Accuracy: 41555/100000 (42%)
Train Epoch: 4/100	Average Training Loss: 2.426094	Accuracy: 47836/100000 (48%)
Train Epoch: 5/100	Average Training Loss: 2.127568	Accuracy: 55562/100000 (56%)
Train Epoch: 6/100	Average Training Loss: 1.800186	Accuracy: 63493/100000 (63%)
Train Epoch: 7/100	Average Training Loss: 1.455191	Accuracy: 72035/100000 (72%)
Train Epoch: 8/100	Average Training Loss: 1.088636	Accuracy: 79886/100000 (80%)
Train Epoch: 9/100	Average Training Loss: 0.754347	Accuracy: 85775/100000 (86%)
Train Epoch: 10/100	Average Training Loss: 0.515171	Accuracy: 89189/100000 (89%)
Train Epoch: 11/100	Average Training Loss: 0.358653	Accuracy: 91816/100000 (92%)
Train Epoch: 12/100	Average Training Loss: 0.287301	Accuracy: 92450/100000 (92%)
Train Epoch: 13/100	Average Training Loss: 0.268378	Accuracy: 92243/100000 (92%)
Train Epoch: 14/100	Average Training Loss: 0.243489	Accuracy: 93691/100000 (94%)
Train Epoch: 15/100	Average Training Loss: 0.203815	Accuracy: 94288/100000 (94%)
Train Epoch: 16/100	Average Training Loss: 0.207591	Accuracy: 94170/100000 (94%)
Train Epoch: 17/100	Average Training Loss: 0.185373	Accuracy: 95283/100000 (95%)
Train Epoch: 18/100	Average Training Loss: 0.162493	Accuracy: 94035/100000 (94%)
Train Epoch: 19/100	Average Training Loss: 0.179653	Accuracy: 95361/100000 (95%)
Train Epoch: 20/100	Average Training Loss: 0.150043	Accuracy: 95555/100000 (96%)
Train Epoch: 21/100	Average Training Loss: 0.146958	Accuracy: 96015/100000 (96%)
Train Epoch: 22/100	Average Training Loss: 0.146093	Accuracy: 95977/100000 (96%)
Train Epoch: 23/100	Average Training Loss: 0.137297	Accuracy: 96369/100000 (96%)
Train Epoch: 24/100	Average Training Loss: 0.125418	Accuracy: 96210/100000 (96%)
Train Epoch: 25/100	Average Training Loss: 0.126961	Accuracy: 96647/100000 (97%)
Train Epoch: 26/100	Average Training Loss: 0.119841	Accuracy: 96576/100000 (97%)
