200
200
Label to index mapping is the same
Train Epoch: 0/100	Average Training Loss: 4.256294	Accuracy: 18723/100000 (19%)
Train Epoch: 1/100	Average Training Loss: 3.404117	Accuracy: 28924/100000 (29%)
Train Epoch: 2/100	Average Training Loss: 2.979973	Accuracy: 37154/100000 (37%)
Train Epoch: 3/100	Average Training Loss: 2.620819	Accuracy: 45621/100000 (46%)
Train Epoch: 4/100	Average Training Loss: 2.257071	Accuracy: 53962/100000 (54%)
Train Epoch: 5/100	Average Training Loss: 1.860826	Accuracy: 65540/100000 (66%)
Train Epoch: 6/100	Average Training Loss: 1.394323	Accuracy: 76382/100000 (76%)
Train Epoch: 7/100	Average Training Loss: 0.908530	Accuracy: 86785/100000 (87%)
Train Epoch: 8/100	Average Training Loss: 0.500869	Accuracy: 91404/100000 (91%)
Train Epoch: 9/100	Average Training Loss: 0.302760	Accuracy: 93163/100000 (93%)
Train Epoch: 10/100	Average Training Loss: 0.242628	Accuracy: 94238/100000 (94%)
Train Epoch: 11/100	Average Training Loss: 0.205398	Accuracy: 94531/100000 (95%)
Train Epoch: 12/100	Average Training Loss: 0.190860	Accuracy: 95182/100000 (95%)
Train Epoch: 13/100	Average Training Loss: 0.165034	Accuracy: 95951/100000 (96%)
Train Epoch: 14/100	Average Training Loss: 0.148589	Accuracy: 96029/100000 (96%)
Train Epoch: 15/100	Average Training Loss: 0.139420	Accuracy: 96207/100000 (96%)
Train Epoch: 16/100	Average Training Loss: 0.131239	Accuracy: 95999/100000 (96%)
Train Epoch: 17/100	Average Training Loss: 0.125753	Accuracy: 96950/100000 (97%)
Train Epoch: 18/100	Average Training Loss: 0.107199	Accuracy: 97541/100000 (98%)
Train Epoch: 19/100	Average Training Loss: 0.117039	Accuracy: 97106/100000 (97%)
Train Epoch: 20/100	Average Training Loss: 0.105620	Accuracy: 97387/100000 (97%)
Train Epoch: 21/100	Average Training Loss: 0.099790	Accuracy: 97442/100000 (97%)
Train Epoch: 22/100	Average Training Loss: 0.086082	Accuracy: 97387/100000 (97%)
Train Epoch: 23/100	Average Training Loss: 0.088612	Accuracy: 97488/100000 (97%)
Train Epoch: 24/100	Average Training Loss: 0.096124	Accuracy: 98107/100000 (98%)
Train Epoch: 25/100	Average Training Loss: 0.075821	Accuracy: 97896/100000 (98%)
Train Epoch: 26/100	Average Training Loss: 0.090170	Accuracy: 97715/100000 (98%)
Train Epoch: 27/100	Average Training Loss: 0.075832	Accuracy: 98359/100000 (98%)
Train Epoch: 28/100	Average Training Loss: 0.073228	Accuracy: 98391/100000 (98%)
Train Epoch: 29/100	Average Training Loss: 0.066240	Accuracy: 98372/100000 (98%)
Train Epoch: 30/100	Average Training Loss: 0.076574	Accuracy: 98122/100000 (98%)
Train Epoch: 31/100	Average Training Loss: 0.065332	Accuracy: 98492/100000 (98%)
Train Epoch: 32/100	Average Training Loss: 0.057703	Accuracy: 98609/100000 (99%)
Train Epoch: 33/100	Average Training Loss: 0.065568	Accuracy: 98183/100000 (98%)
Train Epoch: 34/100	Average Training Loss: 0.060509	Accuracy: 98536/100000 (99%)
Train Epoch: 35/100	Average Training Loss: 0.056182	Accuracy: 98525/100000 (99%)
Train Epoch: 36/100	Average Training Loss: 0.065463	Accuracy: 98649/100000 (99%)
Train Epoch: 37/100	Average Training Loss: 0.051929	Accuracy: 98713/100000 (99%)
Train Epoch: 38/100	Average Training Loss: 0.049694	Accuracy: 98661/100000 (99%)
Train Epoch: 39/100	Average Training Loss: 0.053484	Accuracy: 98381/100000 (98%)
Train Epoch: 40/100	Average Training Loss: 0.054127	Accuracy: 98689/100000 (99%)
Train Epoch: 41/100	Average Training Loss: 0.042389	Accuracy: 99034/100000 (99%)
Train Epoch: 42/100	Average Training Loss: 0.057155	Accuracy: 98524/100000 (99%)
Train Epoch: 43/100	Average Training Loss: 0.047502	Accuracy: 98998/100000 (99%)
Train Epoch: 44/100	Average Training Loss: 0.040227	Accuracy: 99003/100000 (99%)
Train Epoch: 45/100	Average Training Loss: 0.046286	Accuracy: 98595/100000 (99%)
Train Epoch: 46/100	Average Training Loss: 0.049250	Accuracy: 98872/100000 (99%)
Train Epoch: 47/100	Average Training Loss: 0.037544	Accuracy: 98833/100000 (99%)
Train Epoch: 48/100	Average Training Loss: 0.043262	Accuracy: 98927/100000 (99%)
Train Epoch: 49/100	Average Training Loss: 0.047069	Accuracy: 99202/100000 (99%)
Train Epoch: 50/100	Average Training Loss: 0.038430	Accuracy: 98750/100000 (99%)
Train Epoch: 51/100	Average Training Loss: 0.040776	Accuracy: 99196/100000 (99%)
Train Epoch: 52/100	Average Training Loss: 0.039719	Accuracy: 99100/100000 (99%)
Train Epoch: 53/100	Average Training Loss: 0.037959	Accuracy: 98994/100000 (99%)
Train Epoch: 54/100	Average Training Loss: 0.044857	Accuracy: 99223/100000 (99%)
Train Epoch: 55/100	Average Training Loss: 0.030768	Accuracy: 99302/100000 (99%)
Train Epoch: 56/100	Average Training Loss: 0.033528	Accuracy: 99061/100000 (99%)
Train Epoch: 57/100	Average Training Loss: 0.037135	Accuracy: 98927/100000 (99%)
Train Epoch: 58/100	Average Training Loss: 0.038502	Accuracy: 99017/100000 (99%)
Train Epoch: 59/100	Average Training Loss: 0.030795	Accuracy: 99279/100000 (99%)
Train Epoch: 60/100	Average Training Loss: 0.034224	Accuracy: 98979/100000 (99%)
Train Epoch: 61/100	Average Training Loss: 0.036798	Accuracy: 99316/100000 (99%)
Train Epoch: 62/100	Average Training Loss: 0.030200	Accuracy: 98941/100000 (99%)
Train Epoch: 63/100	Average Training Loss: 0.034273	Accuracy: 99258/100000 (99%)
Train Epoch: 64/100	Average Training Loss: 0.031262	Accuracy: 99473/100000 (99%)
Train Epoch: 65/100	Average Training Loss: 0.027438	Accuracy: 99237/100000 (99%)
Train Epoch: 66/100	Average Training Loss: 0.029534	Accuracy: 98910/100000 (99%)
Train Epoch: 67/100	Average Training Loss: 0.038376	Accuracy: 99140/100000 (99%)
Train Epoch: 68/100	Average Training Loss: 0.030892	Accuracy: 99265/100000 (99%)
Train Epoch: 69/100	Average Training Loss: 0.026662	Accuracy: 99326/100000 (99%)
Train Epoch: 70/100	Average Training Loss: 0.026732	Accuracy: 99276/100000 (99%)
Train Epoch: 71/100	Average Training Loss: 0.033380	Accuracy: 99173/100000 (99%)
Train Epoch: 72/100	Average Training Loss: 0.029681	Accuracy: 99433/100000 (99%)
Train Epoch: 73/100	Average Training Loss: 0.025230	Accuracy: 99346/100000 (99%)
Train Epoch: 74/100	Average Training Loss: 0.029652	Accuracy: 99296/100000 (99%)
Train Epoch: 75/100	Average Training Loss: 0.027674	Accuracy: 99467/100000 (99%)
Train Epoch: 76/100	Average Training Loss: 0.022990	Accuracy: 99388/100000 (99%)
Train Epoch: 77/100	Average Training Loss: 0.032375	Accuracy: 99379/100000 (99%)
Train Epoch: 78/100	Average Training Loss: 0.029292	Accuracy: 99481/100000 (99%)
Train Epoch: 79/100	Average Training Loss: 0.018956	Accuracy: 99424/100000 (99%)
Train Epoch: 80/100	Average Training Loss: 0.026965	Accuracy: 99239/100000 (99%)
Train Epoch: 81/100	Average Training Loss: 0.029161	Accuracy: 99328/100000 (99%)
Train Epoch: 82/100	Average Training Loss: 0.024544	Accuracy: 99272/100000 (99%)
Train Epoch: 83/100	Average Training Loss: 0.027073	Accuracy: 99359/100000 (99%)
Train Epoch: 84/100	Average Training Loss: 0.021177	Accuracy: 99518/100000 (100%)
Train Epoch: 85/100	Average Training Loss: 0.024277	Accuracy: 99474/100000 (99%)
Train Epoch: 86/100	Average Training Loss: 0.024553	Accuracy: 99369/100000 (99%)
Train Epoch: 87/100	Average Training Loss: 0.024521	Accuracy: 99418/100000 (99%)
Train Epoch: 88/100	Average Training Loss: 0.018535	Accuracy: 99607/100000 (100%)
Train Epoch: 89/100	Average Training Loss: 0.019506	Accuracy: 99347/100000 (99%)
Train Epoch: 90/100	Average Training Loss: 0.026630	Accuracy: 99384/100000 (99%)
Train Epoch: 91/100	Average Training Loss: 0.023611	Accuracy: 99369/100000 (99%)
Train Epoch: 92/100	Average Training Loss: 0.023986	Accuracy: 99447/100000 (99%)
Train Epoch: 93/100	Average Training Loss: 0.022250	Accuracy: 99594/100000 (100%)
Train Epoch: 94/100	Average Training Loss: 0.017085	Accuracy: 99574/100000 (100%)
Train Epoch: 95/100	Average Training Loss: 0.020053	Accuracy: 99345/100000 (99%)
Train Epoch: 96/100	Average Training Loss: 0.024248	Accuracy: 99415/100000 (99%)
Train Epoch: 97/100	Average Training Loss: 0.023286	Accuracy: 99386/100000 (99%)
Train Epoch: 98/100	Average Training Loss: 0.022945	Accuracy: 99383/100000 (99%)
Train Epoch: 99/100	Average Training Loss: 0.018401	Accuracy: 99489/100000 (99%)
Validation accuracy: 0.3192
