Train Epoch: 0/100	Average Training Loss: 4.574081	Accuracy: 12130/100000 (12%)
Train Epoch: 1/100	Average Training Loss: 3.901268	Accuracy: 18220/100000 (18%)
Train Epoch: 2/100	Average Training Loss: 3.601985	Accuracy: 21770/100000 (22%)
Train Epoch: 3/100	Average Training Loss: 3.396933	Accuracy: 25549/100000 (26%)
Train Epoch: 4/100	Average Training Loss: 3.236445	Accuracy: 27774/100000 (28%)
Train Epoch: 5/100	Average Training Loss: 3.117733	Accuracy: 28970/100000 (29%)
Train Epoch: 6/100	Average Training Loss: 3.018357	Accuracy: 31113/100000 (31%)
Train Epoch: 7/100	Average Training Loss: 2.922688	Accuracy: 32890/100000 (33%)
Train Epoch: 8/100	Average Training Loss: 2.850586	Accuracy: 34841/100000 (35%)
Train Epoch: 9/100	Average Training Loss: 2.778738	Accuracy: 35860/100000 (36%)
Train Epoch: 10/100	Average Training Loss: 2.719499	Accuracy: 36812/100000 (37%)
Train Epoch: 11/100	Average Training Loss: 2.674613	Accuracy: 38118/100000 (38%)
Train Epoch: 12/100	Average Training Loss: 2.616047	Accuracy: 39354/100000 (39%)
Train Epoch: 13/100	Average Training Loss: 2.576567	Accuracy: 39455/100000 (39%)
Train Epoch: 14/100	Average Training Loss: 2.541958	Accuracy: 40686/100000 (41%)
Train Epoch: 15/100	Average Training Loss: 2.502077	Accuracy: 41397/100000 (41%)
Train Epoch: 16/100	Average Training Loss: 2.471986	Accuracy: 42021/100000 (42%)
Train Epoch: 17/100	Average Training Loss: 2.438120	Accuracy: 42308/100000 (42%)
Train Epoch: 18/100	Average Training Loss: 2.408105	Accuracy: 43925/100000 (44%)
Train Epoch: 19/100	Average Training Loss: 2.378698	Accuracy: 44132/100000 (44%)
Train Epoch: 20/100	Average Training Loss: 2.361818	Accuracy: 44411/100000 (44%)
Train Epoch: 21/100	Average Training Loss: 2.332806	Accuracy: 45652/100000 (46%)
Train Epoch: 22/100	Average Training Loss: 2.310509	Accuracy: 45978/100000 (46%)
Train Epoch: 23/100	Average Training Loss: 2.283116	Accuracy: 45807/100000 (46%)
Train Epoch: 24/100	Average Training Loss: 2.270887	Accuracy: 46360/100000 (46%)
Train Epoch: 25/100	Average Training Loss: 2.248220	Accuracy: 46626/100000 (47%)
Train Epoch: 26/100	Average Training Loss: 2.229086	Accuracy: 46802/100000 (47%)
Train Epoch: 27/100	Average Training Loss: 2.208703	Accuracy: 47403/100000 (47%)
Train Epoch: 28/100	Average Training Loss: 2.202059	Accuracy: 47212/100000 (47%)
