Train Epoch: 0/100	Average Training Loss: 4.260747	Accuracy: 17387/100000 (17%)
Train Epoch: 1/100	Average Training Loss: 3.502306	Accuracy: 25013/100000 (25%)
Train Epoch: 2/100	Average Training Loss: 3.174009	Accuracy: 30996/100000 (31%)
Train Epoch: 3/100	Average Training Loss: 2.934774	Accuracy: 34333/100000 (34%)
Train Epoch: 4/100	Average Training Loss: 2.753079	Accuracy: 37547/100000 (38%)
Train Epoch: 5/100	Average Training Loss: 2.587570	Accuracy: 42034/100000 (42%)
Train Epoch: 6/100	Average Training Loss: 2.450532	Accuracy: 43634/100000 (44%)
Train Epoch: 7/100	Average Training Loss: 2.327515	Accuracy: 47602/100000 (48%)
Train Epoch: 8/100	Average Training Loss: 2.209694	Accuracy: 49633/100000 (50%)
Train Epoch: 9/100	Average Training Loss: 2.104752	Accuracy: 52818/100000 (53%)
Train Epoch: 10/100	Average Training Loss: 2.004757	Accuracy: 54562/100000 (55%)
Train Epoch: 11/100	Average Training Loss: 1.912308	Accuracy: 57404/100000 (57%)
Train Epoch: 12/100	Average Training Loss: 1.822385	Accuracy: 58928/100000 (59%)
Train Epoch: 13/100	Average Training Loss: 1.730692	Accuracy: 60929/100000 (61%)
Train Epoch: 14/100	Average Training Loss: 1.648390	Accuracy: 62416/100000 (62%)
Train Epoch: 15/100	Average Training Loss: 1.571357	Accuracy: 64560/100000 (65%)
Train Epoch: 16/100	Average Training Loss: 1.488325	Accuracy: 66469/100000 (66%)
Train Epoch: 17/100	Average Training Loss: 1.418053	Accuracy: 67902/100000 (68%)
Train Epoch: 18/100	Average Training Loss: 1.346669	Accuracy: 69700/100000 (70%)
Train Epoch: 19/100	Average Training Loss: 1.275059	Accuracy: 70926/100000 (71%)
Train Epoch: 20/100	Average Training Loss: 1.216837	Accuracy: 73469/100000 (73%)
Train Epoch: 21/100	Average Training Loss: 1.153150	Accuracy: 73623/100000 (74%)
Train Epoch: 22/100	Average Training Loss: 1.091791	Accuracy: 74127/100000 (74%)
Train Epoch: 23/100	Average Training Loss: 1.039481	Accuracy: 76433/100000 (76%)
Train Epoch: 24/100	Average Training Loss: 0.997589	Accuracy: 76577/100000 (77%)
Train Epoch: 25/100	Average Training Loss: 0.954321	Accuracy: 78290/100000 (78%)
Train Epoch: 26/100	Average Training Loss: 0.915727	Accuracy: 78851/100000 (79%)
Train Epoch: 27/100	Average Training Loss: 0.880897	Accuracy: 79683/100000 (80%)
Train Epoch: 28/100	Average Training Loss: 0.845740	Accuracy: 80477/100000 (80%)
Train Epoch: 29/100	Average Training Loss: 0.813080	Accuracy: 82025/100000 (82%)
Train Epoch: 30/100	Average Training Loss: 0.783163	Accuracy: 81512/100000 (82%)
Train Epoch: 31/100	Average Training Loss: 0.760083	Accuracy: 82308/100000 (82%)
Train Epoch: 32/100	Average Training Loss: 0.740625	Accuracy: 82004/100000 (82%)
Train Epoch: 33/100	Average Training Loss: 0.715179	Accuracy: 83024/100000 (83%)
Train Epoch: 34/100	Average Training Loss: 0.696194	Accuracy: 82477/100000 (82%)
Train Epoch: 35/100	Average Training Loss: 0.688639	Accuracy: 82875/100000 (83%)
Train Epoch: 36/100	Average Training Loss: 0.678148	Accuracy: 84126/100000 (84%)
Train Epoch: 37/100	Average Training Loss: 0.653114	Accuracy: 83905/100000 (84%)
Train Epoch: 38/100	Average Training Loss: 0.639832	Accuracy: 85487/100000 (85%)
Train Epoch: 39/100	Average Training Loss: 0.633796	Accuracy: 85053/100000 (85%)
Train Epoch: 40/100	Average Training Loss: 0.621922	Accuracy: 85415/100000 (85%)
Train Epoch: 41/100	Average Training Loss: 0.606474	Accuracy: 85585/100000 (86%)
Train Epoch: 42/100	Average Training Loss: 0.600679	Accuracy: 85140/100000 (85%)
Train Epoch: 43/100	Average Training Loss: 0.597780	Accuracy: 85829/100000 (86%)
Train Epoch: 44/100	Average Training Loss: 0.593283	Accuracy: 86317/100000 (86%)
Train Epoch: 45/100	Average Training Loss: 0.578735	Accuracy: 86559/100000 (87%)
Train Epoch: 46/100	Average Training Loss: 0.572220	Accuracy: 86445/100000 (86%)
Train Epoch: 47/100	Average Training Loss: 0.571921	Accuracy: 85526/100000 (86%)
Train Epoch: 48/100	Average Training Loss: 0.559349	Accuracy: 86524/100000 (87%)
Train Epoch: 49/100	Average Training Loss: 0.561097	Accuracy: 86107/100000 (86%)
Train Epoch: 50/100	Average Training Loss: 0.555224	Accuracy: 87011/100000 (87%)
Train Epoch: 51/100	Average Training Loss: 0.555640	Accuracy: 87520/100000 (88%)
Train Epoch: 52/100	Average Training Loss: 0.552322	Accuracy: 87795/100000 (88%)
Train Epoch: 53/100	Average Training Loss: 0.538698	Accuracy: 84492/100000 (84%)
Train Epoch: 54/100	Average Training Loss: 0.548155	Accuracy: 85990/100000 (86%)
Train Epoch: 55/100	Average Training Loss: 0.528964	Accuracy: 86992/100000 (87%)
Train Epoch: 56/100	Average Training Loss: 0.526393	Accuracy: 86876/100000 (87%)
Train Epoch: 57/100	Average Training Loss: 0.522873	Accuracy: 87511/100000 (88%)
Train Epoch: 58/100	Average Training Loss: 0.523406	Accuracy: 86477/100000 (86%)
Train Epoch: 59/100	Average Training Loss: 0.513740	Accuracy: 87240/100000 (87%)
Train Epoch: 60/100	Average Training Loss: 0.530099	Accuracy: 88470/100000 (88%)
Train Epoch: 61/100	Average Training Loss: 0.510016	Accuracy: 87151/100000 (87%)
Train Epoch: 62/100	Average Training Loss: 0.500626	Accuracy: 87476/100000 (87%)
Train Epoch: 63/100	Average Training Loss: 0.521752	Accuracy: 87738/100000 (88%)
Train Epoch: 64/100	Average Training Loss: 0.503570	Accuracy: 87154/100000 (87%)
Train Epoch: 65/100	Average Training Loss: 0.491350	Accuracy: 87537/100000 (88%)
Train Epoch: 66/100	Average Training Loss: 0.496887	Accuracy: 88709/100000 (89%)
Train Epoch: 67/100	Average Training Loss: 0.495561	Accuracy: 87740/100000 (88%)
Train Epoch: 68/100	Average Training Loss: 0.498931	Accuracy: 89233/100000 (89%)
Train Epoch: 69/100	Average Training Loss: 0.486396	Accuracy: 87271/100000 (87%)
Train Epoch: 70/100	Average Training Loss: 0.492590	Accuracy: 88047/100000 (88%)
Train Epoch: 71/100	Average Training Loss: 0.487237	Accuracy: 89018/100000 (89%)
Train Epoch: 72/100	Average Training Loss: 0.483965	Accuracy: 88875/100000 (89%)
Train Epoch: 73/100	Average Training Loss: 0.486943	Accuracy: 88744/100000 (89%)
Train Epoch: 74/100	Average Training Loss: 0.473813	Accuracy: 88450/100000 (88%)
Train Epoch: 75/100	Average Training Loss: 0.481318	Accuracy: 88472/100000 (88%)
Train Epoch: 76/100	Average Training Loss: 0.473725	Accuracy: 88726/100000 (89%)
Train Epoch: 77/100	Average Training Loss: 0.473412	Accuracy: 88786/100000 (89%)
Train Epoch: 78/100	Average Training Loss: 0.477028	Accuracy: 88858/100000 (89%)
Train Epoch: 79/100	Average Training Loss: 0.476411	Accuracy: 88802/100000 (89%)
Train Epoch: 80/100	Average Training Loss: 0.468113	Accuracy: 88155/100000 (88%)
Train Epoch: 81/100	Average Training Loss: 0.492287	Accuracy: 89103/100000 (89%)
Train Epoch: 82/100	Average Training Loss: 0.452168	Accuracy: 89212/100000 (89%)
Train Epoch: 83/100	Average Training Loss: 0.469683	Accuracy: 89182/100000 (89%)
Train Epoch: 84/100	Average Training Loss: 0.471329	Accuracy: 89579/100000 (90%)
Train Epoch: 85/100	Average Training Loss: 0.459932	Accuracy: 88913/100000 (89%)
Train Epoch: 86/100	Average Training Loss: 0.450714	Accuracy: 88932/100000 (89%)
Train Epoch: 87/100	Average Training Loss: 0.470348	Accuracy: 88774/100000 (89%)
Train Epoch: 88/100	Average Training Loss: 0.471345	Accuracy: 88839/100000 (89%)
Train Epoch: 89/100	Average Training Loss: 0.466524	Accuracy: 88844/100000 (89%)
Train Epoch: 90/100	Average Training Loss: 0.452539	Accuracy: 89944/100000 (90%)
Train Epoch: 91/100	Average Training Loss: 0.459047	Accuracy: 88905/100000 (89%)
Train Epoch: 92/100	Average Training Loss: 0.451069	Accuracy: 88396/100000 (88%)
Train Epoch: 93/100	Average Training Loss: 0.479101	Accuracy: 88720/100000 (89%)
Train Epoch: 94/100	Average Training Loss: 0.443389	Accuracy: 88914/100000 (89%)
Train Epoch: 95/100	Average Training Loss: 0.457468	Accuracy: 88451/100000 (88%)
Train Epoch: 96/100	Average Training Loss: 0.464224	Accuracy: 90222/100000 (90%)
Train Epoch: 97/100	Average Training Loss: 0.435910	Accuracy: 87987/100000 (88%)
Train Epoch: 98/100	Average Training Loss: 0.462154	Accuracy: 88001/100000 (88%)
Train Epoch: 99/100	Average Training Loss: 0.439683	Accuracy: 89748/100000 (90%)
Validation accuracy: 0.3748
