200
200
Label to index mapping is the same
Train Epoch: 0/100	Average Training Loss: 4.335264	Accuracy: 16398/100000 (16%)
Train Epoch: 1/100	Average Training Loss: 3.566299	Accuracy: 25045/100000 (25%)
Train Epoch: 2/100	Average Training Loss: 3.215594	Accuracy: 29908/100000 (30%)
Train Epoch: 3/100	Average Training Loss: 2.967031	Accuracy: 34402/100000 (34%)
Train Epoch: 4/100	Average Training Loss: 2.763520	Accuracy: 37346/100000 (37%)
Train Epoch: 5/100	Average Training Loss: 2.593776	Accuracy: 41631/100000 (42%)
Train Epoch: 6/100	Average Training Loss: 2.440291	Accuracy: 44451/100000 (44%)
Train Epoch: 7/100	Average Training Loss: 2.291262	Accuracy: 47155/100000 (47%)
Train Epoch: 8/100	Average Training Loss: 2.159442	Accuracy: 49690/100000 (50%)
Train Epoch: 9/100	Average Training Loss: 2.032381	Accuracy: 52996/100000 (53%)
Train Epoch: 10/100	Average Training Loss: 1.909727	Accuracy: 55708/100000 (56%)
Train Epoch: 11/100	Average Training Loss: 1.793703	Accuracy: 59337/100000 (59%)
Train Epoch: 12/100	Average Training Loss: 1.670353	Accuracy: 60537/100000 (61%)
Train Epoch: 13/100	Average Training Loss: 1.561314	Accuracy: 63594/100000 (64%)
Train Epoch: 14/100	Average Training Loss: 1.437993	Accuracy: 67983/100000 (68%)
Train Epoch: 15/100	Average Training Loss: 1.327483	Accuracy: 69024/100000 (69%)
Train Epoch: 16/100	Average Training Loss: 1.215843	Accuracy: 71626/100000 (72%)
Train Epoch: 17/100	Average Training Loss: 1.113044	Accuracy: 74252/100000 (74%)
Train Epoch: 18/100	Average Training Loss: 1.012032	Accuracy: 76959/100000 (77%)
Train Epoch: 19/100	Average Training Loss: 0.917949	Accuracy: 78051/100000 (78%)
Train Epoch: 20/100	Average Training Loss: 0.837192	Accuracy: 79699/100000 (80%)
Train Epoch: 21/100	Average Training Loss: 0.762061	Accuracy: 81826/100000 (82%)
Train Epoch: 22/100	Average Training Loss: 0.687587	Accuracy: 82930/100000 (83%)
Train Epoch: 23/100	Average Training Loss: 0.618401	Accuracy: 85443/100000 (85%)
Train Epoch: 24/100	Average Training Loss: 0.575467	Accuracy: 85781/100000 (86%)
Train Epoch: 25/100	Average Training Loss: 0.526749	Accuracy: 86541/100000 (87%)
Train Epoch: 26/100	Average Training Loss: 0.487118	Accuracy: 88082/100000 (88%)
Train Epoch: 27/100	Average Training Loss: 0.447011	Accuracy: 88716/100000 (89%)
Train Epoch: 28/100	Average Training Loss: 0.422013	Accuracy: 89127/100000 (89%)
Train Epoch: 29/100	Average Training Loss: 0.392896	Accuracy: 89517/100000 (90%)
Train Epoch: 30/100	Average Training Loss: 0.374241	Accuracy: 90773/100000 (91%)
Train Epoch: 31/100	Average Training Loss: 0.341597	Accuracy: 90776/100000 (91%)
Train Epoch: 32/100	Average Training Loss: 0.338681	Accuracy: 91910/100000 (92%)
Train Epoch: 33/100	Average Training Loss: 0.315161	Accuracy: 91513/100000 (92%)
Train Epoch: 34/100	Average Training Loss: 0.307202	Accuracy: 92312/100000 (92%)
Train Epoch: 35/100	Average Training Loss: 0.285576	Accuracy: 92556/100000 (93%)
Train Epoch: 36/100	Average Training Loss: 0.272427	Accuracy: 93047/100000 (93%)
Train Epoch: 37/100	Average Training Loss: 0.256356	Accuracy: 92932/100000 (93%)
Train Epoch: 38/100	Average Training Loss: 0.262590	Accuracy: 93427/100000 (93%)
Train Epoch: 39/100	Average Training Loss: 0.240976	Accuracy: 93928/100000 (94%)
Train Epoch: 40/100	Average Training Loss: 0.234907	Accuracy: 93057/100000 (93%)
Train Epoch: 41/100	Average Training Loss: 0.230148	Accuracy: 93305/100000 (93%)
Train Epoch: 42/100	Average Training Loss: 0.223404	Accuracy: 94110/100000 (94%)
Train Epoch: 43/100	Average Training Loss: 0.216398	Accuracy: 94388/100000 (94%)
Train Epoch: 44/100	Average Training Loss: 0.198738	Accuracy: 94924/100000 (95%)
Train Epoch: 45/100	Average Training Loss: 0.205530	Accuracy: 94004/100000 (94%)
Train Epoch: 46/100	Average Training Loss: 0.193266	Accuracy: 94481/100000 (94%)
Train Epoch: 47/100	Average Training Loss: 0.192608	Accuracy: 94616/100000 (95%)
Train Epoch: 48/100	Average Training Loss: 0.187768	Accuracy: 94553/100000 (95%)
Train Epoch: 49/100	Average Training Loss: 0.187123	Accuracy: 94921/100000 (95%)
Train Epoch: 50/100	Average Training Loss: 0.174577	Accuracy: 94925/100000 (95%)
Train Epoch: 51/100	Average Training Loss: 0.172461	Accuracy: 94596/100000 (95%)
Train Epoch: 52/100	Average Training Loss: 0.169592	Accuracy: 95313/100000 (95%)
Train Epoch: 53/100	Average Training Loss: 0.156072	Accuracy: 95434/100000 (95%)
Train Epoch: 54/100	Average Training Loss: 0.160031	Accuracy: 95454/100000 (95%)
Train Epoch: 55/100	Average Training Loss: 0.162256	Accuracy: 95026/100000 (95%)
Train Epoch: 56/100	Average Training Loss: 0.151553	Accuracy: 95484/100000 (95%)
Train Epoch: 57/100	Average Training Loss: 0.147489	Accuracy: 96087/100000 (96%)
Train Epoch: 58/100	Average Training Loss: 0.148003	Accuracy: 95552/100000 (96%)
