200
200
Label to index mapping is the same
Train Epoch: 0/100	Average Training Loss: 4.370552	Accuracy: 15981/100000 (16%)
Train Epoch: 1/100	Average Training Loss: 3.626666	Accuracy: 22812/100000 (23%)
Train Epoch: 2/100	Average Training Loss: 3.320378	Accuracy: 27401/100000 (27%)
Train Epoch: 3/100	Average Training Loss: 3.106442	Accuracy: 30221/100000 (30%)
Train Epoch: 4/100	Average Training Loss: 2.934200	Accuracy: 34251/100000 (34%)
Train Epoch: 5/100	Average Training Loss: 2.794951	Accuracy: 37037/100000 (37%)
Train Epoch: 6/100	Average Training Loss: 2.669395	Accuracy: 38018/100000 (38%)
Train Epoch: 7/100	Average Training Loss: 2.570769	Accuracy: 41335/100000 (41%)
Train Epoch: 8/100	Average Training Loss: 2.471783	Accuracy: 42204/100000 (42%)
Train Epoch: 9/100	Average Training Loss: 2.393577	Accuracy: 44464/100000 (44%)
Train Epoch: 10/100	Average Training Loss: 2.319738	Accuracy: 46122/100000 (46%)
Train Epoch: 11/100	Average Training Loss: 2.256300	Accuracy: 46918/100000 (47%)
Train Epoch: 12/100	Average Training Loss: 2.194165	Accuracy: 47908/100000 (48%)
Train Epoch: 13/100	Average Training Loss: 2.141165	Accuracy: 50060/100000 (50%)
Train Epoch: 14/100	Average Training Loss: 2.091129	Accuracy: 51081/100000 (51%)
Train Epoch: 15/100	Average Training Loss: 2.046202	Accuracy: 51831/100000 (52%)
Train Epoch: 16/100	Average Training Loss: 2.000180	Accuracy: 52940/100000 (53%)
Train Epoch: 17/100	Average Training Loss: 1.963138	Accuracy: 54541/100000 (55%)
Train Epoch: 18/100	Average Training Loss: 1.927255	Accuracy: 54321/100000 (54%)
Train Epoch: 19/100	Average Training Loss: 1.888271	Accuracy: 54608/100000 (55%)
Train Epoch: 20/100	Average Training Loss: 1.850016	Accuracy: 56249/100000 (56%)
Train Epoch: 21/100	Average Training Loss: 1.820585	Accuracy: 57161/100000 (57%)
Train Epoch: 22/100	Average Training Loss: 1.791346	Accuracy: 57252/100000 (57%)
Train Epoch: 23/100	Average Training Loss: 1.751897	Accuracy: 58290/100000 (58%)
Train Epoch: 24/100	Average Training Loss: 1.730519	Accuracy: 58531/100000 (59%)
Train Epoch: 25/100	Average Training Loss: 1.703804	Accuracy: 59221/100000 (59%)
Train Epoch: 26/100	Average Training Loss: 1.684310	Accuracy: 60093/100000 (60%)
Train Epoch: 27/100	Average Training Loss: 1.652755	Accuracy: 60895/100000 (61%)
Train Epoch: 28/100	Average Training Loss: 1.629403	Accuracy: 61429/100000 (61%)
Train Epoch: 29/100	Average Training Loss: 1.606205	Accuracy: 61498/100000 (61%)
Train Epoch: 30/100	Average Training Loss: 1.578152	Accuracy: 62324/100000 (62%)
Train Epoch: 31/100	Average Training Loss: 1.562080	Accuracy: 62920/100000 (63%)
Train Epoch: 32/100	Average Training Loss: 1.536659	Accuracy: 61496/100000 (61%)
Train Epoch: 33/100	Average Training Loss: 1.523834	Accuracy: 62892/100000 (63%)
Train Epoch: 34/100	Average Training Loss: 1.492555	Accuracy: 64094/100000 (64%)
Train Epoch: 35/100	Average Training Loss: 1.480213	Accuracy: 64030/100000 (64%)
Train Epoch: 36/100	Average Training Loss: 1.457897	Accuracy: 64827/100000 (65%)
Train Epoch: 37/100	Average Training Loss: 1.438865	Accuracy: 65499/100000 (65%)
Train Epoch: 38/100	Average Training Loss: 1.425705	Accuracy: 65483/100000 (65%)
Train Epoch: 39/100	Average Training Loss: 1.411550	Accuracy: 65964/100000 (66%)
Train Epoch: 40/100	Average Training Loss: 1.384414	Accuracy: 65872/100000 (66%)
Train Epoch: 41/100	Average Training Loss: 1.370128	Accuracy: 66340/100000 (66%)
Train Epoch: 42/100	Average Training Loss: 1.364851	Accuracy: 66301/100000 (66%)
Train Epoch: 43/100	Average Training Loss: 1.348889	Accuracy: 67735/100000 (68%)
Train Epoch: 44/100	Average Training Loss: 1.333078	Accuracy: 67452/100000 (67%)
Train Epoch: 45/100	Average Training Loss: 1.321621	Accuracy: 68188/100000 (68%)
Train Epoch: 46/100	Average Training Loss: 1.308975	Accuracy: 68110/100000 (68%)
Train Epoch: 47/100	Average Training Loss: 1.294814	Accuracy: 68507/100000 (69%)
Train Epoch: 48/100	Average Training Loss: 1.279347	Accuracy: 68303/100000 (68%)
Train Epoch: 49/100	Average Training Loss: 1.254329	Accuracy: 69769/100000 (70%)
Train Epoch: 50/100	Average Training Loss: 1.251605	Accuracy: 68193/100000 (68%)
Train Epoch: 51/100	Average Training Loss: 1.239198	Accuracy: 69902/100000 (70%)
Train Epoch: 52/100	Average Training Loss: 1.230125	Accuracy: 69785/100000 (70%)
Train Epoch: 53/100	Average Training Loss: 1.209813	Accuracy: 70288/100000 (70%)
Train Epoch: 54/100	Average Training Loss: 1.199220	Accuracy: 70890/100000 (71%)
Train Epoch: 55/100	Average Training Loss: 1.194499	Accuracy: 70984/100000 (71%)
Train Epoch: 56/100	Average Training Loss: 1.190241	Accuracy: 69828/100000 (70%)
Train Epoch: 57/100	Average Training Loss: 1.174718	Accuracy: 71779/100000 (72%)
Train Epoch: 58/100	Average Training Loss: 1.167118	Accuracy: 71385/100000 (71%)
Train Epoch: 59/100	Average Training Loss: 1.148093	Accuracy: 70984/100000 (71%)
Train Epoch: 60/100	Average Training Loss: 1.145269	Accuracy: 72325/100000 (72%)
Train Epoch: 61/100	Average Training Loss: 1.147103	Accuracy: 71801/100000 (72%)
Train Epoch: 62/100	Average Training Loss: 1.125471	Accuracy: 72848/100000 (73%)
Train Epoch: 63/100	Average Training Loss: 1.110812	Accuracy: 72424/100000 (72%)
Train Epoch: 64/100	Average Training Loss: 1.116605	Accuracy: 73589/100000 (74%)
Train Epoch: 65/100	Average Training Loss: 1.097632	Accuracy: 73096/100000 (73%)
Train Epoch: 66/100	Average Training Loss: 1.101150	Accuracy: 73456/100000 (73%)
Train Epoch: 67/100	Average Training Loss: 1.075920	Accuracy: 73161/100000 (73%)
