Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.3581,0.322,0.3463,0.3387,0.3371,0.335,0.3521,0.331,0.3347,0.3608,0.3682
2,0.4087,0.3882,0.3831,0.3729,0.3956,0.3985,0.3857,0.3905,0.4144,0.4314,0.4328
3,0.4457,0.4331,0.38,0.4192,0.421,0.432,0.4164,0.4316,0.3711,0.4811,0.4819
4,0.4258,0.4524,0.4564,0.4551,0.4261,0.46,0.4498,0.4576,0.4441,0.5077,0.5081
5,0.4686,0.4818,0.4652,0.4686,0.4825,0.4468,0.4659,0.4455,0.4787,0.5006,0.5012
6,0.4994,0.4812,0.4822,0.4783,0.4509,0.4848,0.4942,0.4678,0.4905,0.5202,0.5205
7,0.4833,0.4576,0.4765,0.5068,0.4777,0.4826,0.5087,0.4991,0.4931,0.5382,0.5377
8,0.5149,0.4998,0.512,0.4766,0.5121,0.5127,0.5136,0.4994,0.4988,0.5597,0.5592
9,0.5224,0.4872,0.5046,0.5053,0.5096,0.5208,0.4957,0.5144,0.4974,0.5481,0.55
10,0.5255,0.5117,0.5101,0.4993,0.5166,0.5109,0.5101,0.5098,0.5139,0.5755,0.575
11,0.4971,0.525,0.5026,0.5204,0.5323,0.5265,0.4942,0.5201,0.5176,0.5697,0.5716
12,0.5332,0.5184,0.5158,0.5247,0.5335,0.5126,0.5268,0.5205,0.5093,0.5706,0.5716
13,0.5275,0.537,0.5307,0.5477,0.5171,0.5504,0.5322,0.5163,0.5479,0.5825,0.5837
14,0.5249,0.5407,0.5473,0.5108,0.5174,0.5304,0.5359,0.5348,0.5408,0.5845,0.5869
15,0.5149,0.5432,0.5407,0.5367,0.5417,0.5416,0.5319,0.5382,0.5395,0.5825,0.5818
16,0.5335,0.5272,0.5357,0.5519,0.5502,0.5511,0.516,0.5463,0.5365,0.5873,0.5872
17,0.5178,0.5468,0.5459,0.5418,0.5406,0.5406,0.5385,0.5432,0.5367,0.5712,0.5731
18,0.5512,0.5544,0.5491,0.5411,0.561,0.5579,0.5422,0.5483,0.5496,0.5783,0.5794
19,0.5508,0.5588,0.5581,0.5544,0.5493,0.5448,0.5564,0.5458,0.5364,0.5913,0.5915
20,0.5643,0.5646,0.5317,0.5311,0.5649,0.5502,0.5162,0.5567,0.558,0.573,0.5741
21,0.5294,0.557,0.5518,0.5603,0.5573,0.551,0.5588,0.5617,0.5677,0.5833,0.583
22,0.5557,0.5543,0.5542,0.5534,0.5536,0.5741,0.5602,0.5557,0.564,0.5716,0.5723
23,0.5602,0.5473,0.5683,0.5674,0.5619,0.5684,0.5658,0.5643,0.5622,0.5844,0.5847
24,0.5391,0.5734,0.571,0.5639,0.5681,0.5456,0.5612,0.5587,0.5562,0.5863,0.5864
25,0.5673,0.5619,0.577,0.5596,0.5546,0.5639,0.5616,0.5624,0.5633,0.5857,0.5867
26,0.5534,0.5353,0.5689,0.5681,0.5726,0.5652,0.5638,0.5728,0.523,0.5787,0.5788
27,0.579,0.5736,0.5649,0.545,0.5531,0.5651,0.5616,0.5474,0.5591,0.5876,0.5878
28,0.5816,0.5624,0.5409,0.575,0.558,0.5564,0.5697,0.5789,0.5745,0.5712,0.5715
29,0.5655,0.5769,0.5617,0.5641,0.5817,0.5693,0.5667,0.5747,0.5783,0.5627,0.5627
30,0.5799,0.5632,0.5675,0.5651,0.5705,0.568,0.5705,0.5683,0.5667,0.58,0.5802
31,0.5751,0.5653,0.5655,0.5728,0.5675,0.5729,0.5624,0.5644,0.5806,0.5668,0.5692
32,0.5786,0.5609,0.5679,0.5643,0.5841,0.5672,0.5688,0.5738,0.5583,0.5787,0.5781
33,0.5794,0.5807,0.5845,0.5727,0.5737,0.5678,0.5758,0.5782,0.5784,0.5699,0.5702
34,0.5647,0.5727,0.5738,0.5845,0.5927,0.5653,0.5744,0.5798,0.5827,0.5699,0.5719
35,0.5667,0.5876,0.5795,0.5778,0.5738,0.579,0.5693,0.5734,0.5732,0.5637,0.564
36,0.5807,0.5748,0.5807,0.5785,0.5906,0.5899,0.5845,0.5845,0.5838,0.5664,0.5659
37,0.5711,0.5665,0.5846,0.5797,0.5902,0.5685,0.5713,0.5678,0.5833,0.5684,0.5699
38,0.5588,0.5866,0.5717,0.579,0.5742,0.5741,0.5861,0.5675,0.5676,0.5727,0.5734
39,0.5777,0.5785,0.5901,0.5465,0.5857,0.5722,0.577,0.5878,0.5869,0.571,0.5721
40,0.5821,0.5867,0.5814,0.568,0.5775,0.5742,0.5837,0.5813,0.5883,0.5675,0.5671
41,0.5898,0.5906,0.5931,0.5857,0.5764,0.5881,0.5825,0.5817,0.5801,0.5646,0.5672
42,0.5878,0.5712,0.5946,0.5871,0.5658,0.5872,0.5898,0.5869,0.5842,0.5736,0.5745
43,0.5741,0.5778,0.5963,0.5852,0.5782,0.5919,0.5842,0.567,0.5928,0.5724,0.5731
44,0.5826,0.5769,0.5802,0.5809,0.5838,0.5915,0.583,0.5859,0.5737,0.5765,0.5762
45,0.5811,0.5886,0.5917,0.5751,0.5911,0.5884,0.5947,0.5771,0.5923,0.5799,0.5808
46,0.5956,0.5702,0.5889,0.578,0.5849,0.5986,0.588,0.5917,0.5904,0.5691,0.5689
47,0.5866,0.5906,0.5917,0.5851,0.5785,0.5804,0.6009,0.5933,0.57,0.5721,0.574
48,0.5897,0.5951,0.6047,0.5881,0.5755,0.5789,0.5822,0.5823,0.5954,0.5697,0.5686
49,0.5917,0.6003,0.5903,0.6002,0.5905,0.5967,0.5963,0.6008,0.5823,0.5737,0.5741
50,0.6089,0.5966,0.5803,0.5829,0.579,0.5913,0.5893,0.5955,0.5874,0.5749,0.5744
51,0.5922,0.5861,0.5837,0.5887,0.5703,0.5972,0.5934,0.5888,0.5896,0.5816,0.581
52,0.5734,0.5801,0.597,0.5779,0.5968,0.5851,0.5878,0.6016,0.589,0.5823,0.5832
53,0.5931,0.595,0.5857,0.5892,0.5846,0.5855,0.5838,0.593,0.5824,0.5721,0.5731
54,0.5931,0.5907,0.5966,0.576,0.6009,0.5958,0.5912,0.5898,0.586,0.5621,0.5623
55,0.6013,0.595,0.6001,0.593,0.5849,0.5877,0.6018,0.5746,0.5952,0.5812,0.5812
56,0.5949,0.5957,0.5879,0.5655,0.5942,0.603,0.6019,0.5824,0.5859,0.5845,0.583
57,0.6017,0.5982,0.599,0.588,0.589,0.5953,0.5903,0.6036,0.5816,0.5737,0.575
58,0.6025,0.5717,0.5932,0.5919,0.5869,0.5946,0.5894,0.5994,0.6028,0.5694,0.5705
59,0.5947,0.5835,0.5949,0.5928,0.5936,0.5958,0.5837,0.5932,0.5956,0.5771,0.5769
60,0.6012,0.6009,0.5975,0.5916,0.5817,0.5805,0.6002,0.6045,0.5899,0.578,0.5786
61,0.5957,0.6002,0.5925,0.592,0.5977,0.6046,0.5701,0.5991,0.5897,0.576,0.5765
62,0.5835,0.5981,0.5848,0.602,0.5908,0.5961,0.5988,0.5958,0.603,0.571,0.5704
63,0.597,0.5983,0.5961,0.5706,0.5893,0.5977,0.5914,0.5902,0.6003,0.5731,0.575
64,0.5989,0.5964,0.598,0.5947,0.5982,0.6032,0.5825,0.5824,0.5938,0.5694,0.5696
65,0.6018,0.5974,0.6001,0.5849,0.5922,0.6068,0.5862,0.5968,0.5997,0.5695,0.5692
66,0.5962,0.5931,0.6005,0.5914,0.596,0.6072,0.6005,0.5992,0.5885,0.5776,0.5784
67,0.594,0.5978,0.5974,0.5986,0.5921,0.606,0.6065,0.5995,0.5761,0.573,0.5736
68,0.6014,0.5949,0.595,0.5869,0.596,0.593,0.5967,0.6074,0.5894,0.5755,0.5754
69,0.5895,0.5907,0.601,0.5889,0.5974,0.5982,0.5937,0.5983,0.5975,0.5725,0.5735
70,0.5994,0.5958,0.6121,0.5978,0.5893,0.6037,0.592,0.5985,0.5921,0.5737,0.5728
71,0.6044,0.5916,0.5947,0.5969,0.5902,0.5832,0.5836,0.5984,0.594,0.5759,0.5777
72,0.5856,0.591,0.5977,0.5954,0.5958,0.6133,0.5994,0.6002,0.5884,0.5768,0.5795
73,0.6,0.5937,0.586,0.5914,0.5944,0.6044,0.597,0.5813,0.5995,0.572,0.5721
74,0.6011,0.5938,0.6012,0.5918,0.5817,0.6039,0.5934,0.5964,0.6011,0.5739,0.5752
75,0.6042,0.5949,0.6,0.5904,0.5945,0.6126,0.6008,0.5852,0.602,0.5719,0.5733
76,0.5925,0.6087,0.6032,0.6028,0.5954,0.6167,0.6116,0.5933,0.6049,0.5763,0.5772
77,0.5865,0.5933,0.5943,0.6,0.5927,0.5987,0.6041,0.5996,0.5966,0.5802,0.5789
78,0.5778,0.5951,0.5952,0.5883,0.6016,0.5971,0.6085,0.5918,0.5957,0.5781,0.5783
79,0.5974,0.6022,0.596,0.601,0.606,0.6066,0.5975,0.6053,0.6003,0.5673,0.5697
80,0.5991,0.5982,0.5891,0.582,0.5967,0.6033,0.5953,0.5997,0.6052,0.5672,0.5687
81,0.6019,0.5978,0.5952,0.5948,0.5969,0.6001,0.5875,0.5884,0.5945,0.573,0.5743
82,0.6013,0.6066,0.5986,0.5968,0.6005,0.5877,0.604,0.5865,0.6018,0.5713,0.5723
83,0.5857,0.5992,0.6038,0.5858,0.607,0.5995,0.5969,0.5955,0.6038,0.5693,0.5704
84,0.5978,0.596,0.5923,0.5966,0.5978,0.5897,0.6083,0.5941,0.5935,0.572,0.5725
85,0.6105,0.5742,0.5931,0.6014,0.6046,0.6024,0.5952,0.6033,0.5893,0.5698,0.5706
86,0.6074,0.6015,0.6014,0.6007,0.6085,0.6091,0.6118,0.6011,0.6035,0.5651,0.5649
87,0.5942,0.6027,0.5939,0.5893,0.5999,0.6094,0.6101,0.5974,0.5931,0.5572,0.5577
88,0.601,0.5994,0.6015,0.6033,0.5918,0.5912,0.5933,0.5861,0.5913,0.5732,0.5728
89,0.598,0.5988,0.6009,0.6023,0.6049,0.6086,0.5934,0.6088,0.605,0.5566,0.5581
