Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1277,0.1264
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1006,0.1,0.1,0.1189,0.1191
4,0.1,0.1,0.1,0.1003,0.1005,0.1093,0.1062,0.116,0.1009,0.175,0.175
5,0.1,0.1,0.1,0.1211,0.1148,0.1251,0.1247,0.1156,0.1184,0.1886,0.1902
6,0.1012,0.1007,0.1,0.1265,0.1201,0.1158,0.1692,0.1175,0.1433,0.1889,0.1884
7,0.1231,0.1155,0.1001,0.126,0.1212,0.1514,0.1414,0.1157,0.127,0.2253,0.2265
8,0.121,0.1418,0.1014,0.1267,0.1511,0.1438,0.1924,0.1289,0.123,0.2846,0.2851
9,0.1083,0.1646,0.1142,0.1462,0.1438,0.1543,0.1766,0.1106,0.1475,0.2437,0.2446
10,0.1155,0.1719,0.1169,0.1333,0.1616,0.1568,0.1945,0.1275,0.1398,0.3077,0.3072
11,0.1307,0.1763,0.1206,0.1245,0.1278,0.1853,0.1603,0.1358,0.1685,0.3062,0.3069
12,0.1397,0.1694,0.1332,0.1412,0.1548,0.1528,0.1769,0.1511,0.1725,0.3026,0.3042
13,0.1349,0.1795,0.117,0.1265,0.1668,0.1773,0.1868,0.1479,0.1551,0.319,0.321
14,0.1572,0.1714,0.1491,0.1553,0.1463,0.183,0.1934,0.1454,0.1513,0.3459,0.3466
15,0.1292,0.1801,0.1268,0.1427,0.1511,0.1767,0.2048,0.147,0.1598,0.3393,0.3402
16,0.1611,0.1858,0.1499,0.1365,0.1489,0.1705,0.1974,0.1471,0.1747,0.3338,0.3349
17,0.1283,0.1746,0.1278,0.1502,0.14,0.1802,0.196,0.1367,0.1815,0.3316,0.332
18,0.1115,0.1905,0.1394,0.1643,0.169,0.1574,0.1805,0.1636,0.1794,0.3121,0.3135
19,0.1324,0.1988,0.1396,0.1659,0.1385,0.197,0.2426,0.1656,0.2001,0.3079,0.3077
20,0.152,0.1922,0.1431,0.1718,0.1535,0.1783,0.2191,0.1433,0.2036,0.275,0.2774
21,0.1318,0.2034,0.1401,0.1837,0.1644,0.2026,0.2489,0.1602,0.1966,0.2543,0.2558
22,0.1322,0.207,0.1195,0.1873,0.1437,0.1747,0.2214,0.1651,0.2028,0.3144,0.3168
23,0.1381,0.1851,0.1371,0.1741,0.1933,0.1838,0.2262,0.1704,0.2003,0.289,0.2904
24,0.139,0.1965,0.1305,0.1652,0.16,0.179,0.2385,0.1507,0.1909,0.298,0.2984
25,0.1324,0.2153,0.1487,0.1819,0.1886,0.2028,0.2186,0.165,0.2157,0.3136,0.3141
26,0.1315,0.1793,0.1662,0.1858,0.1554,0.1958,0.2208,0.1796,0.2247,0.2994,0.3025
27,0.1419,0.2065,0.1447,0.187,0.1425,0.1626,0.2361,0.1782,0.2101,0.3033,0.3061
28,0.1319,0.1924,0.1624,0.1812,0.1411,0.1874,0.2397,0.1816,0.2143,0.2974,0.2985
29,0.1564,0.1911,0.1411,0.1888,0.1501,0.2034,0.1999,0.1995,0.2114,0.3308,0.3306
30,0.1456,0.1943,0.1688,0.189,0.1856,0.1861,0.2258,0.1849,0.218,0.3193,0.3206
31,0.1483,0.1885,0.16,0.1539,0.1587,0.1816,0.2325,0.2031,0.1831,0.3536,0.3545
32,0.1418,0.2091,0.1562,0.1941,0.1538,0.1921,0.2387,0.1973,0.2203,0.347,0.3477
33,0.1498,0.2003,0.1639,0.1795,0.147,0.2069,0.2257,0.2016,0.2064,0.2668,0.2684
34,0.1461,0.2041,0.1687,0.1929,0.1687,0.1971,0.2345,0.1883,0.189,0.3255,0.3256
35,0.1626,0.216,0.1672,0.1967,0.1824,0.1939,0.2266,0.1895,0.2334,0.2634,0.2651
36,0.1519,0.1991,0.1613,0.1608,0.1678,0.2081,0.2049,0.2002,0.2313,0.2934,0.2938
37,0.1582,0.2202,0.1556,0.1873,0.1947,0.2111,0.2445,0.1768,0.211,0.3187,0.3195
38,0.1466,0.1871,0.1596,0.1628,0.1474,0.2045,0.2589,0.2073,0.2213,0.3097,0.3125
39,0.1677,0.2084,0.1477,0.1915,0.1554,0.2015,0.2352,0.179,0.2175,0.2995,0.2994
40,0.1621,0.1954,0.1712,0.1843,0.1793,0.216,0.2228,0.2119,0.2335,0.3016,0.3016
41,0.1584,0.229,0.1675,0.1768,0.1682,0.2276,0.2345,0.1803,0.2212,0.2868,0.2865
42,0.1424,0.2102,0.1851,0.1714,0.1639,0.1972,0.226,0.1877,0.2507,0.2612,0.2626
43,0.1578,0.2224,0.1703,0.1849,0.1663,0.1962,0.2422,0.1875,0.2237,0.353,0.3529
44,0.1679,0.2066,0.1573,0.1926,0.1817,0.2171,0.2447,0.1994,0.2421,0.3473,0.3503
45,0.1769,0.2289,0.1742,0.1868,0.1693,0.1935,0.2407,0.2119,0.2232,0.3172,0.3217
46,0.1495,0.2393,0.1757,0.1981,0.1744,0.2269,0.264,0.1801,0.2074,0.2868,0.2898
47,0.164,0.2254,0.1505,0.1603,0.1697,0.1909,0.2412,0.2108,0.217,0.2996,0.3
48,0.1643,0.2185,0.1806,0.1933,0.1748,0.2197,0.2067,0.2141,0.2488,0.3262,0.3247
49,0.1617,0.2152,0.1869,0.1764,0.1609,0.2036,0.2499,0.1837,0.2415,0.3368,0.3363
50,0.1577,0.223,0.1843,0.1696,0.1603,0.2306,0.2345,0.1978,0.2291,0.3352,0.3358
51,0.1587,0.229,0.1842,0.1874,0.1918,0.195,0.2437,0.1799,0.2366,0.3389,0.3419
52,0.1703,0.2201,0.1917,0.1767,0.1508,0.1882,0.2311,0.2053,0.2093,0.2995,0.3017
53,0.1644,0.2477,0.1576,0.1781,0.1876,0.2035,0.242,0.1847,0.2419,0.3305,0.3307
54,0.1607,0.2301,0.1753,0.1652,0.1845,0.2119,0.2232,0.2079,0.2395,0.281,0.2827
55,0.1483,0.2228,0.1876,0.187,0.1956,0.195,0.216,0.2106,0.222,0.2537,0.255
56,0.167,0.2294,0.1661,0.2056,0.1873,0.1951,0.2311,0.2295,0.216,0.3442,0.3459
57,0.1817,0.2264,0.1824,0.1843,0.1766,0.2265,0.2417,0.1978,0.226,0.332,0.333
58,0.1763,0.2136,0.1863,0.1883,0.1502,0.2254,0.24,0.204,0.2429,0.2853,0.2871
59,0.1726,0.2227,0.189,0.1962,0.1791,0.1984,0.2315,0.195,0.2326,0.3401,0.3373
60,0.1556,0.2438,0.1745,0.206,0.2093,0.2101,0.2227,0.1963,0.2238,0.2403,0.2412
61,0.19,0.2306,0.1643,0.2008,0.1903,0.2106,0.2599,0.2208,0.2258,0.2913,0.29
62,0.1712,0.2297,0.1838,0.2048,0.2088,0.2102,0.259,0.2351,0.2388,0.2796,0.28
63,0.1579,0.2382,0.1822,0.2003,0.1844,0.2288,0.236,0.2302,0.2306,0.2931,0.294
64,0.184,0.2194,0.1732,0.1995,0.2024,0.2182,0.2316,0.2201,0.233,0.3127,0.3111
65,0.1659,0.2444,0.1846,0.1926,0.1893,0.212,0.2397,0.2219,0.2287,0.3094,0.3112
66,0.1816,0.2375,0.1823,0.2132,0.2076,0.2177,0.2406,0.2099,0.238,0.3108,0.3119
67,0.1677,0.2341,0.1721,0.1916,0.1849,0.2195,0.2462,0.2266,0.2394,0.3099,0.3107
68,0.164,0.2363,0.172,0.2048,0.1959,0.206,0.2342,0.225,0.237,0.3259,0.3249
69,0.1706,0.2306,0.1804,0.205,0.2027,0.2188,0.229,0.2215,0.2323,0.3287,0.3282
70,0.1663,0.2421,0.192,0.1851,0.1879,0.2149,0.2519,0.2133,0.2398,0.3237,0.3232
71,0.1566,0.2161,0.176,0.2043,0.1919,0.2274,0.2399,0.2137,0.2528,0.3295,0.3306
72,0.1665,0.2271,0.1963,0.191,0.1869,0.217,0.2434,0.2425,0.2399,0.269,0.271
73,0.1738,0.244,0.1791,0.1839,0.1692,0.2228,0.2285,0.2305,0.2422,0.3014,0.3008
74,0.1888,0.2517,0.1956,0.2006,0.2238,0.2352,0.2585,0.2151,0.242,0.3329,0.332
75,0.1821,0.2424,0.1794,0.1977,0.1989,0.2213,0.2486,0.2063,0.2479,0.3077,0.307
76,0.1733,0.2285,0.1821,0.1944,0.1848,0.2232,0.2385,0.225,0.2452,0.3343,0.3335
77,0.1813,0.2445,0.1802,0.2085,0.2077,0.2178,0.2351,0.2288,0.2319,0.3056,0.3064
78,0.1716,0.2249,0.1673,0.195,0.1968,0.2199,0.2461,0.217,0.2468,0.2981,0.3008
