Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.31420000000000003,0.32,0.31343,0.31046999999999997,0.32201,0.31246999999999997,0.30234,0.30816,0.31437000000000004,0.2997,0.3228
2,0.38271,0.38582,0.383,0.38283999999999996,0.39599000000000006,0.3883,0.39122,0.39439,0.39083,0.4029,0.376
3,0.4245,0.42521,0.43193000000000004,0.4286199999999999,0.43037000000000003,0.42467999999999995,0.4341400000000001,0.42940999999999996,0.43642000000000003,0.4683,0.4279
4,0.44361000000000006,0.44880999999999993,0.45011,0.4514500000000001,0.45452000000000004,0.44806999999999997,0.44631,0.44582000000000005,0.45826,0.478,0.4881
5,0.46751,0.4680099999999999,0.46568000000000004,0.46765,0.47058,0.46914,0.47215999999999997,0.45976,0.46142000000000005,0.4995,0.5089
6,0.48313999999999996,0.4868,0.48168000000000005,0.48558,0.48356999999999994,0.4803699999999999,0.4771799999999999,0.47991,0.48101000000000005,0.5127,0.518
7,0.49583999999999995,0.48522,0.49213000000000007,0.48841999999999997,0.49446,0.4931899999999999,0.49204,0.48763999999999996,0.48762,0.54,0.5435
8,0.49978000000000006,0.50348,0.49795,0.5008699999999999,0.49833000000000005,0.50862,0.49926000000000004,0.50661,0.50104,0.5457,0.5561
9,0.5095299999999999,0.5064599999999999,0.51153,0.50714,0.5084799999999999,0.50945,0.51015,0.5085500000000001,0.51424,0.581,0.5627
10,0.51271,0.51379,0.5197200000000001,0.51625,0.5209400000000001,0.5164099999999999,0.5178299999999999,0.51284,0.5130300000000001,0.5605,0.5721
11,0.52288,0.51845,0.5223899999999999,0.52471,0.52308,0.5244000000000001,0.5178100000000001,0.5165,0.5234599999999999,0.5883,0.582
12,0.5279400000000001,0.52874,0.53027,0.52583,0.53577,0.52776,0.53101,0.5309,0.5274599999999999,0.5867,0.5902
13,0.53025,0.53502,0.5340299999999999,0.5288600000000001,0.53815,0.53053,0.53089,0.5334200000000001,0.5306900000000001,0.5775,0.5996
