Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.3427,0.2948,0.306,0.3684,0.341,0.2842,0.3417,0.3617,0.3405,0.3529,0.3818
2,0.3894,0.3456,0.3773,0.3462,0.3411,0.3774,0.3341,0.3448,0.4395,0.4108,0.4416
3,0.3417,0.3722,0.3729,0.4033,0.3645,0.371,0.2822,0.38,0.4746,0.4544,0.4915
4,0.3943,0.3807,0.3706,0.3816,0.3644,0.3518,0.3515,0.3624,0.4972,0.4869,0.5141
5,0.425,0.3466,0.3928,0.4022,0.3164,0.3839,0.3849,0.3303,0.4988,0.5219,0.5297
6,0.3999,0.3866,0.3898,0.4212,0.4084,0.3708,0.4047,0.436,0.5049,0.5252,0.5462
7,0.3048,0.4122,0.3822,0.4094,0.4091,0.3613,0.4029,0.3522,0.5505,0.567,0.5737
8,0.3509,0.346,0.4142,0.4002,0.3743,0.3858,0.3621,0.3624,0.561,0.5781,0.5835
9,0.3307,0.4045,0.4209,0.3329,0.3867,0.4247,0.3891,0.2626,0.5559,0.571,0.603
10,0.3574,0.3738,0.2928,0.392,0.3977,0.3576,0.2507,0.3987,0.595,0.5924,0.6046
11,0.4267,0.3677,0.3736,0.4149,0.3508,0.3156,0.3324,0.3241,0.6053,0.5733,0.6158
12,0.312,0.4287,0.4029,0.2285,0.3688,0.3785,0.166,0.367,0.577,0.604,0.6059
13,0.3756,0.3228,0.3586,0.3796,0.2784,0.3435,0.3809,0.3395,0.6024,0.6108,0.6224
14,0.4258,0.3103,0.3937,0.2249,0.4051,0.3758,0.3027,0.3456,0.6003,0.6079,0.637
15,0.2719,0.3776,0.3931,0.2525,0.2876,0.3656,0.3522,0.3372,0.6227,0.6088,0.6421
16,0.3095,0.3489,0.3663,0.3171,0.3148,0.2775,0.22,0.3223,0.6158,0.6268,0.6449
17,0.3446,0.3527,0.3596,0.2693,0.2456,0.3746,0.2594,0.3146,0.6308,0.6231,0.6514
18,0.3533,0.2972,0.3201,0.3627,0.3257,0.3571,0.3492,0.2834,0.6289,0.6285,0.6401
19,0.1922,0.3091,0.3225,0.3091,0.3472,0.2373,0.2047,0.3306,0.6291,0.6252,0.6547
20,0.2234,0.253,0.3491,0.3232,0.2603,0.3485,0.2314,0.2367,0.6412,0.6411,0.6552
21,0.2968,0.2564,0.3232,0.309,0.1985,0.2491,0.269,0.3677,0.6355,0.6371,0.6568
22,0.2291,0.1873,0.2969,0.2433,0.2277,0.144,0.3024,0.3123,0.6443,0.6443,0.6672
23,0.2682,0.2797,0.2562,0.2166,0.3066,0.2444,0.1513,0.2347,0.6282,0.6394,0.6571
24,0.3055,0.2318,0.2606,0.2193,0.2842,0.2273,0.2718,0.2152,0.6423,0.6412,0.6634
25,0.2381,0.1905,0.1856,0.2032,0.1884,0.2004,0.2772,0.2626,0.6391,0.6405,0.6523
26,0.2535,0.2316,0.2041,0.2227,0.2705,0.2163,0.1909,0.2226,0.642,0.6425,0.6576
27,0.2666,0.1967,0.1341,0.228,0.1896,0.1925,0.2143,0.2292,0.6398,0.6537,0.6529
28,0.2733,0.1958,0.1804,0.2166,0.217,0.1475,0.2683,0.1936,0.6356,0.6472,0.6642
29,0.2754,0.1529,0.1854,0.215,0.2679,0.2726,0.2155,0.228,0.6543,0.6562,0.6645
30,0.2218,0.143,0.2201,0.2554,0.1508,0.2349,0.2002,0.109,0.6352,0.6275,0.6547
31,0.1553,0.2586,0.1174,0.2219,0.2094,0.1428,0.1257,0.2432,0.6459,0.6509,0.6623
32,0.2449,0.1414,0.2196,0.164,0.224,0.2191,0.2175,0.2466,0.6424,0.6473,0.6555
33,0.2205,0.2012,0.2016,0.2723,0.1347,0.2186,0.2818,0.1752,0.6346,0.6389,0.6568
34,0.1021,0.2466,0.1984,0.2476,0.1345,0.2542,0.2232,0.1675,0.6488,0.6419,0.6583
35,0.1564,0.1922,0.2131,0.1716,0.2031,0.3276,0.1675,0.1721,0.6423,0.6501,0.663
36,0.1839,0.234,0.1981,0.196,0.1938,0.151,0.1796,0.176,0.6189,0.6475,0.6489
37,0.1607,0.113,0.2074,0.1998,0.1566,0.1897,0.1208,0.2773,0.6419,0.654,0.662
38,0.259,0.1573,0.2094,0.1908,0.2646,0.1493,0.1651,0.1601,0.6508,0.6555,0.6592
39,0.158,0.1937,0.1839,0.2339,0.2321,0.15,0.2121,0.2214,0.6456,0.6334,0.6503
40,0.1628,0.2614,0.2359,0.1861,0.1779,0.1532,0.1445,0.2162,0.6541,0.6249,0.6531
41,0.1306,0.1919,0.1685,0.1397,0.1738,0.2421,0.179,0.2504,0.6365,0.6386,0.6519
