Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1235
2,0.1,0.1,0.1,0.1001,0.1,0.1,0.1071,0.1,0.1123,0.1036,0.1489
3,0.1,0.1115,0.1,0.1,0.1,0.1046,0.1148,0.1282,0.1031,0.1088,0.1829
4,0.1,0.1,0.1,0.1,0.1,0.1,0.1383,0.1,0.1255,0.1163,0.2125
5,0.102,0.1,0.1,0.126,0.1,0.1024,0.155,0.1,0.1528,0.1312,0.2756
6,0.1001,0.1021,0.1002,0.1,0.1,0.1013,0.1371,0.1144,0.1653,0.1525,0.2855
7,0.1004,0.1015,0.1034,0.1453,0.1001,0.1015,0.1114,0.1,0.1985,0.1593,0.3147
8,0.1,0.1,0.1042,0.1026,0.1,0.1291,0.1302,0.1148,0.1545,0.1764,0.3076
9,0.1001,0.1014,0.1001,0.1038,0.1,0.1169,0.1755,0.1054,0.2054,0.1918,0.3387
10,0.1,0.1055,0.1032,0.1025,0.101,0.1149,0.1134,0.1082,0.1864,0.2096,0.3386
11,0.1002,0.1004,0.1032,0.1197,0.1215,0.1027,0.1042,0.1162,0.225,0.1914,0.3571
12,0.1,0.1141,0.1002,0.1016,0.1002,0.1578,0.1455,0.1316,0.246,0.2692,0.3674
13,0.1,0.1163,0.1,0.1035,0.1053,0.1084,0.1653,0.1086,0.2422,0.235,0.381
14,0.1001,0.1275,0.1002,0.1067,0.1014,0.1232,0.1255,0.1134,0.2272,0.2657,0.3828
15,0.1117,0.1218,0.1051,0.1039,0.1155,0.1415,0.1025,0.1023,0.2756,0.2515,0.3974
16,0.1033,0.1343,0.1208,0.1561,0.1034,0.1586,0.169,0.1212,0.247,0.2906,0.4054
17,0.1165,0.1142,0.1055,0.1041,0.1154,0.1191,0.1346,0.1022,0.2859,0.3185,0.4219
18,0.0999,0.1012,0.1016,0.1269,0.1101,0.1237,0.1524,0.1033,0.2792,0.3102,0.4225
19,0.1307,0.1004,0.1333,0.1172,0.1208,0.1454,0.1587,0.1237,0.2753,0.3118,0.4251
20,0.1119,0.1053,0.1011,0.1181,0.1038,0.1429,0.1007,0.1101,0.3092,0.3186,0.4354
21,0.1116,0.102,0.1029,0.1,0.1058,0.1345,0.154,0.1289,0.345,0.3087,0.439
22,0.1249,0.1152,0.1001,0.1391,0.1078,0.1164,0.1243,0.1003,0.3309,0.3317,0.4481
23,0.1007,0.1072,0.1015,0.1341,0.1166,0.1028,0.1507,0.1029,0.3509,0.314,0.4543
24,0.1086,0.1145,0.1074,0.1001,0.1056,0.1204,0.1776,0.1184,0.3341,0.3346,0.4451
25,0.1051,0.1011,0.1229,0.1002,0.1124,0.1108,0.1349,0.1028,0.2935,0.3236,0.4498
26,0.1027,0.1162,0.1179,0.1413,0.1022,0.1248,0.1196,0.1006,0.3243,0.3369,0.4488
27,0.1036,0.111,0.1002,0.1441,0.1202,0.1066,0.1703,0.1059,0.3407,0.3011,0.4434
28,0.1085,0.1094,0.1033,0.1103,0.1073,0.1343,0.1661,0.1213,0.3568,0.3791,0.4728
29,0.1004,0.1091,0.1018,0.1247,0.1098,0.1459,0.1145,0.1127,0.3415,0.3503,0.465
30,0.1704,0.1417,0.1,0.1087,0.1179,0.122,0.1093,0.146,0.3362,0.3248,0.4581
31,0.1004,0.1158,0.1129,0.1082,0.1159,0.1387,0.1445,0.123,0.3531,0.3761,0.4794
