Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.24312000000000006,0.13496000000000002,0.17048,0.17161999999999997,0.18166,0.17798,0.17629999999999998,0.21488000000000002,0.3904,0.351,0.1
2,0.15664000000000006,0.17804000000000003,0.18252,0.18664,0.16657999999999998,0.1567,0.15438,0.17679999999999996,0.162,0.1398,0.1
3,0.13688000000000003,0.17507999999999999,0.14732000000000003,0.18122,0.14736,0.16722,0.14228000000000002,0.15353999999999995,0.1022,0.1092,0.1
4,0.19741999999999998,0.187,0.1461,0.18408,0.18273999999999999,0.18896,0.18647999999999998,0.1693,0.1034,0.1088,0.1
5,0.23732000000000003,0.21631999999999998,0.22378,0.23443999999999998,0.23606000000000002,0.20745999999999998,0.20966000000000004,0.22744,0.1852,0.2516,0.1
6,0.28363999999999995,0.26226000000000005,0.25434,0.27326,0.2693,0.25661999999999996,0.26705999999999996,0.27378,0.2602,0.2648,0.1
7,0.30832,0.31355999999999995,0.29682,0.31939999999999996,0.31000000000000005,0.31208,0.30618,0.31218,0.256,0.281,0.1
8,0.34034,0.34978,0.32214,0.34232,0.34158000000000005,0.33184,0.33140000000000003,0.34992,0.2822,0.2672,0.1
9,0.35140000000000005,0.36206,0.37213999999999997,0.3772,0.37273999999999996,0.35259999999999997,0.34675999999999996,0.36642,0.2646,0.2666,0.1
10,0.38414,0.39574,0.36440000000000006,0.39426,0.37535999999999997,0.37262000000000006,0.38032000000000005,0.3831,0.2928,0.292,0.1
11,0.39203999999999994,0.41552,0.40048000000000006,0.4065199999999999,0.40568,0.40903999999999996,0.3723599999999999,0.4152600000000001,0.3002,0.2724,0.1
12,0.4372400000000001,0.4332,0.4204,0.44814,0.41240000000000004,0.40390000000000004,0.41382,0.43385999999999997,0.2814,0.294,0.1
13,0.43566000000000005,0.45771999999999996,0.43418,0.44539999999999996,0.44833999999999996,0.43633999999999995,0.44299999999999995,0.46026,0.314,0.3126,0.1
14,0.4619,0.47282,0.45026,0.45282,0.47054,0.46421999999999997,0.45162,0.46640000000000004,0.3046,0.2986,0.1
15,0.46358000000000005,0.47861999999999993,0.45854,0.49067999999999995,0.47016,0.47528,0.46365999999999996,0.47093999999999997,0.3082,0.3008,0.1
16,0.48095999999999994,0.48629999999999995,0.46785999999999994,0.4921399999999999,0.49338,0.48866000000000004,0.4762200000000001,0.47714,0.3098,0.331,0.1
17,0.49017999999999995,0.49382000000000004,0.48452,0.4852200000000001,0.496,0.4787,0.46322,0.50772,0.2986,0.3252,0.1
18,0.4917999999999999,0.5058,0.45898000000000005,0.5147200000000001,0.5030600000000001,0.5001800000000001,0.48804,0.49539999999999995,0.2968,0.3064,0.1
19,0.49842,0.51866,0.50452,0.51586,0.5144,0.5129399999999998,0.48812,0.5040800000000001,0.3046,0.3252,0.1
20,0.508,0.5330999999999999,0.50674,0.5181,0.48671999999999993,0.52054,0.5023799999999999,0.50732,0.2882,0.318,0.1
21,0.5160199999999999,0.52046,0.50548,0.52318,0.52288,0.5206999999999999,0.51332,0.5236999999999999,0.3154,0.3098,0.1
22,0.5191999999999999,0.5299400000000001,0.50888,0.5170399999999999,0.5234400000000001,0.53306,0.51644,0.5208999999999999,0.3126,0.3162,0.1
23,0.52014,0.53548,0.52342,0.51894,0.52842,0.53144,0.5189600000000001,0.5103199999999999,0.2848,0.3168,0.1
24,0.5249,0.52192,0.5189,0.53854,0.51954,0.5395800000000001,0.5112000000000001,0.5344599999999999,0.3104,0.3116,0.1
25,0.5218999999999999,0.5404,0.5275000000000001,0.55018,0.53354,0.53772,0.52864,0.52454,0.3052,0.3122,0.1
26,0.5390199999999998,0.54192,0.5170399999999999,0.54962,0.5357800000000001,0.55358,0.53734,0.5137,0.3018,0.2954,0.1
27,0.53352,0.54358,0.53282,0.5391000000000001,0.5467,0.53932,0.53386,0.5398400000000001,0.3022,0.3384,0.1
