Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.3922,0.3856,0.36285,0.3581,0.37685,0.3501,0.36706,0.3574,0.34152,0.35274,0.404
2,0.4199,0.3857,0.38925,0.41415,0.4338,0.4130599999999999,0.38662,0.39954,0.41274000000000005,0.40844,0.4504
3,0.4622,0.4773,0.4628,0.45435000000000003,0.4648,0.44634,0.44467999999999996,0.45576,0.44611999999999996,0.44645999999999997,0.487
4,0.4785,0.4801,0.48245,0.48105,0.48895,0.47946,0.47386,0.46682000000000007,0.47573999999999994,0.46546000000000004,0.5116
5,0.4963,0.5251,0.5093000000000001,0.5174000000000001,0.49695,0.48968,0.48894000000000004,0.48347999999999997,0.47973999999999994,0.48806000000000005,0.5393
6,0.5412,0.5248,0.52965,0.52485,0.53615,0.5001200000000001,0.5049,0.5096,0.50804,0.51256,0.5622
7,0.5564,0.5585,0.5506,0.5510999999999999,0.5572,0.5225799999999999,0.51962,0.5276,0.52194,0.52668,0.5834
8,0.5742,0.5822,0.5576,0.5693,0.5648,0.53642,0.5386,0.53598,0.5364,0.5381199999999999,0.5964
9,0.5916,0.5689,0.5784,0.56705,0.5736,0.5474800000000001,0.5457599999999999,0.5434599999999999,0.5480600000000001,0.5472800000000001,0.6035
10,0.6001,0.6171,0.5947,0.595,0.59955,0.552,0.55002,0.54914,0.56738,0.56516,0.6265
11,0.5977,0.5849,0.61525,0.5952,0.5903,0.57016,0.55592,0.56618,0.57028,0.5715399999999999,0.6312
12,0.6135,0.623,0.603,0.61175,0.61745,0.5769,0.5691200000000001,0.57482,0.57458,0.57722,0.6435
13,0.602,0.6132,0.62025,0.62275,0.62775,0.5784999999999999,0.5884400000000001,0.5862999999999999,0.57854,0.5820799999999999,0.6491
14,0.6355,0.617,0.6322,0.6019,0.6225,0.5856399999999999,0.5891,0.59172,0.58606,0.59242,0.6598
15,0.6526,0.6318,0.6254,0.6342000000000001,0.6396999999999999,0.5863400000000001,0.59506,0.5888000000000001,0.5925,0.6059800000000001,0.6684
16,0.648,0.6489,0.6353500000000001,0.6305000000000001,0.64715,0.6023799999999999,0.5988399999999999,0.59802,0.60324,0.59776,0.6727
17,0.6519,0.6635,0.6446000000000001,0.63955,0.647,0.6003999999999999,0.6049,0.6095599999999999,0.6,0.5975400000000001,0.6778
18,0.6648,0.6645,0.64745,0.6452,0.6589,0.6104200000000001,0.61096,0.60904,0.6049399999999999,0.60438,0.6842
19,0.651,0.6591,0.64735,0.64115,0.66075,0.6018399999999999,0.60274,0.60518,0.6111000000000001,0.6082,0.6888
20,0.6622,0.6368,0.6605,0.6619999999999999,0.65465,0.6122599999999999,0.61116,0.61406,0.61036,0.6202799999999999,0.6873
21,0.6385,0.669,0.653,0.6511,0.66925,0.61178,0.60978,0.6178,0.6201000000000001,0.61484,0.6945
22,0.6787,0.6486,0.6658999999999999,0.64815,0.673,0.62266,0.6249800000000001,0.61586,0.6148200000000001,0.62984,0.7002
23,0.6657,0.6622,0.6674,0.6729,0.6744,0.6194599999999999,0.6224999999999999,0.61946,0.6152,0.61952,0.6984
24,0.6658,0.6529,0.67195,0.66055,0.67685,0.61788,0.61834,0.6211599999999999,0.63046,0.6267400000000001,0.6992
25,0.6733,0.6734,0.6729,0.6673,0.66885,0.62072,0.62544,0.62946,0.6300999999999999,0.6247199999999999,0.7099
26,0.6629,0.6857,0.6757500000000001,0.67805,0.66405,0.62226,0.6296999999999999,0.62806,0.6297599999999999,0.62432,0.7077
27,0.684,0.6825,0.6739999999999999,0.6778500000000001,0.6770499999999999,0.62784,0.63374,0.63658,0.6258400000000001,0.62732,0.7079
28,0.6838,0.6897,0.6777,0.68145,0.6890000000000001,0.6332,0.6331399999999999,0.62998,0.63046,0.63202,0.7073
29,0.6944,0.6806,0.68855,0.6743,0.68695,0.63732,0.63024,0.6301,0.63378,0.6295999999999999,0.7101
30,0.6932,0.681,0.68345,0.6800999999999999,0.67995,0.63412,0.63242,0.62712,0.62992,0.6386000000000001,0.711
