Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.1,0.1,0.1,0.104,0.1,0.10654000000000001,0.13488,0.1147,0.11706000000000001,0.12077999999999997,0.1327
2,0.1,0.103,0.1002,0.1402,0.10015,0.13372,0.18216000000000002,0.14474,0.14154000000000003,0.13546,0.2033
3,0.1165,0.1477,0.12925,0.14085,0.10120000000000001,0.17875999999999997,0.20901999999999998,0.14987999999999999,0.17214,0.15312,0.2864
4,0.1614,0.2802,0.15585,0.17804999999999999,0.12365,0.17595999999999998,0.2326,0.17185999999999998,0.19128,0.18896000000000002,0.3229
5,0.1833,0.1943,0.13115000000000002,0.1825,0.1728,0.19866,0.25038,0.1998,0.23015999999999998,0.22984,0.3513
6,0.2153,0.2647,0.20385,0.25075000000000003,0.20965,0.22277999999999998,0.26744,0.21417999999999998,0.23416,0.24201999999999999,0.3785
7,0.1906,0.2713,0.20855,0.27545,0.2262,0.24338,0.28416,0.23178,0.2414,0.27125999999999995,0.3953
8,0.2569,0.2977,0.18385,0.26144999999999996,0.2374,0.24676,0.28892,0.24010000000000004,0.27338,0.26904000000000006,0.4221
9,0.2942,0.3223,0.21905,0.2681,0.23455,0.25338000000000005,0.30908,0.25294,0.27494,0.28788,0.4384
10,0.3078,0.3424,0.23695,0.27695000000000003,0.25595,0.2633,0.32741999999999993,0.24720000000000003,0.30254,0.30989999999999995,0.4624
11,0.2632,0.3678,0.25125000000000003,0.30345,0.23585,0.29012000000000004,0.32848,0.29328000000000004,0.29696,0.31242000000000003,0.4754
12,0.3723,0.3582,0.27054999999999996,0.2914,0.269,0.28700000000000003,0.33192,0.29946,0.31492,0.33594,0.4914
13,0.3593,0.3949,0.26025,0.3253,0.26339999999999997,0.30448,0.35166,0.28164,0.33874,0.33116,0.5041
14,0.3218,0.4027,0.28400000000000003,0.32935000000000003,0.27865,0.31388,0.35252000000000006,0.33746,0.33668000000000003,0.31814000000000003,0.5124
15,0.4123,0.3906,0.26825,0.32594999999999996,0.2946,0.32228,0.34612,0.31923999999999997,0.36888,0.34653999999999996,0.5139
16,0.3715,0.4385,0.27875,0.35035,0.3123,0.3154,0.3599,0.32184,0.3690399999999999,0.3359599999999999,0.5288
17,0.3809,0.436,0.2995,0.33535,0.32965,0.31854,0.36116000000000004,0.34931999999999996,0.35902,0.37173999999999996,0.5331
18,0.3771,0.4642,0.32985,0.34235,0.347,0.34585999999999995,0.35046,0.33448,0.3747599999999999,0.36248,0.5347
19,0.3832,0.4375,0.3033,0.35550000000000004,0.35219999999999996,0.34818,0.39505999999999997,0.36541999999999997,0.38553999999999994,0.36850000000000005,0.548
20,0.3928,0.4607,0.32615000000000005,0.36060000000000003,0.35415,0.3436,0.39537999999999995,0.36394,0.38932,0.37534000000000006,0.5551
21,0.4393,0.4168,0.37255,0.37085,0.38055,0.36018000000000006,0.39916,0.36175999999999997,0.39784,0.37727999999999995,0.5586
22,0.4466,0.448,0.3237,0.38385,0.38755,0.34436000000000005,0.41606,0.37934,0.39238,0.39030000000000004,0.5738
23,0.3972,0.4598,0.3517,0.39805,0.40049999999999997,0.35828000000000004,0.40434000000000003,0.37346,0.39904,0.37973999999999997,0.5673
24,0.43,0.452,0.33355,0.4047,0.38849999999999996,0.3762,0.41147999999999996,0.38937999999999995,0.40274,0.39564000000000005,0.5777
25,0.4065,0.4848,0.3601,0.38815,0.38415,0.36406,0.41352,0.38914,0.41609999999999997,0.38642000000000004,0.5797
26,0.4315,0.4777,0.33685,0.40090000000000003,0.40765,0.3737,0.4175,0.39805999999999997,0.43016,0.39705999999999997,0.5824
27,0.4579,0.4603,0.37415,0.4044,0.40495000000000003,0.38058000000000003,0.40736,0.39139999999999997,0.42978000000000005,0.40625999999999995,0.587
28,0.448,0.4773,0.38765,0.42174999999999996,0.4243,0.37801999999999997,0.4061,0.3935,0.41844000000000003,0.41003999999999996,0.5919
29,0.4269,0.4944,0.37785,0.4123,0.42215,0.37878,0.42618,0.41052,0.42913999999999997,0.41144,0.5866
30,0.4833,0.4655,0.38085,0.4424,0.43915,0.39708,0.42392,0.41764,0.42004,0.40923999999999994,0.5944
31,0.4169,0.489,0.3881,0.43055,0.42669999999999997,0.38893999999999995,0.4366199999999999,0.40646000000000004,0.41764,0.40544,0.5882
32,0.4418,0.5145,0.3758,0.4345,0.42825,0.40223999999999993,0.45332,0.42498,0.43610000000000004,0.4247000000000001,0.5938
33,0.4947,0.4879,0.3967,0.4295,0.43010000000000004,0.38782,0.44014,0.4128,0.4372,0.41628,0.5997
34,0.4859,0.4999,0.395,0.4414,0.42015,0.39902,0.45694,0.42702,0.44546,0.4242800000000001,0.5925
35,0.4751,0.4768,0.43705000000000005,0.4329,0.45665,0.38904,0.44444,0.41800000000000004,0.44777999999999996,0.43308,0.5985
36,0.493,0.514,0.41925,0.44375,0.4441,0.40170000000000006,0.44193999999999994,0.4327,0.44824,0.42918,0.6041
37,0.4811,0.5081,0.4313,0.46440000000000003,0.4517,0.39598,0.45282,0.42972,0.44204,0.4226,0.5984
38,0.5044,0.4918,0.41200000000000003,0.44999999999999996,0.46655,0.39688,0.45384,0.43826,0.45217999999999997,0.4401,0.6076
39,0.4954,0.4912,0.38125,0.4413,0.46885,0.40384000000000003,0.45831999999999995,0.43296,0.44745999999999997,0.42922000000000005,0.6023
40,0.4772,0.5119,0.4083,0.4579,0.44275,0.40008,0.45332,0.4367,0.45872,0.43342,0.6044
41,0.4929,0.5361,0.42810000000000004,0.4355,0.4548,0.40872,0.46094,0.43988000000000005,0.44754000000000005,0.4407,0.6121
42,0.5288,0.5198,0.4164,0.4601,0.48155000000000003,0.41966000000000003,0.4558,0.43390000000000006,0.44448,0.43664000000000003,0.6091
43,0.4598,0.5367,0.42405000000000004,0.44055,0.4601,0.40418000000000004,0.46964000000000006,0.43658,0.45312,0.43357999999999997,0.6078
44,0.5117,0.5089,0.42965,0.45195,0.47209999999999996,0.4199,0.44471999999999995,0.44455999999999996,0.4649,0.44205999999999995,0.6127
45,0.5283,0.5188,0.40659999999999996,0.44915,0.4749,0.41022,0.46449999999999997,0.44826,0.45544,0.43762000000000006,0.608
46,0.4925,0.5133,0.44355,0.45299999999999996,0.4733,0.41244,0.45942000000000005,0.44046,0.47475999999999996,0.44182000000000005,0.6081
47,0.4657,0.5116,0.42305000000000004,0.4807,0.4738,0.42460000000000003,0.45892,0.44588,0.45124000000000003,0.44037999999999994,0.6094
