Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.2873,0.341,0.3625,0.3511,0.3861,0.3333,0.3068,0.3354,0.3792,0.3466,0.3702
2,0.4426,0.418,0.4218,0.4251,0.4205,0.4209,0.4172,0.4221,0.4325,0.4257,0.4603
3,0.4553,0.4657,0.4767,0.4717,0.4437,0.4254,0.4355,0.4517,0.4658,0.4433,0.4938
4,0.4911,0.4703,0.4965,0.4755,0.4934,0.4849,0.4681,0.4858,0.4774,0.4788,0.5221
5,0.5234,0.5172,0.4874,0.5088,0.4842,0.4945,0.4991,0.5025,0.5021,0.4992,0.5454
6,0.5377,0.536,0.5288,0.5097,0.5353,0.5274,0.5314,0.5216,0.5138,0.5154,0.5583
7,0.5306,0.5409,0.526,0.5355,0.5408,0.5439,0.549,0.5359,0.5422,0.5444,0.5748
8,0.5593,0.538,0.5462,0.539,0.5403,0.5546,0.5389,0.5534,0.5395,0.5607,0.5908
9,0.574,0.5583,0.5703,0.5598,0.5503,0.5639,0.5728,0.5745,0.5729,0.5685,0.6019
10,0.5747,0.5792,0.5596,0.5832,0.5879,0.5713,0.5708,0.5738,0.5782,0.5811,0.6094
11,0.5804,0.5809,0.5878,0.5673,0.592,0.5827,0.5932,0.5703,0.5852,0.5864,0.6177
12,0.5989,0.59,0.6013,0.5626,0.5924,0.5712,0.586,0.5674,0.5632,0.5725,0.6261
13,0.5877,0.5976,0.5927,0.5883,0.5953,0.6013,0.5923,0.5994,0.5847,0.601,0.6292
14,0.6073,0.6025,0.5862,0.6012,0.5991,0.6014,0.6053,0.5973,0.5994,0.6042,0.6326
15,0.6192,0.6054,0.6163,0.5916,0.5955,0.6123,0.5952,0.602,0.593,0.6073,0.6413
16,0.6201,0.6103,0.6202,0.5998,0.6041,0.6107,0.6037,0.6098,0.6175,0.6087,0.6446
17,0.6316,0.6052,0.6216,0.6166,0.6002,0.6041,0.6225,0.6114,0.62,0.6069,0.6465
18,0.616,0.6176,0.6245,0.614,0.6307,0.63,0.6211,0.6061,0.6167,0.6246,0.6516
19,0.6325,0.6394,0.6343,0.6242,0.6292,0.6253,0.6168,0.626,0.6265,0.6275,0.6517
20,0.6225,0.6275,0.6408,0.618,0.6349,0.6307,0.6248,0.6029,0.6246,0.6157,0.6585
21,0.628,0.6193,0.6231,0.6352,0.6066,0.6149,0.6278,0.6211,0.6296,0.6285,0.664
22,0.6334,0.6332,0.6361,0.6371,0.6368,0.6228,0.6476,0.6319,0.6282,0.6095,0.6644
23,0.641,0.6295,0.6216,0.6286,0.6297,0.6227,0.6276,0.6366,0.6334,0.6259,0.6677
24,0.6492,0.6477,0.6145,0.6407,0.6369,0.6406,0.6396,0.6336,0.642,0.6414,0.668
25,0.6352,0.6442,0.6383,0.6409,0.6406,0.6317,0.6366,0.632,0.6397,0.6187,0.6727
26,0.6358,0.6382,0.6477,0.6474,0.6499,0.631,0.6372,0.6377,0.6358,0.6377,0.6705
27,0.642,0.6523,0.6513,0.6444,0.6394,0.6418,0.6513,0.6403,0.6409,0.6437,0.6762
28,0.6371,0.6431,0.6455,0.637,0.6428,0.6501,0.6519,0.6509,0.6339,0.6473,0.6728
29,0.6498,0.6432,0.6476,0.6241,0.6514,0.6534,0.643,0.6394,0.6504,0.6426,0.679
30,0.6486,0.6529,0.657,0.6413,0.6484,0.6467,0.6486,0.6415,0.6517,0.6649,0.6771
31,0.6525,0.6544,0.645,0.6351,0.6407,0.6559,0.6528,0.6603,0.6479,0.6458,0.681
32,0.6511,0.6559,0.6555,0.6498,0.6514,0.6627,0.6462,0.6591,0.6458,0.6536,0.6833
33,0.6451,0.6488,0.6637,0.6597,0.6417,0.6594,0.653,0.6565,0.6609,0.6469,0.6849
34,0.662,0.6548,0.634,0.6513,0.6612,0.6624,0.6506,0.6475,0.6311,0.6531,0.6859
35,0.6552,0.6664,0.6545,0.6552,0.6537,0.6668,0.6635,0.6604,0.6594,0.6417,0.6879
36,0.6584,0.6421,0.666,0.6393,0.6569,0.6627,0.6506,0.6611,0.6349,0.6574,0.6923
37,0.6655,0.6686,0.6662,0.6592,0.6545,0.6535,0.6569,0.6687,0.6625,0.6383,0.6907
38,0.6551,0.658,0.6644,0.6467,0.6582,0.6541,0.6633,0.6566,0.6654,0.6557,0.6884
39,0.6639,0.6436,0.6588,0.6565,0.6591,0.6601,0.6559,0.6717,0.6634,0.6539,0.6912
40,0.6547,0.674,0.6613,0.6711,0.66,0.6663,0.6575,0.6579,0.6699,0.6693,0.6923
41,0.6697,0.6497,0.664,0.6648,0.6602,0.6527,0.6612,0.652,0.6641,0.6626,0.6915
42,0.6614,0.6669,0.6706,0.6704,0.6706,0.6655,0.662,0.6642,0.6604,0.6536,0.6942
43,0.676,0.6616,0.6637,0.6576,0.6698,0.6716,0.6685,0.6598,0.6727,0.6708,0.6943
44,0.6706,0.668,0.6673,0.6668,0.6652,0.6675,0.6609,0.6564,0.6691,0.6602,0.6945
45,0.6558,0.6764,0.6576,0.6743,0.675,0.6405,0.6684,0.6672,0.6518,0.6738,0.6932
46,0.671,0.6683,0.6746,0.6619,0.6662,0.6506,0.6589,0.6666,0.6629,0.6704,0.694
47,0.6488,0.6672,0.6644,0.6622,0.6773,0.6665,0.6613,0.6706,0.659,0.6595,0.6933
48,0.6763,0.6697,0.6706,0.6548,0.6742,0.6537,0.6692,0.6607,0.6658,0.6599,0.6973
49,0.6788,0.6628,0.6747,0.6622,0.6685,0.6697,0.6628,0.6493,0.6562,0.644,0.6966
50,0.6692,0.6665,0.6644,0.6759,0.6668,0.6662,0.672,0.6621,0.6676,0.6581,0.6937
51,0.6621,0.6613,0.6746,0.6747,0.6717,0.6712,0.6668,0.6661,0.6737,0.6641,0.6961
52,0.6691,0.6709,0.6704,0.6684,0.6686,0.6737,0.6678,0.6776,0.6722,0.6727,0.6975
53,0.6708,0.6727,0.6732,0.6602,0.6742,0.6531,0.6668,0.6688,0.6696,0.6741,0.6987
54,0.6705,0.67,0.666,0.6649,0.6758,0.6682,0.6433,0.6782,0.6699,0.6729,0.6996
55,0.6645,0.6657,0.6639,0.6537,0.6696,0.6649,0.6616,0.6656,0.6609,0.6763,0.698
56,0.6729,0.674,0.6733,0.6745,0.6827,0.665,0.6771,0.6711,0.6728,0.6642,0.7004
57,0.6724,0.6693,0.6656,0.6771,0.6673,0.6743,0.6748,0.679,0.6787,0.6735,0.6986
58,0.6705,0.6797,0.6687,0.6651,0.6731,0.6529,0.6586,0.6726,0.6741,0.6691,0.6959
59,0.6752,0.6789,0.6832,0.6691,0.6725,0.6554,0.6594,0.6798,0.6653,0.6747,0.6999
60,0.6814,0.6621,0.6695,0.6702,0.6768,0.6606,0.66,0.6784,0.6696,0.6633,0.7022
61,0.6774,0.6824,0.6841,0.6625,0.6708,0.6664,0.6811,0.6708,0.6757,0.6707,0.7017
62,0.6444,0.6652,0.6738,0.6677,0.6635,0.6753,0.6714,0.645,0.6768,0.6765,0.6986
63,0.6768,0.6804,0.6713,0.6766,0.6732,0.6722,0.6665,0.6754,0.6792,0.6653,0.702
64,0.6748,0.6747,0.6781,0.6725,0.672,0.6724,0.6771,0.6703,0.6698,0.6583,0.7002
65,0.6749,0.6752,0.6738,0.6763,0.6717,0.6675,0.6671,0.6763,0.6738,0.6631,0.6997
66,0.6731,0.6766,0.6711,0.6635,0.6744,0.6636,0.6675,0.6735,0.6742,0.6765,0.6994
67,0.6608,0.6533,0.6685,0.6804,0.6729,0.6698,0.6661,0.6738,0.6767,0.6724,0.7045
68,0.6618,0.682,0.6632,0.6597,0.6552,0.6666,0.6827,0.6698,0.677,0.6803,0.7012
69,0.6736,0.6757,0.6741,0.6784,0.6764,0.6719,0.6709,0.6778,0.6755,0.6697,0.7006
70,0.6692,0.6575,0.6797,0.6752,0.678,0.6687,0.6594,0.6689,0.6645,0.6673,0.7003
71,0.6766,0.6702,0.6751,0.6547,0.682,0.6759,0.6768,0.6764,0.6746,0.6722,0.7002
72,0.6762,0.6742,0.6696,0.6703,0.6684,0.6794,0.6599,0.6677,0.6712,0.6737,0.6984
73,0.6806,0.6831,0.6683,0.6774,0.6741,0.6567,0.6693,0.6518,0.6752,0.6622,0.7004
74,0.6729,0.6667,0.6735,0.6764,0.6795,0.6783,0.6742,0.6799,0.678,0.6798,0.7004
75,0.6808,0.6791,0.6797,0.6751,0.6757,0.6754,0.6717,0.6686,0.6761,0.6776,0.7018
76,0.675,0.6728,0.6705,0.6637,0.6778,0.6705,0.6743,0.6823,0.6611,0.6768,0.7019
77,0.6638,0.6376,0.68,0.6724,0.6814,0.6854,0.6749,0.6754,0.6752,0.67,0.7015
78,0.6791,0.6706,0.6685,0.6717,0.6785,0.6738,0.672,0.6779,0.6611,0.6726,0.7016
79,0.6778,0.6809,0.6691,0.6665,0.6874,0.6812,0.6791,0.6801,0.6656,0.668,0.7024
80,0.6756,0.6788,0.672,0.676,0.6766,0.6708,0.6619,0.6772,0.6652,0.6737,0.7035
81,0.672,0.684,0.6839,0.6757,0.6676,0.6733,0.6697,0.6817,0.6692,0.6762,0.704
82,0.68,0.679,0.6765,0.6698,0.6763,0.6684,0.6747,0.6803,0.6724,0.6738,0.7014
83,0.6779,0.6835,0.669,0.6821,0.6762,0.6737,0.6614,0.6728,0.6832,0.6772,0.7033
84,0.6767,0.6789,0.6866,0.6745,0.6799,0.6633,0.6787,0.6768,0.6772,0.6786,0.703
85,0.6708,0.6712,0.6743,0.6807,0.6811,0.6647,0.671,0.6805,0.6754,0.6785,0.7018
86,0.6625,0.6723,0.6664,0.6697,0.6755,0.6706,0.6801,0.6824,0.6731,0.678,0.7025
87,0.6807,0.676,0.6709,0.668,0.6784,0.6719,0.6826,0.6829,0.6718,0.6704,0.7043
