Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.3583,0.3551,0.37375,0.37465,0.38075000000000003,0.3609,0.35244,0.35338,0.37324,0.3605,0.4005
2,0.3605,0.4208,0.42035,0.41154999999999997,0.40354999999999996,0.37984,0.39828,0.40302000000000004,0.39342,0.40448000000000006,0.4271
3,0.4461,0.4173,0.4485,0.443,0.45125,0.41964000000000007,0.41842000000000007,0.40692000000000006,0.434,0.42241999999999996,0.4731
4,0.4824,0.4777,0.47855000000000003,0.45425000000000004,0.46405,0.42566,0.4394,0.43235999999999997,0.44304,0.44766000000000006,0.5009
5,0.4858,0.5098,0.48775,0.4885,0.50515,0.45874000000000004,0.45947999999999994,0.46993999999999997,0.4467,0.46546000000000004,0.5121
6,0.5239,0.5133,0.50695,0.5055499999999999,0.50885,0.47806,0.47858,0.476,0.47342000000000006,0.47190000000000004,0.5447
7,0.5087,0.528,0.5146999999999999,0.51405,0.5345,0.47952000000000006,0.4839399999999999,0.48362,0.48044000000000003,0.49984,0.5587
8,0.562,0.5583,0.5405,0.54315,0.53955,0.50596,0.5053799999999999,0.49372,0.4981,0.5009,0.5762
9,0.5553,0.5691,0.55955,0.5386,0.56215,0.50338,0.50186,0.5058,0.50568,0.52186,0.5842
10,0.5921,0.5658,0.5585,0.55915,0.5508,0.5222,0.52654,0.529,0.51264,0.5179600000000001,0.5986
11,0.5901,0.605,0.58035,0.5837,0.5695,0.52286,0.5227,0.53136,0.5202,0.52882,0.6123
12,0.5968,0.5862,0.5922499999999999,0.5761000000000001,0.5892,0.5345,0.53106,0.52798,0.5282,0.52408,0.625
13,0.6084,0.6127,0.5867,0.5875,0.5913999999999999,0.5332399999999999,0.5335399999999999,0.5451400000000001,0.54524,0.5203,0.6268
14,0.628,0.6138,0.5954,0.59815,0.6031,0.54936,0.54116,0.5401999999999999,0.54238,0.5507799999999999,0.6398
15,0.6315,0.6187,0.6073999999999999,0.59965,0.6153500000000001,0.5478799999999999,0.5435399999999999,0.5364000000000001,0.5409200000000001,0.5438400000000001,0.6495
16,0.6442,0.6355,0.5983499999999999,0.61765,0.6084499999999999,0.5625399999999999,0.5577,0.54122,0.5543199999999999,0.54806,0.6546
17,0.6216,0.6411,0.62435,0.62195,0.6223000000000001,0.55724,0.5633,0.54314,0.55882,0.5641999999999999,0.6608
18,0.6406,0.6286,0.6257,0.6078,0.62715,0.5653,0.5595400000000001,0.56556,0.56262,0.5623199999999999,0.6664
19,0.6502,0.6505,0.6355,0.62685,0.62705,0.54878,0.56652,0.5536800000000001,0.5586399999999999,0.55672,0.6674
20,0.6542,0.6428,0.63605,0.62885,0.63385,0.5744199999999999,0.5681200000000001,0.56124,0.5745600000000001,0.5774400000000001,0.6639
21,0.6679,0.6609,0.62845,0.64165,0.63225,0.56056,0.57054,0.57818,0.55388,0.5666800000000001,0.6807
22,0.6272,0.6553,0.65425,0.6541999999999999,0.64385,0.5755999999999999,0.58558,0.57004,0.5604800000000001,0.5681200000000001,0.6852
23,0.675,0.67,0.6564,0.6464,0.65795,0.55872,0.56118,0.58036,0.58344,0.5687,0.6889
24,0.6783,0.6787,0.6577999999999999,0.65505,0.646,0.5729200000000001,0.57692,0.57984,0.58062,0.5824199999999999,0.6938
25,0.6658,0.6467,0.6524,0.6546,0.6651,0.56814,0.58324,0.5689599999999999,0.57312,0.58836,0.6855
26,0.6823,0.6569,0.6524000000000001,0.6629,0.66655,0.57724,0.57818,0.58826,0.58016,0.59028,0.6992
27,0.6743,0.66,0.67055,0.6549,0.6755,0.58122,0.58486,0.58664,0.58666,0.5827600000000001,0.6912
28,0.6937,0.6797,0.6657,0.6508,0.6750499999999999,0.5849000000000001,0.58728,0.57804,0.57642,0.58434,0.7071
29,0.6935,0.6787,0.67595,0.6759,0.6647000000000001,0.57804,0.57324,0.57302,0.5917,0.57436,0.7016
30,0.6808,0.6845,0.6589499999999999,0.669,0.6607000000000001,0.55408,0.5761000000000001,0.5834999999999999,0.5784999999999999,0.57992,0.7077
31,0.6912,0.6908,0.67315,0.6590499999999999,0.6702,0.5967399999999999,0.58816,0.5900599999999999,0.59324,0.58412,0.7152
32,0.6929,0.6984,0.6779999999999999,0.66475,0.67675,0.58384,0.5699,0.5944,0.5987600000000001,0.58948,0.7217
33,0.7092,0.6936,0.67625,0.6688000000000001,0.68495,0.585,0.5806,0.58416,0.5881000000000001,0.58508,0.7215
34,0.7022,0.6873,0.67795,0.6728000000000001,0.6814,0.58976,0.59506,0.5969,0.58558,0.59644,0.7224
35,0.6964,0.684,0.6779999999999999,0.6738500000000001,0.68545,0.5776600000000001,0.58046,0.5612,0.5861400000000001,0.59658,0.7178
36,0.7008,0.6864,0.6885,0.67795,0.6835,0.57894,0.5998600000000001,0.59448,0.58554,0.59484,0.7234
37,0.7037,0.7131,0.68255,0.68315,0.6656,0.5676599999999999,0.5909,0.58972,0.5872599999999999,0.5888800000000001,0.7147
38,0.7179,0.7122,0.6849000000000001,0.6805,0.69235,0.6053200000000001,0.59386,0.58934,0.5724799999999999,0.5938,0.7246
39,0.6998,0.7195,0.6872,0.6816,0.68855,0.60028,0.5786399999999999,0.59304,0.59912,0.59194,0.7314
40,0.7161,0.6917,0.6812,0.6837,0.6765000000000001,0.59494,0.59636,0.5968,0.59472,0.59398,0.7266
41,0.7197,0.7169,0.6862999999999999,0.6937500000000001,0.6912499999999999,0.58824,0.60188,0.5882000000000002,0.57802,0.59596,0.7321
42,0.7219,0.7118,0.6930499999999999,0.68725,0.69145,0.59942,0.5948399999999999,0.6072,0.58096,0.5911000000000001,0.7291
43,0.7124,0.7176,0.69835,0.6935,0.69705,0.59764,0.59916,0.58766,0.5883399999999999,0.5864800000000001,0.7374
44,0.7187,0.7144,0.6913,0.6969,0.6976,0.58696,0.6047,0.59618,0.5851799999999999,0.59374,0.7347
45,0.7229,0.7155,0.6947000000000001,0.69825,0.6986,0.57004,0.58612,0.59944,0.5796,0.5833200000000001,0.7361
46,0.7184,0.7246,0.6997,0.6995499999999999,0.7001,0.5819599999999999,0.59914,0.58142,0.5890000000000001,0.5874599999999999,0.7381
47,0.7278,0.7331,0.69855,0.69635,0.70105,0.57614,0.5911200000000001,0.58666,0.5887399999999999,0.60056,0.7343
48,0.7172,0.7207,0.69375,0.6942999999999999,0.6867,0.59448,0.6014,0.59094,0.5941599999999999,0.5917600000000001,0.7403
49,0.7112,0.7066,0.7005999999999999,0.70695,0.6986,0.5875999999999999,0.59594,0.5873799999999999,0.5882799999999999,0.57758,0.7334
50,0.7246,0.7093,0.69985,0.6991,0.70705,0.57438,0.6005,0.60094,0.6034200000000001,0.59576,0.7441
51,0.72,0.7314,0.70355,0.7085,0.7052,0.59238,0.59656,0.57054,0.5891000000000001,0.6009,0.7426
52,0.724,0.7233,0.6968,0.7026,0.70265,0.59548,0.56254,0.5979199999999999,0.56606,0.57628,0.7382
53,0.7266,0.731,0.6993,0.7034,0.7033499999999999,0.58118,0.59768,0.60038,0.60112,0.5864,0.7447
54,0.7252,0.7179,0.70215,0.70835,0.6973,0.59828,0.58476,0.6035600000000001,0.56812,0.5934800000000001,0.7444
55,0.7344,0.7305,0.70715,0.70765,0.7058,0.59444,0.59994,0.5931399999999999,0.5905,0.57814,0.7463
56,0.7233,0.7289,0.70425,0.7098500000000001,0.6971,0.5825,0.6032599999999999,0.58554,0.58772,0.5748599999999999,0.7437
57,0.737,0.728,0.70325,0.7081500000000001,0.71165,0.5913,0.59196,0.5947600000000001,0.5926799999999999,0.5898199999999999,0.7438
58,0.7355,0.7374,0.7072499999999999,0.7113499999999999,0.7031000000000001,0.5919000000000001,0.59654,0.59102,0.58668,0.5878,0.7467
59,0.7418,0.7246,0.71115,0.7120500000000001,0.70905,0.58524,0.5847800000000001,0.5818800000000001,0.5888599999999999,0.58138,0.7486
60,0.7348,0.728,0.7106,0.7111000000000001,0.7152000000000001,0.59792,0.5934200000000001,0.5740000000000001,0.5953199999999998,0.5970199999999999,0.7506
61,0.7183,0.7215,0.7021,0.7023,0.7105,0.5828599999999999,0.5915000000000001,0.59552,0.5856600000000001,0.57126,0.7471
62,0.7396,0.7238,0.7004999999999999,0.7153,0.7051499999999999,0.5823599999999999,0.59726,0.60564,0.59476,0.58668,0.7502
63,0.7226,0.7286,0.7187,0.7139,0.7042999999999999,0.57636,0.57438,0.5915600000000001,0.58658,0.5847600000000001,0.75
64,0.7322,0.7323,0.71645,0.71245,0.7125999999999999,0.5887,0.58406,0.5849,0.56928,0.59878,0.7547
65,0.7388,0.7326,0.69975,0.70535,0.7158,0.58056,0.59248,0.5718399999999999,0.5908200000000001,0.57338,0.7442
66,0.7395,0.7303,0.71045,0.70055,0.7162999999999999,0.5705,0.577,0.57034,0.5802799999999999,0.5781799999999999,0.7534
67,0.7401,0.7267,0.7157,0.7050000000000001,0.71765,0.5824,0.57506,0.59064,0.57906,0.5982000000000001,0.7547
68,0.7428,0.7296,0.7037,0.72345,0.7206999999999999,0.5899,0.58812,0.5768000000000001,0.5788399999999999,0.5780200000000001,0.7544
69,0.7305,0.7286,0.7092499999999999,0.7094499999999999,0.7186999999999999,0.5855600000000001,0.58998,0.5872200000000001,0.58,0.5918,0.7509
