Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
1,0.262,0.0,0.644,0.0,0.475,0.003,0.0,0.0,0.0,0.0
2,0.705,0.01,0.476,0.0,0.35,0.136,0.0,0.0,0.1,0.288
3,0.583,0.236,0.14,0.098,0.271,0.154,0.518,0.077,0.302,0.47
4,0.605,0.202,0.111,0.134,0.456,0.121,0.363,0.1,0.393,0.396
5,0.564,0.343,0.111,0.092,0.458,0.142,0.486,0.168,0.396,0.482
6,0.563,0.427,0.077,0.217,0.603,0.121,0.295,0.271,0.467,0.443
7,0.625,0.375,0.393,0.168,0.492,0.153,0.203,0.341,0.441,0.333
8,0.587,0.566,0.174,0.232,0.522,0.148,0.391,0.395,0.422,0.453
9,0.662,0.467,0.219,0.131,0.629,0.282,0.198,0.308,0.398,0.317
10,0.62,0.524,0.255,0.209,0.585,0.243,0.275,0.374,0.454,0.388
11,0.594,0.651,0.145,0.127,0.547,0.384,0.373,0.418,0.486,0.427
12,0.629,0.628,0.19,0.167,0.563,0.359,0.274,0.419,0.507,0.355
13,0.599,0.69,0.235,0.204,0.562,0.32,0.421,0.428,0.483,0.41
14,0.581,0.734,0.184,0.216,0.483,0.391,0.526,0.47,0.489,0.418
15,0.608,0.66,0.266,0.266,0.515,0.387,0.501,0.424,0.482,0.418
16,0.589,0.725,0.202,0.28,0.529,0.406,0.473,0.436,0.53,0.399
17,0.593,0.693,0.249,0.259,0.49,0.395,0.523,0.501,0.533,0.486
18,0.624,0.665,0.321,0.326,0.441,0.459,0.489,0.472,0.544,0.461
19,0.587,0.763,0.265,0.282,0.51,0.365,0.603,0.505,0.516,0.428
20,0.617,0.757,0.319,0.3,0.548,0.35,0.509,0.52,0.48,0.469
21,0.587,0.734,0.315,0.269,0.548,0.349,0.605,0.502,0.578,0.472
22,0.609,0.726,0.309,0.316,0.574,0.39,0.565,0.482,0.578,0.463
23,0.609,0.752,0.322,0.334,0.511,0.406,0.623,0.5,0.581,0.453
24,0.583,0.776,0.286,0.318,0.524,0.406,0.601,0.583,0.623,0.493
25,0.614,0.753,0.376,0.345,0.494,0.444,0.594,0.551,0.598,0.477
26,0.622,0.799,0.397,0.27,0.501,0.369,0.592,0.574,0.607,0.471
27,0.611,0.742,0.4,0.369,0.468,0.418,0.607,0.553,0.648,0.5
28,0.631,0.822,0.32,0.272,0.52,0.407,0.646,0.59,0.562,0.516
29,0.633,0.779,0.358,0.316,0.505,0.354,0.69,0.594,0.574,0.535
30,0.607,0.75,0.374,0.352,0.498,0.45,0.617,0.603,0.627,0.544
31,0.635,0.757,0.379,0.363,0.499,0.418,0.671,0.592,0.608,0.531
32,0.633,0.77,0.357,0.4,0.464,0.45,0.664,0.624,0.626,0.536
33,0.667,0.774,0.411,0.278,0.525,0.393,0.717,0.569,0.604,0.521
34,0.656,0.799,0.406,0.326,0.5,0.359,0.732,0.591,0.611,0.532
35,0.643,0.775,0.402,0.366,0.5,0.441,0.667,0.625,0.656,0.547
36,0.663,0.806,0.397,0.35,0.517,0.41,0.677,0.611,0.634,0.547
37,0.66,0.798,0.418,0.334,0.471,0.455,0.708,0.627,0.643,0.538
38,0.645,0.776,0.421,0.396,0.524,0.377,0.711,0.607,0.675,0.559
39,0.663,0.788,0.453,0.314,0.534,0.36,0.729,0.598,0.649,0.533
40,0.666,0.784,0.414,0.357,0.557,0.423,0.695,0.614,0.672,0.548
41,0.648,0.786,0.425,0.391,0.546,0.45,0.67,0.623,0.654,0.577
42,0.644,0.816,0.419,0.403,0.536,0.415,0.701,0.609,0.681,0.558
43,0.642,0.78,0.437,0.334,0.57,0.4,0.73,0.619,0.664,0.569
44,0.668,0.811,0.382,0.359,0.553,0.406,0.743,0.655,0.665,0.556
45,0.654,0.784,0.444,0.393,0.517,0.449,0.714,0.625,0.696,0.583
46,0.661,0.798,0.43,0.374,0.548,0.478,0.705,0.625,0.686,0.567
47,0.679,0.796,0.45,0.386,0.547,0.398,0.746,0.629,0.661,0.589
48,0.681,0.78,0.475,0.367,0.557,0.409,0.734,0.627,0.672,0.58
49,0.671,0.807,0.471,0.359,0.564,0.385,0.734,0.59,0.707,0.572
50,0.662,0.802,0.453,0.362,0.603,0.428,0.718,0.619,0.678,0.581
51,0.685,0.814,0.439,0.366,0.597,0.385,0.746,0.619,0.684,0.587
52,0.693,0.806,0.484,0.378,0.581,0.419,0.711,0.617,0.695,0.593
53,0.683,0.807,0.434,0.388,0.56,0.464,0.719,0.656,0.7,0.592
54,0.685,0.799,0.453,0.396,0.573,0.456,0.705,0.653,0.698,0.605
55,0.7,0.809,0.52,0.339,0.556,0.379,0.767,0.595,0.719,0.575
56,0.694,0.806,0.456,0.395,0.585,0.456,0.737,0.636,0.708,0.609
57,0.686,0.79,0.444,0.367,0.577,0.485,0.74,0.658,0.716,0.623
58,0.704,0.798,0.474,0.411,0.589,0.409,0.74,0.638,0.704,0.61
59,0.7,0.815,0.425,0.438,0.596,0.436,0.741,0.627,0.72,0.621
60,0.687,0.82,0.488,0.367,0.614,0.447,0.758,0.623,0.718,0.611
61,0.709,0.808,0.463,0.402,0.567,0.414,0.754,0.661,0.729,0.636
62,0.711,0.807,0.456,0.386,0.592,0.449,0.761,0.643,0.715,0.639
63,0.693,0.815,0.484,0.376,0.617,0.491,0.743,0.653,0.68,0.627
64,0.708,0.797,0.468,0.376,0.626,0.446,0.767,0.63,0.696,0.635
65,0.7,0.819,0.487,0.38,0.616,0.481,0.728,0.657,0.722,0.641
66,0.707,0.8,0.483,0.422,0.604,0.436,0.759,0.639,0.719,0.635
67,0.715,0.817,0.493,0.392,0.627,0.439,0.762,0.649,0.708,0.644
68,0.719,0.797,0.48,0.373,0.621,0.47,0.76,0.661,0.7,0.649
69,0.721,0.816,0.514,0.373,0.625,0.431,0.766,0.637,0.725,0.644
70,0.727,0.821,0.49,0.418,0.611,0.467,0.732,0.644,0.717,0.636
71,0.716,0.836,0.516,0.413,0.583,0.453,0.739,0.652,0.728,0.637
72,0.724,0.828,0.486,0.374,0.591,0.473,0.799,0.624,0.748,0.632
73,0.717,0.815,0.493,0.368,0.592,0.417,0.81,0.626,0.76,0.647
74,0.722,0.84,0.508,0.377,0.636,0.457,0.756,0.649,0.722,0.628
75,0.743,0.802,0.512,0.401,0.622,0.451,0.76,0.646,0.726,0.633
76,0.719,0.816,0.511,0.384,0.588,0.425,0.834,0.626,0.749,0.649
77,0.737,0.817,0.48,0.399,0.63,0.475,0.77,0.669,0.735,0.646
78,0.745,0.83,0.503,0.401,0.588,0.509,0.781,0.665,0.695,0.645
79,0.723,0.826,0.519,0.39,0.631,0.438,0.788,0.647,0.752,0.655
80,0.738,0.821,0.522,0.386,0.622,0.464,0.751,0.657,0.762,0.642
81,0.722,0.824,0.532,0.374,0.601,0.47,0.803,0.66,0.729,0.66
82,0.729,0.813,0.537,0.378,0.637,0.444,0.779,0.637,0.753,0.656
83,0.726,0.819,0.508,0.355,0.615,0.471,0.821,0.662,0.727,0.669
84,0.711,0.809,0.523,0.391,0.646,0.461,0.803,0.659,0.731,0.655
85,0.734,0.819,0.516,0.418,0.629,0.473,0.775,0.66,0.758,0.66
86,0.738,0.812,0.524,0.389,0.636,0.445,0.807,0.66,0.742,0.644
87,0.74,0.817,0.512,0.396,0.637,0.498,0.76,0.65,0.745,0.677
88,0.737,0.823,0.534,0.35,0.629,0.415,0.824,0.647,0.751,0.651
89,0.724,0.826,0.473,0.402,0.658,0.507,0.781,0.671,0.753,0.677
90,0.711,0.825,0.542,0.332,0.635,0.447,0.824,0.644,0.743,0.696
91,0.748,0.847,0.535,0.411,0.632,0.445,0.797,0.639,0.78,0.64
92,0.737,0.816,0.537,0.408,0.64,0.448,0.81,0.648,0.741,0.664
93,0.748,0.838,0.537,0.393,0.65,0.459,0.803,0.644,0.737,0.636
94,0.752,0.839,0.52,0.402,0.64,0.454,0.786,0.662,0.769,0.67
95,0.734,0.83,0.512,0.348,0.648,0.467,0.838,0.649,0.727,0.665
96,0.75,0.841,0.517,0.393,0.645,0.439,0.791,0.679,0.748,0.675
97,0.718,0.852,0.532,0.369,0.646,0.44,0.841,0.65,0.757,0.66
98,0.746,0.817,0.566,0.42,0.642,0.445,0.791,0.661,0.767,0.664
99,0.731,0.827,0.535,0.397,0.625,0.526,0.817,0.639,0.787,0.665
100,0.73,0.851,0.528,0.358,0.661,0.482,0.829,0.654,0.743,0.663
101,0.715,0.84,0.552,0.366,0.678,0.419,0.818,0.651,0.77,0.666
102,0.731,0.842,0.542,0.398,0.662,0.465,0.808,0.657,0.743,0.674
103,0.731,0.844,0.558,0.37,0.663,0.47,0.814,0.666,0.756,0.671
104,0.725,0.848,0.571,0.391,0.646,0.47,0.803,0.661,0.778,0.669
105,0.709,0.846,0.539,0.402,0.669,0.463,0.814,0.663,0.767,0.679
106,0.753,0.832,0.562,0.4,0.678,0.518,0.755,0.669,0.788,0.638
107,0.75,0.843,0.556,0.355,0.686,0.456,0.809,0.667,0.752,0.66
108,0.735,0.82,0.56,0.385,0.669,0.48,0.815,0.66,0.775,0.68
109,0.744,0.846,0.552,0.396,0.658,0.523,0.798,0.678,0.762,0.663
110,0.746,0.842,0.554,0.387,0.668,0.485,0.818,0.667,0.743,0.653
111,0.728,0.849,0.549,0.386,0.631,0.554,0.83,0.666,0.743,0.68
112,0.732,0.842,0.574,0.395,0.67,0.505,0.803,0.671,0.755,0.66
113,0.74,0.837,0.577,0.388,0.664,0.447,0.811,0.677,0.784,0.667
114,0.759,0.828,0.588,0.392,0.65,0.487,0.803,0.659,0.789,0.669
115,0.76,0.847,0.559,0.385,0.665,0.497,0.818,0.673,0.749,0.686
116,0.754,0.832,0.566,0.401,0.688,0.454,0.812,0.68,0.759,0.674
117,0.762,0.848,0.571,0.4,0.694,0.501,0.767,0.677,0.772,0.661
118,0.75,0.838,0.57,0.384,0.683,0.506,0.786,0.693,0.767,0.669
119,0.763,0.843,0.563,0.419,0.699,0.498,0.762,0.683,0.762,0.679
120,0.739,0.843,0.559,0.416,0.69,0.512,0.794,0.687,0.756,0.706
121,0.767,0.841,0.568,0.418,0.675,0.484,0.811,0.662,0.778,0.683
122,0.766,0.849,0.576,0.367,0.685,0.473,0.813,0.672,0.776,0.661
123,0.74,0.85,0.561,0.372,0.698,0.496,0.813,0.689,0.764,0.671
124,0.759,0.841,0.583,0.407,0.683,0.492,0.782,0.677,0.784,0.678
125,0.751,0.836,0.567,0.4,0.689,0.471,0.819,0.661,0.78,0.684
126,0.758,0.852,0.549,0.399,0.691,0.499,0.814,0.699,0.776,0.682
127,0.754,0.853,0.577,0.372,0.672,0.469,0.825,0.673,0.762,0.672
128,0.744,0.822,0.546,0.409,0.692,0.505,0.806,0.681,0.785,0.711
129,0.768,0.831,0.567,0.393,0.696,0.483,0.804,0.692,0.792,0.681
130,0.739,0.833,0.569,0.418,0.68,0.48,0.821,0.666,0.811,0.679
131,0.772,0.84,0.579,0.388,0.672,0.493,0.796,0.669,0.796,0.659
132,0.751,0.838,0.588,0.388,0.702,0.446,0.82,0.667,0.778,0.673
133,0.752,0.846,0.563,0.407,0.712,0.464,0.806,0.698,0.779,0.679
134,0.755,0.83,0.595,0.391,0.685,0.488,0.802,0.658,0.808,0.666
135,0.784,0.835,0.559,0.383,0.701,0.501,0.805,0.693,0.752,0.678
136,0.774,0.831,0.602,0.385,0.684,0.507,0.78,0.677,0.79,0.674
137,0.731,0.846,0.589,0.379,0.689,0.438,0.826,0.664,0.797,0.673
138,0.756,0.844,0.593,0.391,0.673,0.478,0.825,0.643,0.788,0.662
139,0.756,0.854,0.596,0.387,0.676,0.474,0.8,0.698,0.796,0.676
140,0.718,0.832,0.559,0.397,0.701,0.537,0.826,0.665,0.781,0.68
141,0.738,0.835,0.577,0.366,0.703,0.501,0.823,0.667,0.777,0.697
142,0.767,0.852,0.583,0.413,0.665,0.501,0.789,0.682,0.818,0.662
143,0.761,0.846,0.607,0.419,0.675,0.488,0.784,0.656,0.809,0.663
144,0.757,0.844,0.597,0.393,0.699,0.52,0.788,0.683,0.782,0.682
145,0.751,0.828,0.602,0.426,0.686,0.495,0.78,0.69,0.791,0.684
146,0.781,0.845,0.581,0.389,0.715,0.473,0.784,0.696,0.788,0.66
147,0.744,0.843,0.604,0.384,0.7,0.472,0.809,0.687,0.792,0.687
148,0.778,0.848,0.604,0.4,0.695,0.538,0.753,0.708,0.775,0.677
149,0.783,0.853,0.591,0.401,0.705,0.446,0.775,0.691,0.811,0.663
150,0.757,0.846,0.593,0.408,0.699,0.478,0.811,0.676,0.786,0.691
151,0.725,0.862,0.586,0.38,0.704,0.523,0.824,0.662,0.8,0.675
152,0.743,0.831,0.592,0.4,0.72,0.48,0.807,0.682,0.793,0.688
153,0.747,0.843,0.577,0.381,0.722,0.477,0.823,0.686,0.799,0.696
154,0.754,0.844,0.581,0.41,0.707,0.519,0.777,0.686,0.814,0.677
155,0.747,0.848,0.608,0.41,0.692,0.541,0.806,0.669,0.78,0.681
156,0.779,0.837,0.625,0.424,0.674,0.506,0.782,0.682,0.809,0.647
157,0.765,0.853,0.575,0.397,0.726,0.481,0.756,0.693,0.816,0.665
158,0.745,0.847,0.601,0.384,0.706,0.524,0.805,0.67,0.796,0.669
159,0.753,0.833,0.588,0.419,0.701,0.523,0.797,0.693,0.785,0.699
160,0.774,0.831,0.582,0.405,0.71,0.503,0.798,0.676,0.795,0.686
