Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
1,0.0,0.0,0.008,0.0,0.022,0.984,0.0,0.0,0.098,0.0
2,0.0,0.0,0.0,0.0,0.0,0.92,0.011,0.0,0.666,0.003
3,0.318,0.0,0.024,0.0,0.0,0.336,0.797,0.137,0.562,0.405
4,0.419,0.0,0.051,0.001,0.001,0.317,0.76,0.149,0.617,0.408
5,0.415,0.024,0.029,0.009,0.0,0.275,0.787,0.184,0.554,0.483
6,0.456,0.071,0.071,0.028,0.032,0.295,0.742,0.283,0.609,0.442
7,0.422,0.133,0.085,0.019,0.104,0.342,0.749,0.392,0.652,0.386
8,0.427,0.242,0.074,0.016,0.341,0.325,0.715,0.402,0.557,0.437
9,0.493,0.299,0.115,0.038,0.507,0.435,0.375,0.438,0.609,0.406
10,0.465,0.365,0.101,0.029,0.465,0.403,0.498,0.453,0.602,0.449
11,0.482,0.335,0.119,0.039,0.426,0.486,0.525,0.426,0.601,0.438
12,0.485,0.341,0.13,0.031,0.508,0.475,0.47,0.42,0.625,0.412
13,0.505,0.352,0.208,0.058,0.422,0.498,0.413,0.436,0.677,0.434
14,0.495,0.448,0.144,0.053,0.433,0.491,0.507,0.464,0.618,0.511
15,0.494,0.397,0.191,0.065,0.485,0.487,0.498,0.466,0.649,0.481
16,0.504,0.44,0.216,0.066,0.436,0.531,0.509,0.462,0.623,0.515
17,0.49,0.46,0.259,0.084,0.434,0.479,0.541,0.489,0.655,0.511
18,0.478,0.478,0.2,0.111,0.417,0.492,0.584,0.509,0.661,0.54
19,0.499,0.501,0.201,0.092,0.428,0.499,0.616,0.507,0.647,0.48
20,0.471,0.539,0.219,0.103,0.386,0.517,0.626,0.537,0.657,0.548
21,0.455,0.467,0.224,0.099,0.416,0.532,0.621,0.564,0.604,0.575
22,0.493,0.542,0.253,0.125,0.448,0.459,0.645,0.546,0.638,0.54
23,0.501,0.533,0.271,0.127,0.449,0.496,0.61,0.529,0.66,0.541
24,0.499,0.597,0.246,0.151,0.382,0.499,0.646,0.583,0.619,0.562
