Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,0.8327,0.8059,0.9220,0.8328,0.8869,0.7980,0.7949,0.8025,0.7527,0.7298
2,0.8547,0.8175,0.8629,0.8622,0.8628,0.8117,0.7823,0.7960,0.7385,0.7136
3,0.7852,0.8223,0.8895,0.8265,0.8164,0.7933,0.8070,0.7755,0.7402,0.7169
4,0.7414,0.6819,0.8237,0.7912,0.7856,0.7754,0.7620,0.7672,0.7276,0.7097
5,0.7061,0.6957,0.7812,0.7673,0.7871,0.7564,0.7419,0.7548,0.6813,0.6586
6,0.6823,0.6419,0.7501,0.7427,0.7640,0.7166,0.7173,0.7092,0.6819,0.6763
7,0.6719,0.5949,0.7799,0.6942,0.7311,0.7185,0.7337,0.7005,0.6614,0.6319
8,0.6362,0.5960,0.7228,0.6780,0.7322,0.7210,0.6948,0.6913,0.6282,0.6392
9,0.6230,0.5617,0.7221,0.6991,0.7270,0.7152,0.6716,0.6945,0.6600,0.6317
10,0.5879,0.5907,0.6939,0.6691,0.7062,0.6902,0.6761,0.6982,0.6292,0.6292
11,0.6037,0.5281,0.6687,0.6488,0.7143,0.6876,0.6641,0.6703,0.6273,0.6198
12,0.5989,0.5393,0.6870,0.6499,0.6600,0.6900,0.6336,0.6810,0.6155,0.6210
13,0.5602,0.5262,0.6719,0.6185,0.6569,0.6785,0.6706,0.6625,0.6013,0.5878
14,0.5886,0.4990,0.6616,0.6262,0.6785,0.6664,0.6346,0.6720,0.5857,0.6076
15,0.5494,0.4988,0.6587,0.5904,0.6387,0.6618,0.6763,0.6502,0.5984,0.5598
16,0.5380,0.4822,0.6735,0.5925,0.6383,0.6510,0.6192,0.6484,0.6020,0.5912
17,0.5234,0.4703,0.6125,0.6061,0.6127,0.6296,0.6306,0.6428,0.5993,0.5641
18,0.5332,0.4631,0.6307,0.5731,0.6147,0.6500,0.6302,0.6247,0.5721,0.5692
19,0.5011,0.4363,0.6070,0.5902,0.5926,0.6279,0.6143,0.6389,0.5816,0.5638
20,0.4976,0.4411,0.5913,0.5814,0.5937,0.6277,0.6117,0.6355,0.5652,0.5509
21,0.4993,0.4289,0.6255,0.5467,0.5992,0.6399,0.6040,0.6314,0.5670,0.5434
22,0.4874,0.4174,0.5837,0.5642,0.5684,0.6485,0.5908,0.6122,0.5700,0.5204
23,0.5134,0.4084,0.5937,0.5332,0.5677,0.6265,0.5955,0.5861,0.5486,0.5364
24,0.4577,0.3946,0.5647,0.5378,0.6058,0.6074,0.5928,0.6115,0.5385,0.5162
25,0.4414,0.4090,0.5747,0.5377,0.5433,0.6292,0.5972,0.6015,0.5512,0.5481
26,0.4529,0.3824,0.5667,0.5238,0.5670,0.6069,0.5891,0.5918,0.5226,0.5142
27,0.4677,0.3684,0.5518,0.5348,0.5629,0.6310,0.5957,0.5775,0.5238,0.5332
28,0.4352,0.3658,0.5613,0.5395,0.5380,0.6095,0.5678,0.5776,0.5304,0.5258
29,0.4580,0.3923,0.5618,0.5277,0.5342,0.6078,0.5884,0.5855,0.5293,0.5241
30,0.4472,0.3532,0.5537,0.5000,0.5277,0.6099,0.5661,0.5940,0.5362,0.5415
31,0.4455,0.3441,0.5388,0.5218,0.5216,0.5971,0.5799,0.5792,0.5289,0.5315
32,0.4132,0.3517,0.5586,0.5002,0.5372,0.5885,0.5691,0.5787,0.5186,0.4793
33,0.4052,0.3439,0.5297,0.4915,0.5194,0.5697,0.5741,0.5662,0.5190,0.5340
34,0.3841,0.3165,0.5253,0.5014,0.4987,0.5893,0.5229,0.5643,0.5171,0.5041
35,0.3977,0.3434,0.5203,0.5119,0.5080,0.5854,0.5714,0.5733,0.4985,0.5094
36,0.4012,0.3212,0.5315,0.4743,0.5430,0.5999,0.5443,0.5644,0.5168,0.5324
37,0.3821,0.3183,0.5053,0.4888,0.5317,0.6083,0.5693,0.5563,0.5084,0.5197
38,0.3858,0.3301,0.5234,0.4816,0.5031,0.5830,0.5860,0.5722,0.5161,0.4812
39,0.3867,0.3280,0.5150,0.4939,0.5149,0.6037,0.5379,0.5440,0.4999,0.5107
40,0.3732,0.2980,0.5224,0.4860,0.5139,0.5863,0.5465,0.5467,0.5069,0.5159
41,0.3899,0.2970,0.5161,0.4689,0.5008,0.5982,0.5597,0.5608,0.5099,0.5002
42,0.3641,0.2818,0.5054,0.4995,0.4865,0.5642,0.5491,0.5396,0.5151,0.5012
43,0.3489,0.2912,0.5003,0.4753,0.4967,0.5757,0.5586,0.5587,0.5027,0.5068
44,0.3568,0.2960,0.4932,0.4663,0.4746,0.5922,0.5641,0.5371,0.4909,0.5274
45,0.3492,0.2952,0.4645,0.4782,0.4859,0.5976,0.5451,0.5460,0.4956,0.5072
46,0.3570,0.2795,0.4827,0.4524,0.4716,0.5638,0.5122,0.5879,0.4848,0.5181
47,0.3405,0.2913,0.4746,0.4628,0.4624,0.5747,0.5422,0.5282,0.5097,0.5181
48,0.3447,0.2608,0.4746,0.4528,0.4953,0.5872,0.5480,0.5522,0.4812,0.4816
49,0.3410,0.2735,0.4769,0.4617,0.4600,0.5569,0.5447,0.5532,0.5104,0.5167
50,0.3163,0.2675,0.5114,0.4424,0.4741,0.5660,0.5584,0.5461,0.4878,0.4871
51,0.3280,0.2607,0.4568,0.4361,0.4593,0.5779,0.5279,0.5282,0.5105,0.4759
52,0.3029,0.2483,0.4505,0.4553,0.4770,0.5635,0.5071,0.5185,0.4912,0.5046
