Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,1.7262,1.6823,1.6943,1.7229,1.7948,1.7529,1.7937,1.7348,1.7676,1.7842
2,1.6417,1.5844,1.6105,1.5522,1.6064,1.6130,1.6368,1.6026,1.6295,1.6315
3,1.5060,1.4267,1.5192,1.4892,1.5229,1.5439,1.5841,1.5291,1.5428,1.5700
4,1.4754,1.4985,1.4977,1.4120,1.4647,1.4946,1.5264,1.4634,1.4833,1.4873
5,1.3529,1.3315,1.3628,1.3131,1.3624,1.4192,1.4832,1.4205,1.4248,1.4372
6,1.2540,1.3014,1.2952,1.3188,1.3271,1.3681,1.4147,1.3647,1.3622,1.3918
7,1.1819,1.1734,1.2730,1.2081,1.2226,1.3304,1.3604,1.3072,1.3324,1.3596
8,1.1880,1.1209,1.2060,1.1991,1.2310,1.3035,1.3322,1.2738,1.3015,1.2995
9,1.1428,1.1186,1.1915,1.1202,1.1429,1.2791,1.2920,1.2544,1.2555,1.2922
10,1.1393,1.0796,1.1510,1.1008,1.1559,1.2368,1.2594,1.2276,1.2301,1.2468
11,1.0546,1.0097,1.0937,1.0901,1.1258,1.2152,1.2740,1.1883,1.2019,1.2282
12,1.0450,1.0359,1.0610,1.0496,1.0700,1.1955,1.2310,1.1567,1.1919,1.1939
13,1.0485,0.9672,1.0779,1.0328,1.0566,1.1698,1.2115,1.1428,1.1533,1.1653
14,1.0336,0.9430,1.0201,0.9927,1.0331,1.1527,1.2031,1.1447,1.1534,1.1770
15,0.9878,0.9294,0.9779,0.9544,0.9870,1.1354,1.1568,1.0988,1.1213,1.1433
16,0.9123,0.8922,0.9837,0.9794,0.9777,1.1143,1.1374,1.1156,1.1076,1.1310
17,0.9103,0.8909,0.9652,0.9340,0.9460,1.1032,1.1459,1.0877,1.1104,1.1039
18,0.9117,0.8557,0.9399,0.9211,0.9284,1.0832,1.1154,1.0661,1.0706,1.0840
19,0.8718,0.8269,0.9129,0.9354,0.9167,1.0836,1.1012,1.0665,1.0661,1.0695
20,0.8602,0.8376,0.9165,0.8882,0.9052,1.0659,1.0989,1.0532,1.0590,1.0861
21,0.8560,0.8619,0.9289,0.8619,0.8775,1.0583,1.0673,1.0365,1.0448,1.0459
22,0.8317,0.8264,0.8666,0.8370,0.8466,1.0475,1.0722,1.0348,1.0319,1.0574
23,0.7991,0.8244,0.8667,0.8310,0.8581,1.0359,1.0616,1.0287,1.0129,1.0316
24,0.7882,0.7765,0.8630,0.8010,0.8302,1.0362,1.0720,1.0136,1.0155,1.0224
25,0.8047,0.8198,0.8181,0.8162,0.8289,1.0090,1.0385,0.9856,1.0101,1.0032
26,0.8481,0.7410,0.8123,0.8047,0.8048,1.0089,1.0509,0.9973,0.9819,1.0110
27,0.7986,0.7338,0.7920,0.7923,0.7918,1.0054,1.0205,0.9752,1.0000,1.0022
28,0.7633,0.7311,0.7852,0.7531,0.7843,1.0127,1.0108,0.9686,0.9686,0.9790
29,0.7386,0.7243,0.7858,0.7648,0.7953,0.9838,1.0216,0.9632,0.9813,0.9797
30,0.7295,0.7184,0.7971,0.7600,0.7880,0.9901,0.9844,0.9645,0.9631,0.9745
31,0.7580,0.6972,0.7902,0.7616,0.7727,0.9709,0.9892,0.9693,0.9557,0.9600
32,0.6881,0.6982,0.7462,0.7356,0.7688,0.9983,0.9928,0.9793,0.9474,0.9751
33,0.7310,0.7146,0.7837,0.7437,0.7328,0.9616,0.9819,0.9385,0.9437,0.9624
34,0.7405,0.7101,0.7374,0.7202,0.7536,0.9517,0.9702,0.9383,0.9372,0.9500
35,0.7030,0.7091,0.7545,0.7133,0.7043,0.9440,0.9760,0.9315,0.9305,0.9503
36,0.6656,0.6756,0.7805,0.6947,0.7338,0.9691,0.9689,0.9444,0.9293,0.9551
