Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
1,0.503,0.663,0.146,0.103,0.387,0.315,0.402,0.516,0.283,0.603
2,0.47,0.622,0.224,0.136,0.22,0.408,0.631,0.579,0.444,0.635
3,0.447,0.713,0.29,0.273,0.288,0.367,0.692,0.576,0.584,0.602
4,0.486,0.576,0.318,0.189,0.381,0.443,0.787,0.582,0.656,0.604
5,0.529,0.661,0.254,0.467,0.3,0.6,0.462,0.675,0.649,0.616
6,0.571,0.654,0.412,0.337,0.405,0.459,0.598,0.7,0.752,0.574
7,0.444,0.807,0.367,0.352,0.415,0.491,0.737,0.649,0.707,0.642
8,0.647,0.758,0.474,0.366,0.487,0.511,0.624,0.623,0.766,0.596
9,0.629,0.743,0.447,0.379,0.356,0.52,0.727,0.659,0.833,0.599
10,0.632,0.728,0.44,0.478,0.491,0.598,0.539,0.723,0.721,0.682
11,0.645,0.796,0.538,0.371,0.481,0.575,0.739,0.696,0.73,0.678
12,0.676,0.782,0.481,0.364,0.476,0.6,0.794,0.603,0.797,0.707
13,0.729,0.754,0.619,0.231,0.383,0.473,0.807,0.697,0.827,0.677
14,0.695,0.753,0.52,0.407,0.519,0.603,0.686,0.642,0.871,0.689
15,0.685,0.784,0.556,0.437,0.627,0.596,0.715,0.672,0.728,0.73
16,0.717,0.786,0.502,0.514,0.477,0.519,0.806,0.669,0.847,0.718
17,0.681,0.774,0.531,0.427,0.559,0.636,0.709,0.788,0.796,0.74
18,0.695,0.715,0.504,0.467,0.677,0.578,0.724,0.71,0.807,0.779
19,0.659,0.76,0.495,0.48,0.485,0.705,0.746,0.701,0.779,0.802
20,0.764,0.81,0.532,0.383,0.538,0.646,0.747,0.758,0.861,0.737
21,0.718,0.811,0.579,0.438,0.63,0.599,0.743,0.766,0.833,0.756
22,0.792,0.876,0.452,0.308,0.616,0.569,0.846,0.804,0.821,0.713
23,0.781,0.859,0.556,0.456,0.66,0.582,0.734,0.729,0.848,0.713
24,0.704,0.853,0.467,0.453,0.607,0.576,0.909,0.714,0.813,0.739
25,0.727,0.771,0.611,0.511,0.58,0.553,0.836,0.69,0.883,0.755
26,0.77,0.809,0.574,0.504,0.631,0.627,0.808,0.73,0.858,0.759
27,0.718,0.747,0.507,0.432,0.646,0.765,0.68,0.761,0.783,0.779
28,0.739,0.763,0.576,0.463,0.65,0.706,0.803,0.731,0.771,0.818
29,0.818,0.863,0.442,0.483,0.583,0.529,0.844,0.719,0.808,0.803
30,0.713,0.804,0.609,0.523,0.607,0.626,0.772,0.725,0.911,0.757
31,0.746,0.804,0.449,0.459,0.591,0.714,0.653,0.804,0.868,0.845
32,0.707,0.848,0.519,0.438,0.694,0.622,0.84,0.783,0.813,0.821
33,0.82,0.846,0.625,0.419,0.58,0.46,0.842,0.749,0.871,0.744
34,0.799,0.817,0.641,0.551,0.66,0.598,0.778,0.764,0.854,0.785
35,0.796,0.859,0.658,0.496,0.579,0.601,0.76,0.753,0.862,0.784
36,0.697,0.858,0.614,0.505,0.625,0.617,0.799,0.757,0.865,0.805
37,0.83,0.889,0.635,0.467,0.557,0.612,0.878,0.703,0.791,0.758
38,0.74,0.87,0.48,0.466,0.592,0.702,0.807,0.815,0.791,0.828
39,0.693,0.862,0.613,0.509,0.642,0.688,0.774,0.784,0.829,0.828
40,0.778,0.78,0.548,0.605,0.64,0.57,0.802,0.751,0.892,0.828
