Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,1.813,1.7072,1.7089,1.7934,1.71,1.7708,1.6943,1.6813,1.6878,1.7683
2,1.6233,1.5974,1.5801,1.4964,1.5768,1.592,1.6689,1.8101,1.5464,1.5975
3,1.3827,1.3803,1.4242,1.4064,1.523,1.6521,1.5112,1.4688,1.5577,1.4783
4,1.3528,1.3086,1.3674,1.401,1.3502,1.4312,1.4921,1.4605,1.424,1.5325
5,1.2508,1.2123,1.3572,1.2904,1.2752,1.4034,1.4727,1.3724,1.3657,1.4144
6,1.2166,1.1547,1.2798,1.1673,1.2043,1.3376,1.3903,1.3849,1.4361,1.3217
7,1.1229,1.0931,1.241,1.1772,1.1888,1.2907,1.3383,1.2611,1.4162,1.3461
8,1.0792,1.0332,1.1716,1.1307,1.1515,1.2749,1.4608,1.317,1.2913,1.2985
9,1.0359,0.9755,1.1364,1.1606,1.0818,1.2479,1.324,1.3437,1.3031,1.2651
10,0.9565,0.9724,1.0811,0.9933,1.1236,1.2762,1.2767,1.2342,1.1696,1.2145
11,0.9283,0.9005,1.0125,0.954,1.0119,1.3067,1.2775,1.2671,1.1807,1.2502
12,0.8729,0.9574,1.011,0.9778,0.9703,1.2673,1.4731,1.2003,1.2288,1.2206
13,0.8245,0.7767,0.9982,0.9199,1.0108,1.2435,1.3138,1.388,1.1498,1.2529
14,0.7687,0.8225,0.9147,0.8925,0.9601,1.1562,1.2518,1.3128,1.1377,1.1895
15,0.7706,0.767,0.9051,0.8954,0.9067,1.3793,1.2909,1.2339,1.2266,1.2674
16,0.7343,0.7809,1.01,0.8161,0.9215,1.1677,1.1853,1.1026,1.1994,1.291
17,0.6938,0.6718,0.9388,0.9208,0.8959,1.1883,1.1573,1.2154,1.0856,1.1122
18,0.6708,0.6452,0.8674,0.8874,0.89,1.1673,1.1046,1.1879,1.1323,1.2351
19,0.6442,0.5791,0.8581,0.8342,0.8734,1.1997,1.1678,1.1722,1.2183,1.2295
20,0.6297,0.5961,0.8208,0.8084,0.8227,1.2082,1.1777,1.2547,1.0892,1.1745
21,0.5825,0.5458,0.8145,0.7898,0.8051,1.8105,1.9252,1.7787,1.3771,1.686
22,0.5857,0.5098,0.809,0.7707,0.8383,1.2997,1.1853,1.1494,1.1483,1.3198
23,0.5405,0.5446,0.7563,0.7539,0.8056,1.2913,1.216,1.206,1.0995,1.2534
