Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,0.836,0.7577,0.9203,0.8496,0.9662,0.8554,0.8663,0.8686,0.7791,0.7348
2,0.7719,0.7145,0.8515,0.831,0.8002,0.7751,0.734,0.84,0.7342,0.7083
3,0.7493,0.7195,0.8736,0.7931,0.8203,0.7893,0.7634,0.7635,0.7317,0.7199
4,0.7066,0.6654,0.8569,0.7318,0.8013,0.7791,0.7536,0.7297,0.6738,0.6625
5,0.6573,0.6192,0.7766,0.7058,0.7975,0.794,0.769,0.6998,0.7068,0.6526
6,0.6514,0.5867,0.7193,0.7056,0.7123,0.7426,0.7331,0.7012,0.6274,0.6551
7,0.6057,0.5508,0.7267,0.6924,0.7189,0.7379,0.7146,0.7249,0.64,0.6329
8,0.5953,0.5507,0.7,0.6536,0.7205,0.6854,0.7037,0.7365,0.6565,0.6772
9,0.6281,0.5514,0.6904,0.6386,0.6968,0.6977,0.7199,0.6855,0.6177,0.5539
10,0.56,0.5238,0.6679,0.6478,0.6718,0.7338,0.6971,0.6835,0.6289,0.7355
11,0.543,0.4934,0.6901,0.6298,0.6655,0.7319,0.6917,0.6998,0.6259,0.6035
12,0.5284,0.4906,0.631,0.6304,0.6351,0.6861,0.6507,0.6375,0.609,0.578
13,0.5079,0.4444,0.6531,0.5931,0.6249,0.7103,0.6573,0.6561,0.6381,0.6013
14,0.5114,0.4449,0.6817,0.6162,0.628,0.6971,0.7837,0.6195,0.6158,0.5739
15,0.4842,0.4322,0.6429,0.615,0.6217,0.661,0.6441,0.6744,0.5417,0.6043
16,0.4728,0.4208,0.5941,0.5754,0.616,0.6554,0.6754,0.6707,0.5621,0.6086
17,0.4921,0.3747,0.5867,0.5716,0.6047,0.7516,0.6059,0.6252,0.5618,0.6115
18,0.4808,0.3695,0.6065,0.5898,0.6214,0.6563,0.6644,0.6014,0.5209,0.591
19,0.4503,0.3803,0.5816,0.5864,0.5692,0.67,0.581,0.6603,0.5693,0.5483
20,0.4327,0.3498,0.5821,0.5377,0.5797,0.6572,0.6214,0.776,0.5955,0.6016
21,0.4144,0.3353,0.5757,0.5479,0.5784,0.8658,0.8651,0.9192,0.8762,0.8891
22,0.3997,0.3347,0.5969,0.5478,0.5391,0.6432,0.6334,0.7079,0.5406,0.5651
23,0.3933,0.3364,0.5635,0.5212,0.5735,0.652,0.6408,0.5673,0.5367,0.5771
24,0.3736,0.318,0.5511,0.5439,0.5682,0.6416,0.6271,0.6035,0.5491,0.5119
25,0.378,0.3024,0.5502,0.521,0.5658,0.6357,0.5747,0.6411,0.5595,0.6271
26,0.3426,0.2881,0.5541,0.5273,0.514,0.6399,0.694,0.6283,0.5574,0.5447
27,0.3461,0.281,0.5135,0.4862,0.5354,0.6721,0.6182,0.6794,0.5553,0.5226
28,0.3485,0.2711,0.562,0.4961,0.5565,0.6028,0.6354,0.5865,0.5831,0.5301
29,0.3443,0.2682,0.5519,0.4895,0.5129,0.619,0.5532,0.7038,0.5819,0.5575
30,0.3291,0.2473,0.5346,0.5092,0.517,0.6085,0.6009,0.695,0.5737,0.5853
31,0.3099,0.2418,0.5248,0.466,0.5209,0.5776,0.572,0.5933,0.6099,0.5167
32,0.3008,0.2632,0.5079,0.4935,0.5456,0.5969,0.667,0.5983,0.5459,0.5323
33,0.3152,0.2496,0.4981,0.491,0.4828,0.6427,0.6555,0.6104,0.5499,0.5513
34,0.2768,0.2186,0.5245,0.5054,0.4805,0.6454,0.6324,0.5647,0.564,0.492
35,0.281,0.1987,0.5298,0.4598,0.5087,0.6455,0.57,0.6082,0.5378,0.5484
36,0.2674,0.1956,0.4957,0.4692,0.4647,0.5749,0.6081,0.6469,0.5876,0.5578
37,0.2703,0.1846,0.5332,0.507,0.49,0.6885,0.5665,0.6596,0.5543,0.5494
38,0.2465,0.1781,0.5087,0.4735,0.5281,0.6647,0.6328,0.5886,0.6218,0.5086
