Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,1.813,1.7072,1.7089,1.7934,1.71,2.0695,2.0714,2.0101,2.0598,2.0801
2,1.6252,1.5439,1.5737,1.5051,1.5927,1.7747,1.8423,1.7638,1.7667,1.7692
3,1.3962,1.3874,1.4323,1.4144,1.5587,1.6356,1.6001,1.685,1.6554,1.6587
4,1.3599,1.3235,1.3857,1.3815,1.3712,1.6783,1.6008,1.6481,1.541,1.6896
5,1.2613,1.2198,1.3458,1.3031,1.3015,1.5867,1.6076,1.5685,1.542,1.5642
6,1.2417,1.199,1.2991,1.1791,1.2268,1.4849,1.5623,1.5724,1.7812,1.5415
7,1.1494,1.1125,1.2539,1.2025,1.2036,1.6038,1.5587,1.4562,1.58,1.5004
8,1.0899,1.0792,1.1571,1.1694,1.1663,1.5587,1.585,1.4864,1.5461,1.6559
9,1.0459,1.0125,1.1634,1.1778,1.1011,1.4814,1.5586,1.646,1.4321,1.436
10,0.9947,0.9909,1.0926,1.021,1.1674,1.4366,1.6023,1.6739,1.4195,1.4312
11,0.9598,0.9224,1.0291,0.987,1.0386,1.6452,1.4284,1.571,1.483,1.7185
12,0.8775,0.9466,1.0364,0.9904,0.9849,1.6501,2.4361,1.4729,1.4823,1.4367
13,0.8566,0.793,1.0164,0.9481,1.025,1.6678,1.7007,2.2519,1.3991,1.6235
14,0.7902,0.8179,0.9292,0.9359,0.9712,1.4676,1.5847,1.6799,1.412,1.4361
15,0.7814,0.7767,0.9234,0.9025,0.9119,1.6883,1.5246,1.5134,1.5681,1.8864
16,0.7333,0.7954,1.048,0.8494,0.9373,1.5955,1.571,1.4103,1.5651,1.7641
17,0.7023,0.7034,0.9543,0.9581,0.9347,1.5804,1.5281,1.6824,1.4184,1.5952
18,0.7048,0.6705,0.902,0.8923,0.8768,1.4818,1.5618,1.9472,1.4339,2.595
19,0.6544,0.5902,0.8826,0.8489,0.8615,1.796,1.5852,1.9659,1.932,1.8901
20,0.6323,0.5689,0.8397,0.8227,0.8407,1.6241,1.9992,1.8849,1.6542,1.6388
21,0.6063,0.562,0.8423,0.79,0.8248,1.8754,2.0979,1.731,1.4255,1.8699
22,0.5823,0.5211,0.8267,0.7843,0.8871,2.0244,1.5817,1.5133,1.6052,2.0257
23,0.5648,0.5601,0.7583,0.7928,0.8051,1.7509,1.9218,1.6984,1.7004,1.8229
24,0.5261,0.5413,0.8273,0.781,0.8767,1.7678,1.8245,1.7299,2.1257,1.8516
25,0.4972,0.4468,0.8313,0.7444,0.8261,2.3669,2.0398,1.8519,2.0244,1.6589
26,0.4995,0.4048,0.8223,0.7833,0.7586,2.0644,2.6947,1.7184,1.7171,2.0906
27,0.4768,0.4331,0.776,0.7905,0.7991,1.598,2.0162,1.9118,2.1288,3.8046
28,0.4346,0.4639,0.7432,0.8162,0.8003,2.2692,2.2411,1.6759,2.6924,2.4151
29,0.4374,0.4042,0.7293,0.7473,0.7686,2.2376,4.6106,2.6694,1.7855,3.1779
30,0.3992,0.3723,0.7582,0.7114,0.7511,1.8063,2.9277,2.3355,2.1604,2.1038
31,0.4016,0.3405,0.7567,0.7661,0.7113,2.2478,2.7286,2.5097,1.8951,2.5314
32,0.3703,0.3173,0.7227,0.6762,0.7377,1.8789,2.1184,1.7023,1.9227,2.0285
33,0.3115,0.2835,0.7086,0.7075,0.6882,2.5083,1.9865,1.863,1.8064,2.2094
34,0.3529,0.3105,0.75,0.6931,0.7016,2.6851,4.7101,3.1131,3.299,2.3144
35,0.359,0.3038,0.6673,0.6887,0.6707,4.0226,2.3619,3.7038,2.4894,2.5041
36,0.3361,0.2789,0.7141,0.6564,0.7027,3.1514,1.9461,3.6848,2.3451,2.2277
