Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,0.8360,0.7577,0.9203,0.8496,0.9662,0.8554,0.8663,0.8686,0.7791,0.7348
2,0.7719,0.7145,0.8515,0.8310,0.8002,0.7751,0.7340,0.8400,0.7342,0.7083
3,0.7493,0.7195,0.8736,0.7931,0.8203,0.7893,0.7634,0.7635,0.7317,0.7199
4,0.7066,0.6654,0.8569,0.7318,0.8013,0.7791,0.7536,0.7297,0.6738,0.6625
5,0.6573,0.6192,0.7766,0.7058,0.7975,0.7940,0.7690,0.6998,0.7068,0.6526
6,0.6514,0.5867,0.7193,0.7056,0.7123,0.7426,0.7331,0.7012,0.6274,0.6551
7,0.6057,0.5508,0.7267,0.6924,0.7189,0.7379,0.7146,0.7249,0.6400,0.6329
8,0.5953,0.5507,0.7000,0.6536,0.7205,0.6854,0.7037,0.7365,0.6565,0.6772
9,0.6281,0.5514,0.6904,0.6386,0.6968,0.6977,0.7199,0.6855,0.6177,0.5539
10,0.5600,0.5238,0.6679,0.6478,0.6718,0.7338,0.6971,0.6835,0.6289,0.7355
11,0.5430,0.4934,0.6901,0.6298,0.6655,0.7319,0.6917,0.6998,0.6259,0.6035
12,0.5284,0.4906,0.6310,0.6304,0.6351,0.6861,0.6507,0.6375,0.6090,0.5780
13,0.5079,0.4444,0.6531,0.5931,0.6249,0.7103,0.6573,0.6561,0.6381,0.6013
14,0.5114,0.4449,0.6817,0.6162,0.6280,0.6971,0.7837,0.6195,0.6158,0.5739
15,0.4842,0.4322,0.6429,0.6150,0.6217,0.6610,0.6441,0.6744,0.5417,0.6043
16,0.4728,0.4208,0.5941,0.5754,0.6160,0.6554,0.6754,0.6707,0.5621,0.6086
17,0.4921,0.3747,0.5867,0.5716,0.6047,0.7516,0.6059,0.6252,0.5618,0.6115
18,0.4808,0.3695,0.6065,0.5898,0.6214,0.6563,0.6644,0.6014,0.5209,0.5910
19,0.4503,0.3803,0.5816,0.5864,0.5692,0.6700,0.5810,0.6603,0.5693,0.5483
20,0.4327,0.3498,0.5821,0.5377,0.5797,0.6572,0.6214,0.7760,0.5955,0.6016
21,0.4144,0.3353,0.5757,0.5479,0.5784,0.8658,0.8651,0.9192,0.8762,0.8891
22,0.3997,0.3347,0.5969,0.5478,0.5391,0.8178,0.9617,1.4608,0.7127,0.8877
23,0.3918,0.3335,0.5628,0.5210,0.5768,0.9654,1.0472,0.7028,0.7851,0.9494
24,0.3712,0.3122,0.5489,0.5419,0.5629,0.8569,0.8422,1.1868,0.8617,0.7378
25,0.3727,0.2963,0.5476,0.5197,0.5634,0.8165,0.9541,1.0536,0.9317,0.9675
26,0.3361,0.2829,0.5547,0.5275,0.5147,0.9487,0.9234,1.2935,0.9325,0.9182
27,0.3419,0.2796,0.5176,0.4815,0.5360,1.2662,0.8524,1.6223,0.9395,0.7926
28,0.3412,0.2672,0.5645,0.4893,0.5525,1.0125,1.4645,0.8672,0.9162,0.8508
29,0.3355,0.2582,0.5519,0.4869,0.5135,0.7373,1.0201,1.1943,1.0700,0.9610
