Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,2.2974,2.3076,2.3103,2.2402,2.3092,2.1989,2.3136,2.2844,2.3019,2.2824
2,1.9136,1.9442,1.9763,1.9927,1.9391,1.9835,1.9578,1.9394,1.9341,1.9451
3,1.8424,1.7934,1.8552,1.8138,1.8474,1.7978,1.8496,1.8213,1.8134,1.7982
4,1.8022,1.6668,1.7807,1.7500,1.7161,1.7972,1.8051,1.7495,1.7189,1.7133
5,1.6179,1.6431,1.6972,1.5966,1.8401,1.6088,1.6843,1.6286,1.6848,1.6758
6,1.6154,1.6281,1.6149,1.5788,1.5904,1.6066,1.6285,1.6040,1.5802,1.5742
7,1.5740,1.5601,1.5557,1.5484,1.5228,1.5258,1.5902,1.5376,1.5425,1.5843
8,1.5697,1.4748,1.6144,1.4767,1.5763,1.5921,1.5740,1.6236,1.5136,1.5067
9,1.5072,1.5112,1.4848,1.4425,1.4365,1.5071,1.5631,1.4695,1.4165,1.4566
10,1.4950,1.4219,1.4987,1.4244,1.4182,1.4647,1.4798,1.4706,1.3900,1.4517
11,1.4735,1.4493,1.4319,1.4358,1.5728,1.4046,1.5088,1.3893,1.4576,1.4124
12,1.4280,1.4038,1.4383,1.4336,1.4035,1.3699,1.4048,1.3380,1.4541,1.3978
13,1.3986,1.3197,1.3714,1.3342,1.4730,1.3499,1.5102,1.3499,1.3105,1.3609
14,1.4270,1.3066,1.3387,1.3787,1.3703,1.3419,1.4192,1.3858,1.3392,1.4627
15,1.3394,1.2847,1.3209,1.2852,1.3161,1.3597,1.3491,1.2818,1.2901,1.3326
16,1.3354,1.3164,1.3625,1.3130,1.2879,1.2970,1.3564,1.2518,1.2765,1.3368
17,1.3740,1.2485,1.3784,1.3180,1.3405,1.3450,1.3117,1.4010,1.2123,1.3879
18,1.2780,1.2957,1.3408,1.2547,1.2396,1.2226,1.4427,1.2228,1.2138,1.4143
19,1.2328,1.2280,1.3047,1.2170,1.2276,1.3281,1.2952,1.2140,1.2258,1.2210
20,1.2555,1.2661,1.3418,1.2129,1.2207,1.2673,1.3101,1.2368,1.2248,1.2885
21,1.2413,1.2384,1.1831,1.2148,1.2543,1.2464,1.2626,1.2359,1.2168,1.2565
22,1.2061,1.1731,1.1914,1.2694,1.1664,1.1784,1.2331,1.2937,1.2510,1.1624
23,1.1925,1.2152,1.2330,1.1219,1.1688,1.1854,1.2632,1.1444,1.1689,1.1968
