Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,1.9014,1.7472,1.7985,1.7566,1.7122,1.7551,1.7811,1.7190,1.7286,1.7386
2,1.5583,1.5032,1.6110,1.4920,1.5126,1.5717,1.5759,1.4620,1.4777,1.5261
3,1.3929,1.4569,1.4673,1.4069,1.4109,1.4087,1.4266,1.3541,1.4043,1.4579
4,1.3244,1.3323,1.3570,1.3220,1.3379,1.4147,1.3955,1.3236,1.3539,1.3072
5,1.2872,1.2888,1.2872,1.2543,1.2575,1.2388,1.2906,1.2732,1.2743,1.2598
6,1.2034,1.1946,1.3111,1.1809,1.3201,1.1932,1.2289,1.2210,1.1720,1.2076
7,1.2304,1.1492,1.2148,1.2103,1.1826,1.1252,1.1857,1.1664,1.1153,1.1765
8,1.1094,1.0305,1.1171,1.1737,1.1656,1.0970,1.1295,1.0939,1.0992,1.1910
9,1.1234,1.0962,1.0936,1.0163,1.0851,1.0512,1.0958,1.1031,1.0342,1.0855
10,1.0413,0.9758,1.0660,1.0726,1.0871,1.0658,1.0745,1.0512,1.0551,1.0061
11,0.9956,0.9300,1.0673,0.9789,0.9913,1.0560,1.0050,1.0040,1.0077,0.9892
12,0.9944,0.9480,0.9952,0.9671,0.9508,0.9797,1.0239,0.9854,0.9436,0.9752
13,0.9815,0.8931,0.9316,0.9426,1.0541,0.9138,0.9770,0.9553,0.9275,1.0073
14,0.9499,0.8611,0.9148,0.8551,0.9722,0.9191,0.9170,0.8734,0.8718,0.9889
15,0.8937,0.8823,0.9968,0.9104,0.8910,0.9000,0.9068,0.8552,0.8590,0.9502
16,0.8985,0.8675,0.8704,0.8654,0.8825,0.8837,0.8832,0.8230,0.8684,0.8407
17,0.8833,0.8627,0.8595,0.8295,0.8895,0.8852,0.8677,0.8593,0.8362,0.8734
18,0.9005,0.8108,0.8365,0.8179,0.8356,0.8116,0.8376,0.7827,0.7836,0.8194
19,0.8737,0.8101,0.8576,0.8021,0.8296,0.8136,0.8297,0.7767,0.7893,0.9513
20,0.8277,0.7947,0.7844,0.8054,0.7885,0.8480,0.8580,0.7984,0.8265,0.7655
21,0.7743,0.7789,0.7782,0.8029,0.8040,0.7772,0.7980,0.7648,0.7211,0.8400
22,0.8139,0.8242,0.8071,0.7644,0.7736,0.7964,0.8266,0.7244,0.7557,0.7488
23,0.8215,0.7201,0.8028,0.7793,0.7361,0.7927,0.8917,0.7075,0.7617,0.7366
24,0.7713,0.7147,0.7532,0.7696,0.7262,0.7653,0.7402,0.7108,0.7436,0.7556
25,0.7534,0.7267,0.7330,0.7448,0.7321,0.7411,0.7302,0.6858,0.7238,0.7415
26,0.7400,0.6927,0.7214,0.7306,0.7801,0.7109,0.7592,0.7392,0.7179,0.6837
27,0.7077,0.6788,0.7397,0.7027,0.7081,0.8306,0.7356,0.6857,0.6963,0.7315
28,0.7472,0.7098,0.6986,0.7156,0.7272,0.7018,0.7125,0.7240,0.7797,0.7270
29,0.7821,0.6401,0.6989,0.6900,0.7020,0.7021,0.7147,0.7013,0.6728,0.6789
30,0.7216,0.6673,0.6918,0.6497,0.7053,0.6420,0.7083,0.7023,0.6708,0.6886
31,0.7028,0.6421,0.6828,0.6701,0.6667,0.6732,0.6883,0.6284,0.7500,0.6664
32,0.7061,0.6431,0.7258,0.6413,0.6457,0.7270,0.6824,0.6302,0.6125,0.6510
33,0.6655,0.6307,0.6887,0.6611,0.6889,0.6537,0.6799,0.5915,0.6247,0.6318
34,0.6550,0.6169,0.6225,0.6699,0.6556,0.6434,0.6385,0.6333,0.6020,0.6309
35,0.6885,0.6202,0.6235,0.6977,0.6746,0.6314,0.6297,0.6484,0.5907,0.6253
36,0.6560,0.6011,0.6780,0.6172,0.6082,0.6825,0.6685,0.6098,0.6531,0.6249
37,0.6548,0.6716,0.6333,0.7212,0.6632,0.6463,0.6443,0.5846,0.6166,0.6156
38,0.6286,0.6184,0.6259,0.5905,0.6320,0.6081,0.6037,0.6067,0.6075,0.6618
39,0.6100,0.6295,0.6182,0.5746,0.6279,0.6195,0.6761,0.5504,0.5939,0.5969
40,0.6343,0.6633,0.6650,0.6282,0.6478,0.5945,0.5877,0.5790,0.5865,0.5960
41,0.6657,0.5847,0.6385,0.5842,0.5913,0.6169,0.6099,0.6260,0.5881,0.5968
42,0.6310,0.5455,0.6005,0.5670,0.5761,0.6064,0.5774,0.5437,0.5547,0.5996
43,0.6183,0.5417,0.6040,0.5453,0.5963,0.5988,0.5758,0.5690,0.5842,0.5632
44,0.6388,0.5727,0.5912,0.5594,0.5857,0.5603,0.6043,0.5244,0.6048,0.5841
45,0.5624,0.5508,0.5836,0.5539,0.6386,0.6233,0.5733,0.6053,0.6211,0.5806
