Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,1.5932,1.4877,1.6784,1.0362,1.6199,1.4522,1.3089,1.1929,1.6040,1.0504
2,1.3789,1.2436,1.2352,0.8530,1.2571,1.2251,1.0315,1.3223,1.3002,0.8529
3,1.2341,1.0582,1.0652,0.7616,1.1706,1.1046,0.9014,1.0036,1.1909,0.7474
4,1.2075,0.9920,0.9975,0.6820,1.0779,1.0560,0.7963,0.9917,1.0993,0.6883
5,1.1380,0.9301,0.9824,0.6503,1.0259,1.0028,0.7648,1.0289,1.0060,0.6319
6,1.0654,0.9344,0.8977,0.5952,0.9356,0.9661,0.6988,0.9245,0.9637,0.6170
7,1.0526,0.8753,0.8792,0.6057,0.9306,0.9608,0.7014,0.8676,0.9540,0.5831
8,1.0371,0.8846,0.9209,0.5814,0.9224,0.9292,0.6809,0.8748,0.9344,0.5442
9,0.9731,0.8335,0.8433,0.5656,0.8759,0.9356,0.6384,0.7730,0.9364,0.5438
10,0.9745,0.8298,0.8049,0.5601,0.8839,0.8627,0.6802,0.8468,0.8662,0.5293
11,0.9743,0.7703,0.8704,0.5376,0.8460,0.8975,0.6266,0.7880,0.9007,0.5015
12,0.9076,0.7910,0.7616,0.5185,0.8255,0.8729,0.6057,0.7596,0.8657,0.5041
13,0.9111,0.7651,0.7920,0.5019,0.8280,0.8459,0.6043,0.7671,0.9023,0.5318
14,0.9045,0.7647,0.7684,0.4808,0.7996,0.8518,0.5807,0.7686,0.8442,0.4843
15,0.8691,0.7429,0.7368,0.4988,0.8002,0.8114,0.6116,0.7886,0.8768,0.4991
16,0.8727,0.7468,0.7530,0.4895,0.8210,0.8264,0.5490,0.8553,0.8424,0.4807
17,0.8538,0.7277,0.7123,0.5151,0.7701,0.8467,0.5685,0.7379,0.8625,0.4729
18,0.8182,0.7390,0.7279,0.5145,0.7549,0.8002,0.5608,0.7914,0.8290,0.4820
19,0.8222,0.6584,0.7437,0.4744,0.7592,0.7800,0.5565,0.7830,0.7742,0.4173
20,0.8117,0.6940,0.7111,0.5023,0.7427,0.7864,0.5819,0.8393,0.7624,0.4171
21,0.8001,0.6637,0.7464,0.4592,0.7435,0.8064,0.5564,0.8382,0.7961,0.4433
22,0.7835,0.7036,0.7159,0.4612,0.7499,0.8413,0.5368,0.8127,0.7711,0.4466
23,0.7903,0.6550,0.6937,0.4722,0.7197,0.7902,0.5535,0.7179,0.7743,0.4164
24,0.7739,0.6643,0.6827,0.4724,0.7498,0.7634,0.5329,0.7059,0.7777,0.3973
25,0.7607,0.6854,0.6628,0.4540,0.7091,0.7696,0.5626,0.7496,0.7651,0.4120
26,0.7478,0.6483,0.7104,0.4821,0.7283,0.7890,0.5288,0.7248,0.7822,0.3918
27,0.7842,0.6460,0.6907,0.4300,0.7274,0.7609,0.5179,0.7181,0.8157,0.4027
28,0.7571,0.6764,0.6436,0.4483,0.7226,0.7742,0.5168,0.8052,0.7693,0.4238
29,0.7783,0.6557,0.6985,0.4474,0.6790,0.7844,0.5122,0.7056,0.7696,0.3880
30,0.7117,0.6351,0.6987,0.4352,0.7430,0.7398,0.4939,0.6947,0.7528,0.3933
31,0.7154,0.6505,0.6241,0.4298,0.6882,0.7323,0.4993,0.7036,0.7400,0.3955
32,0.7655,0.6512,0.6341,0.4117,0.7153,0.7220,0.4911,0.6875,0.7794,0.3735
33,0.7149,0.6765,0.6272,0.4165,0.7103,0.7254,0.4881,0.6716,0.7667,0.3993
34,0.7261,0.6776,0.6151,0.4250,0.7000,0.7416,0.5217,0.7308,0.7425,0.3929
35,0.6689,0.6108,0.6197,0.4444,0.7026,0.7247,0.5125,0.7255,0.7334,0.3824
36,0.6988,0.6018,0.6355,0.4507,0.6789,0.7347,0.5033,0.6952,0.7564,0.3938
37,0.7074,0.6670,0.6172,0.4170,0.6830,0.7237,0.4908,0.7204,0.7602,0.3996
38,0.6833,0.6532,0.6251,0.4095,0.6625,0.7744,0.4789,0.6918,0.7277,0.3820
39,0.7607,0.6975,0.6135,0.4395,0.6894,0.7235,0.4770,0.6865,0.7230,0.3692
40,0.6939,0.6017,0.6253,0.4116,0.6827,0.7341,0.4720,0.7571,0.7246,0.3577
41,0.6963,0.6031,0.6156,0.4212,0.6801,0.7479,0.4843,0.6543,0.7819,0.3903
42,0.6914,0.6162,0.6076,0.3891,0.6553,0.7359,0.4852,0.7244,0.7390,0.3878
43,0.6723,0.6052,0.5993,0.3998,0.6701,0.7510,0.4996,0.7326,0.7125,0.3854
44,0.6782,0.6125,0.5675,0.3908,0.6631,0.7286,0.4943,0.6972,0.7042,0.3884
45,0.6852,0.5983,0.5942,0.4116,0.6844,0.7395,0.4661,0.6807,0.7537,0.3739
46,0.7028,0.6316,0.6330,0.4003,0.6849,0.7235,0.4750,0.7628,0.7446,0.3512
47,0.6948,0.6078,0.5817,0.4049,0.6376,0.7141,0.4759,0.6649,0.7130,0.3572
48,0.6559,0.6190,0.6147,0.3948,0.6319,0.7432,0.4924,0.6702,0.7449,0.3698
49,0.6489,0.6072,0.5809,0.4051,0.6447,0.7309,0.4756,0.5984,0.7058,0.3749
50,0.6622,0.5618,0.5745,0.3986,0.6714,0.7256,0.4825,0.6759,0.7015,0.3785
51,0.6757,0.6001,0.5855,0.3805,0.6505,0.7102,0.4921,0.6795,0.6787,0.3778
52,0.6386,0.5944,0.5719,0.3812,0.6582,0.7176,0.4504,0.6729,0.6815,0.3787
53,0.6327,0.6013,0.6029,0.3888,0.6440,0.7105,0.4418,0.6608,0.6930,0.3721
54,0.6224,0.5793,0.6180,0.3783,0.6561,0.7622,0.5339,0.6623,0.6860,0.3733
55,0.6393,0.5703,0.6146,0.3658,0.6729,0.7499,0.4688,0.7586,0.6915,0.3935
56,0.6370,0.5734,0.5735,0.3849,0.6520,0.7113,0.4320,0.6580,0.7226,0.3656
57,0.6285,0.5820,0.6553,0.3841,0.6292,0.6849,0.4555,0.6903,0.6923,0.3510
58,0.6141,0.6022,0.6231,0.3793,0.6477,0.7203,0.4768,0.6476,0.7080,0.3617
59,0.6449,0.5893,0.5293,0.3810,0.6382,0.7208,0.4552,0.7177,0.6931,0.3884
60,0.6424,0.5765,0.5777,0.3748,0.6468,0.7060,0.4831,0.6395,0.7236,0.3968
61,0.6338,0.5911,0.5554,0.3605,0.6296,0.6750,0.4527,0.6238,0.7230,0.3611
62,0.6116,0.6313,0.5706,0.3910,0.6369,0.6933,0.4893,0.6565,0.6791,0.3454
63,0.6111,0.6015,0.5420,0.3835,0.6282,0.7458,0.4509,0.6358,0.6881,0.3393
64,0.6715,0.6106,0.5855,0.3629,0.6116,0.7222,0.4485,0.6654,0.7438,0.3470
65,0.6170,0.5670,0.5884,0.4150,0.6751,0.6884,0.4549,0.6482,0.7042,0.3576
66,0.6247,0.5840,0.6237,0.3623,0.6403,0.6957,0.4462,0.6621,0.7179,0.4039
67,0.6258,0.5970,0.5314,0.3715,0.6029,0.7092,0.4569,0.6199,0.6885,0.3344
68,0.6359,0.6376,0.5234,0.3712,0.6449,0.6897,0.4478,0.6501,0.7118,0.3379
69,0.6541,0.5910,0.5519,0.3765,0.6541,0.7008,0.4637,0.6429,0.7337,0.3501
70,0.6494,0.5563,0.5514,0.3688,0.6450,0.7126,0.4597,0.6408,0.7610,0.3902
71,0.5873,0.5777,0.5531,0.3665,0.6253,0.7173,0.4672,0.6545,0.6729,0.3344
72,0.6111,0.5550,0.5755,0.3980,0.6121,0.7406,0.4439,0.6532,0.6768,0.3581
73,0.6131,0.6056,0.5359,0.3728,0.6503,0.7239,0.4500,0.6917,0.6945,0.3434
74,0.6003,0.5579,0.5608,0.3572,0.6776,0.7103,0.4471,0.6710,0.7669,0.3677
75,0.6297,0.5687,0.5499,0.3522,0.5939,0.7351,0.4512,0.7166,0.6872,0.3346
76,0.6039,0.6270,0.5353,0.3757,0.5900,0.7095,0.4630,0.7084,0.6754,0.3546
77,0.5972,0.5762,0.5524,0.3601,0.5994,0.6949,0.4808,0.6981,0.7108,0.3448
