Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,0.6710,0.6386,0.6687,0.4064,0.6741,0.8772,0.6647,0.8910,0.8856,0.5204
2,0.3808,0.3243,0.4229,0.2641,0.3967,0.5324,0.3949,0.8558,0.6992,0.3355
3,0.1360,0.1183,0.2746,0.1152,0.3233,0.4650,0.3905,0.9871,0.5423,0.2829
4,0.0787,0.0563,0.2334,0.1363,0.2096,0.5759,0.4286,0.5477,0.4598,0.3327
5,0.0450,0.0238,0.1704,0.0686,0.1484,0.7121,0.4739,0.6781,0.6571,0.3164
6,0.0112,0.0158,0.1434,0.0621,0.1271,0.6080,0.6701,0.7271,0.4910,0.3113
7,0.0306,0.0059,0.0922,0.0502,0.0997,0.7664,0.4466,0.6582,0.6513,0.4247
8,0.0144,0.0057,0.0913,0.0536,0.0840,0.6975,0.5665,0.8237,0.7452,0.4234
9,0.0035,0.0029,0.0821,0.0292,0.0598,1.0729,0.6469,0.7317,0.9848,0.4806
10,0.0026,0.0027,0.0840,0.0242,0.0789,0.8838,0.5227,0.6722,1.1233,0.4193
11,0.0018,0.0030,0.0471,0.0156,0.0451,0.7282,0.6808,0.9517,0.9202,0.7362
12,0.0033,0.0026,0.0682,0.0404,0.1400,0.8816,0.6400,0.9314,0.7609,0.4284
13,0.0197,0.0014,0.0642,0.0202,0.0489,0.9000,0.5765,0.7178,1.0310,0.6968
14,0.0013,0.0013,0.0396,0.0194,0.0508,0.8394,0.6524,1.0334,0.9949,0.6051
15,0.0007,0.0011,0.0365,0.0150,0.0340,0.8999,0.7102,0.9057,0.9708,0.3541
16,0.0009,0.0011,0.0498,0.0427,0.0559,0.9009,0.7051,0.8561,1.0502,0.4831
17,0.0007,0.0009,0.0228,0.0141,0.0374,0.7423,0.6636,0.8765,1.0885,0.4250
18,0.0007,0.0009,0.0345,0.0172,0.0338,0.9141,0.5336,0.8548,0.8562,0.5021
19,0.0051,0.0011,0.0320,0.0101,0.0298,0.8928,0.6847,0.9104,0.8517,0.5648
20,0.0008,0.0010,0.0253,0.0180,0.0404,0.8875,0.5348,0.8496,1.2691,0.6952
21,0.0133,0.0008,0.0276,0.0136,0.0224,0.8403,0.5757,0.9132,0.9276,0.7422
22,0.0006,0.0010,0.0218,0.0241,0.0578,0.9654,0.6809,0.8007,0.9772,0.5565
23,0.0074,0.0012,0.0157,0.0134,0.0188,0.8713,0.6797,0.8556,1.0409,0.4555
24,0.0005,0.0007,0.0233,0.0129,0.0315,1.2505,0.6131,0.9920,1.0702,0.5176
25,0.0005,0.0007,0.0147,0.0089,0.0258,1.1255,0.6116,0.9202,1.0106,0.6471
26,0.0006,0.0008,0.0162,0.0205,0.0341,0.9401,0.7317,0.8459,0.7144,0.4937
27,0.0009,0.0005,0.0153,0.0072,0.0254,1.0141,0.7639,0.8526,1.1813,0.5041
28,0.0005,0.0007,0.0210,0.0137,0.0249,1.0569,0.6615,0.8963,1.0587,0.5792
29,0.0037,0.0005,0.0157,0.0078,0.0264,0.9717,1.0524,0.9382,0.9362,0.6728
30,0.0004,0.0008,0.0138,0.0144,0.0241,0.9657,0.5672,0.7417,1.0662,0.6278
31,0.0004,0.0011,0.0093,0.0080,0.0136,1.0422,0.7253,0.7103,0.9939,0.4394
32,0.0004,0.0006,0.0126,0.0105,0.0196,0.9903,0.6612,0.9308,1.0556,0.5601
33,0.0004,0.0005,0.0079,0.0099,0.0310,1.0480,0.5886,1.0068,1.1690,0.5563
34,0.0003,0.0005,0.0125,0.0080,0.0188,1.0079,0.7456,0.8402,0.9813,0.6348
35,0.0003,0.0007,0.0084,0.0087,0.0259,1.2165,0.8673,0.9816,0.8690,0.6562
36,0.0003,0.0004,0.0099,0.0061,0.0135,0.8700,0.7381,0.9465,0.9632,0.6467
37,0.0003,0.0005,0.0106,0.0075,0.0195,1.1267,0.7085,0.9902,0.9445,0.6578
38,0.0019,0.0005,0.0118,0.0100,0.0295,1.2343,0.8052,0.8343,1.1888,0.6550
39,0.0003,0.0005,0.0072,0.0077,0.0292,1.0967,0.8362,0.9203,1.1893,0.5762
40,0.0005,0.0004,0.0171,0.0108,0.0255,1.0756,0.8319,0.9893,1.1219,0.7425
41,0.0003,0.0004,0.0102,0.0086,0.0162,0.9314,0.6199,0.8203,1.2515,0.7716
42,0.0003,0.0004,0.0133,0.0060,0.0154,1.1139,0.8093,0.9387,1.3173,0.6992
43,0.0003,0.0004,0.0080,0.0057,0.0207,1.1180,0.7321,1.0484,1.3620,0.5482
44,0.0003,0.0004,0.0107,0.0060,0.0128,1.0635,0.8639,0.9636,1.0623,0.7237
45,0.0003,0.0004,0.0090,0.0044,0.0157,1.2072,0.7431,1.0412,1.0626,0.6923
46,0.0004,0.0004,0.0088,0.0076,0.0159,1.0851,0.8999,1.0140,0.9537,0.4459
47,0.0005,0.0004,0.0053,0.0048,0.0140,1.1792,0.6436,0.9499,1.2846,0.5060
48,0.0002,0.0004,0.0077,0.0067,0.0186,1.1944,0.9465,0.9960,1.0309,0.7199
49,0.0003,0.0004,0.0102,0.0061,0.0198,1.1051,0.7522,0.9123,0.9925,0.7752
50,0.0003,0.0003,0.0066,0.0060,0.0117,1.2868,0.7098,0.9891,1.1537,0.5347
51,0.0007,0.0003,0.0050,0.0031,0.0173,1.2780,0.7800,1.0789,0.9890,0.7159
52,0.0004,0.0003,0.0083,0.0061,0.0184,1.1344,0.8127,1.0361,1.1728,0.6069
53,0.0019,0.0004,0.0070,0.0035,0.0115,1.0481,0.6598,0.8869,1.0233,0.6693
54,0.0002,0.0003,0.0066,0.0188,0.0115,1.0949,0.7501,0.8848,1.1169,0.6304
55,0.0165,0.0003,0.0068,0.0096,0.0215,1.1393,1.0063,0.9711,1.1147,0.6255
56,0.0002,0.0004,0.0072,0.0045,0.0108,1.1754,1.0314,0.9507,1.1060,0.6778
57,0.0084,0.0004,0.0132,0.0058,0.0389,1.0915,0.6688,0.8726,1.4137,0.5278
58,0.0002,0.0004,0.0081,0.0054,0.0110,1.1333,0.7006,1.1489,1.1845,0.6055
59,0.0002,0.0005,0.0053,0.0058,0.0097,1.0256,0.8493,1.2025,1.2386,0.7781
60,0.0002,0.0004,0.0087,0.0046,0.0492,1.1839,0.8453,0.9883,1.1253,0.6548
61,0.0002,0.0003,0.0074,0.0034,0.0281,0.9550,0.8883,0.9538,0.9685,0.7278
62,0.0002,0.0003,0.0127,0.0062,0.0120,1.2662,0.6482,0.9626,1.1274,0.6383
63,0.0070,0.0004,0.0064,0.0051,0.0136,1.2346,0.6977,0.9200,1.3115,0.6491
64,0.0002,0.0003,0.0062,0.0049,0.0891,1.0496,1.0205,1.0900,1.0943,0.6689
65,0.0002,0.0003,0.0062,0.0040,0.0080,1.1681,0.7528,0.9697,1.1143,0.6338
66,0.0002,0.0003,0.0052,0.0050,0.0130,1.0945,0.6941,1.0898,1.1597,0.5996
67,0.0026,0.0003,0.0049,0.0041,0.0183,1.2462,0.9213,1.1981,1.1600,0.6941
68,0.0002,0.0003,0.0055,0.0061,0.0128,1.2779,0.7657,0.8733,1.1862,0.8733
69,0.0135,0.0002,0.0045,0.0057,0.0341,0.9379,0.6413,1.0533,1.2266,0.8491
70,0.0002,0.0003,0.0100,0.0035,0.0117,1.3440,0.9419,1.0607,1.2305,0.7100
71,0.0002,0.0002,0.0048,0.0061,0.0116,1.2019,0.7382,1.0505,1.2401,0.6282
72,0.0002,0.0003,0.0106,0.0060,0.0372,1.1480,0.7341,1.0631,1.1941,0.8184
73,0.0003,0.0003,0.0058,0.0026,0.0199,0.9532,0.8187,0.9846,1.0769,0.5721
74,0.0002,0.0006,0.0062,0.0051,0.0109,1.1015,0.9451,1.1294,1.3856,0.7351
75,0.0001,0.0003,0.0055,0.0044,0.0101,1.3891,0.7652,1.0041,1.1145,0.6615
76,0.0002,0.0002,0.0062,0.0057,0.0180,1.1216,0.8089,1.0028,1.1172,0.6882
77,0.0002,0.0003,0.0052,0.0038,0.0106,1.0541,0.9840,0.8798,1.1229,0.7548
78,0.0002,0.0003,0.0055,0.0047,0.0136,1.3474,0.7938,1.0427,1.0642,0.6566
79,0.0002,0.0003,0.0048,0.0044,0.0093,1.1744,0.8080,1.1080,1.3204,0.7187
80,0.0001,0.0003,0.0057,0.0073,0.0154,1.1544,0.8159,1.0007,1.3631,0.8382
81,0.0017,0.0031,0.0054,0.0048,0.0120,1.1748,0.8474,1.0023,1.1342,0.7169
82,0.0012,0.0002,0.0046,0.0062,0.0091,1.4423,0.8742,0.9365,1.5584,0.6439
83,0.0211,0.0002,0.0049,0.0037,0.0089,1.1680,0.7962,1.0886,1.2076,0.8804
84,0.0002,0.0002,0.0069,0.0035,0.0143,1.2297,0.6355,1.0077,1.2134,0.8082
85,0.0001,0.0002,0.0035,0.0034,0.0099,1.1007,1.0247,0.9371,1.3798,0.5871
86,0.0001,0.0002,0.0050,0.0055,0.0136,1.0642,0.9479,1.0638,1.3883,0.6535
87,0.0009,0.0002,0.0076,0.0041,0.0085,1.2129,0.8528,1.0052,1.1550,0.6224
88,0.0092,0.0002,0.0080,0.0124,0.0290,1.1557,0.8701,1.0294,1.1998,0.8734
89,0.0362,0.0002,0.0048,0.0050,0.0204,1.1073,0.8141,1.1657,1.4694,0.9513
90,0.0002,0.0002,0.0048,0.0106,0.0097,1.3610,0.9389,1.0683,1.3885,0.7545
91,0.0001,0.0002,0.0061,0.0039,0.0164,1.1674,0.8960,1.0149,1.1941,0.7597
92,0.0001,0.0002,0.0073,0.0045,0.0097,1.1395,0.9128,1.1649,1.1122,0.5746
93,0.0001,0.0002,0.0051,0.0053,0.0143,1.3651,0.9931,1.1649,1.3561,0.8686
94,0.0001,0.0003,0.0040,0.0052,0.0152,1.4573,0.9296,0.7839,1.4569,0.7201
95,0.0003,0.0002,0.0062,0.0041,0.0098,1.1454,0.8685,1.1039,1.2278,0.7414
96,0.0006,0.0002,0.0045,0.0045,0.0258,1.3329,0.9312,1.1156,1.4185,0.7055
97,0.0527,0.0002,0.0048,0.0039,0.0134,1.4370,0.9070,1.1828,1.3442,0.5899
