Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,1.5199,1.6255,1.5262,1.5662,1.4786,1.4256,1.5573,1.6003,1.4946,1.6111
2,0.7130,0.7119,0.6588,0.6772,0.6254,0.5347,0.6943,0.6233,0.6663,0.6143
3,0.3695,0.3607,0.3775,0.3901,0.2971,0.2184,0.3566,0.3116,0.3098,0.3013
4,0.2591,0.2353,0.2149,0.1978,0.1613,0.1421,0.2169,0.1847,0.2065,0.1862
5,0.1975,0.1697,0.1940,0.1395,0.1581,0.0853,0.1353,0.1380,0.1397,0.1508
6,0.1538,0.1329,0.1247,0.1430,0.0945,0.0663,0.1169,0.1010,0.1215,0.1179
7,0.1274,0.0855,0.0901,0.0969,0.0964,0.0511,0.0830,0.0727,0.0931,0.0852
8,0.0911,0.0852,0.0923,0.0735,0.0805,0.0447,0.0930,0.0723,0.0813,0.0740
9,0.1049,0.0980,0.0691,0.0673,0.0714,0.0397,0.0570,0.0691,0.0723,0.0658
10,0.0861,0.0787,0.0820,0.0627,0.0684,0.0353,0.0543,0.0643,0.0640,0.0610
11,0.0610,0.0546,0.0549,0.0514,0.0464,0.0335,0.0566,0.0462,0.0564,0.0500
12,0.0695,0.0625,0.0735,0.0583,0.0548,0.0353,0.0477,0.0418,0.0514,0.0456
13,0.0655,0.0671,0.0538,0.0438,0.0453,0.0376,0.0391,0.0473,0.0584,0.0552
14,0.0730,0.0464,0.0460,0.0443,0.0407,0.0306,0.0463,0.0394,0.0436,0.0471
15,0.0501,0.0500,0.0469,0.0361,0.0372,0.0276,0.0497,0.0334,0.0420,0.0416
16,0.0522,0.0459,0.0372,0.0439,0.0415,0.0227,0.0397,0.0344,0.0408,0.0403
17,0.0460,0.0499,0.0386,0.0454,0.0381,0.0276,0.0489,0.0406,0.0415,0.0421
18,0.0413,0.0449,0.0420,0.0340,0.0371,0.0265,0.0337,0.0287,0.0372,0.0308
19,0.0548,0.0408,0.0304,0.0384,0.0384,0.0290,0.0269,0.0294,0.0374,0.0357
20,0.0468,0.0456,0.0281,0.0314,0.0290,0.0259,0.0309,0.0263,0.0371,0.0375
21,0.0385,0.0403,0.0302,0.0336,0.0357,0.0235,0.0290,0.0241,0.0356,0.0374
22,0.0431,0.0496,0.0324,0.0297,0.0334,0.0206,0.0458,0.0263,0.0339,0.0334
23,0.0404,0.0434,0.0257,0.0335,0.0318,0.0235,0.0557,0.0239,0.0313,0.0316
