Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,2.8783,3.2491,2.9958,2.9608,3.1010,3.1058,3.3006,3.1502,3.1610,3.1892
2,2.2935,2.5826,2.6328,2.6809,2.7409,3.0840,3.2472,2.9837,3.1017,3.0482
3,1.8241,2.0128,2.2263,2.3566,2.3237,2.8048,3.0176,2.8092,3.0710,2.9121
4,1.4444,1.7505,2.0379,1.9462,2.0545,2.6975,3.1180,2.7704,2.8427,2.8659
5,0.9962,1.1498,1.8624,1.8697,1.8796,2.5495,2.8574,2.6698,2.7443,2.7420
6,0.8432,0.8720,1.7359,1.8437,1.7101,2.4791,2.9656,2.6285,2.7012,2.6145
7,0.5530,0.6037,1.4580,1.5824,1.4542,2.6676,2.7080,2.5362,2.6726,2.6016
8,0.3914,0.5104,1.5342,1.5006,1.5881,2.3795,2.7353,2.6011,2.5688,2.5629
9,0.2425,0.2746,1.3489,1.3620,1.3326,2.4808,2.5476,2.4228,2.6987,2.6009
10,0.2137,0.2304,1.4624,1.3097,1.3587,2.6527,2.5361,2.4540,2.6904,2.5392
11,0.1843,0.1901,1.1473,1.1483,1.0744,2.4526,2.6487,2.5830,2.4952,2.3362
12,0.2039,0.1543,1.1414,1.1404,1.1260,2.3686,2.5071,2.4987,2.7008,2.5089
13,0.1622,0.1427,1.1017,1.0265,0.9891,2.4090,2.6028,2.3298,2.4005,2.4373
14,0.1399,0.1128,1.0654,1.0200,0.9215,2.2821,2.4326,2.4700,2.3483,2.4936
15,0.0921,0.0712,0.9324,0.9902,0.8447,2.2034,2.5123,2.3208,2.5244,2.4294
16,0.1167,0.0541,0.8393,0.9991,0.8650,2.4106,2.4471,2.4103,2.4246,2.3446
17,0.1261,0.0905,0.9525,0.9479,0.8165,2.3476,2.5752,2.5357,2.4795,2.5275
18,0.0405,0.0851,0.8758,0.8434,0.9117,2.5426,2.4544,2.3981,2.4913,2.5058
19,0.1237,0.1491,0.7519,0.7653,0.7437,2.1811,2.4677,2.3468,2.5452,2.3313
20,0.0629,0.0320,0.8103,0.7441,0.7786,2.3697,2.2622,2.4323,2.5135,2.2451
21,0.0664,0.0521,0.6863,0.7499,0.6891,2.2600,2.6398,2.2821,2.5090,2.2859
22,0.0979,0.0293,0.7911,0.8748,0.7957,2.3006,2.3863,2.5855,2.5296,2.3363
23,0.0418,0.0218,0.6010,0.6293,0.6266,2.1548,2.4803,2.3378,2.4247,2.3719
24,0.0245,0.0275,0.6697,0.6879,0.5932,2.4134,2.4200,2.5070,2.4347,2.4686
25,0.0451,0.0298,0.5452,0.5503,0.6544,2.2929,2.4273,2.1832,2.4360,2.2858
26,0.1109,0.0094,0.6378,0.6846,0.6040,2.2242,2.3847,2.2769,2.4448,2.3412
27,0.0234,0.0111,0.4830,0.6518,0.6497,2.4606,2.4212,2.2243,2.4494,2.2712
28,0.0530,0.0288,0.5699,0.5835,0.5779,2.4019,2.3758,2.3657,2.7101,2.3534
29,0.0727,0.0362,0.5162,0.5931,0.6313,2.2987,2.3873,2.3824,2.3422,2.4610
30,0.0646,0.0127,0.5199,0.5413,0.6135,2.3087,2.3406,2.1985,2.3259,2.5281
