Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,1.2014,1.0431,1.1210,0.7381,1.0760,1.0812,0.8360,1.1315,1.2007,0.7558
2,1.0914,0.9688,1.0026,0.5908,1.0113,0.8976,0.6890,0.9455,1.0434,0.6790
3,0.9068,0.7862,0.8345,0.4948,0.8105,0.7257,0.5970,0.7167,0.7595,0.5822
4,0.8047,0.7062,0.7456,0.4070,0.6249,0.7138,0.4916,0.7228,0.6698,0.4089
5,0.7579,0.5772,0.5908,0.3534,0.5215,0.5678,0.4706,0.6770,0.5857,0.2704
6,0.6095,0.4616,0.4952,0.3081,0.4654,0.4797,0.3762,0.8420,0.4321,0.2522
7,0.5238,0.4136,0.4543,0.2073,0.4197,0.4352,0.2776,0.5006,0.3957,0.1952
8,0.4404,0.4641,0.4047,0.1875,0.3886,0.3739,0.2966,0.7814,0.4056,0.2000
9,0.3736,0.3172,0.3706,0.1285,0.3120,0.3177,0.2086,0.4012,0.3710,0.1590
10,0.3909,0.2583,0.3311,0.1500,0.3240,0.2608,0.2233,0.4651,0.2781,0.1563
11,0.3419,0.3288,0.2599,0.1230,0.2447,0.2644,0.2178,0.2880,0.2688,0.1009
12,0.2998,0.2018,0.2231,0.1608,0.2570,0.2085,0.1732,0.6686,0.2355,0.1259
13,0.2435,0.2256,0.2072,0.1297,0.2219,0.2335,0.1319,0.3372,0.2706,0.1110
14,0.1713,0.2391,0.2534,0.0661,0.1981,0.1484,0.1459,0.5816,0.2487,0.0897
15,0.3063,0.1399,0.2775,0.0916,0.2131,0.1568,0.1229,0.3361,0.1376,0.1448
16,0.1722,0.1973,0.1420,0.0894,0.1524,0.1793,0.1051,0.2968,0.1883,0.0903
17,0.1999,0.1492,0.1678,0.0667,0.1504,0.1418,0.1499,0.2075,0.1410,0.0805
18,0.1432,0.1778,0.2006,0.0875,0.1577,0.1628,0.1102,0.2782,0.1622,0.0791
