Round,Aggregated Test Loss,Aggregated Test Acc
1,5.1338,0.0156
2,4.5225,0.0621
3,4.2343,0.0927
4,4.0592,0.1174
5,3.9548,0.1358
6,3.8887,0.1458
7,3.8321,0.1564
8,3.8004,0.1626
9,3.7759,0.1655
10,3.7346,0.1753
11,3.7231,0.1759
12,3.7004,0.1759
13,3.6909,0.1781
14,3.6733,0.185
15,3.6671,0.185
16,3.6538,0.189
17,3.6483,0.1915
18,3.632,0.1908
19,3.6259,0.192
20,3.6283,0.1917
21,3.6145,0.1991
22,3.61,0.1989
23,3.6009,0.1967
24,3.6035,0.1999
25,3.5855,0.1983
26,3.6,0.1969
27,3.604,0.1984
28,3.589,0.2019
29,3.5842,0.2006
30,3.5873,0.2024
31,3.588,0.1991
32,3.5777,0.2032
33,3.5864,0.2004
34,3.5788,0.2034
35,3.5714,0.207
36,3.5734,0.2042
37,3.565,0.2008
38,3.5705,0.2057
39,3.5672,0.205
40,3.5541,0.2081
41,3.5537,0.2009
42,3.5581,0.2096
43,3.5514,0.2061
44,3.5431,0.2079
45,3.556,0.2073
46,3.5561,0.2054
47,3.5447,0.2089
48,3.5679,0.2116
49,3.5523,0.2099
50,3.5422,0.2075
51,3.5485,0.2103
52,3.5518,0.2062
53,3.5482,0.2092
54,3.538,0.2136
55,3.5382,0.2144
56,3.5427,0.2108
57,3.5308,0.2118
58,3.5349,0.2114
59,3.5444,0.2069
60,3.5224,0.2107
61,3.5376,0.2117
62,3.5319,0.2113
63,3.5341,0.2103
64,3.5288,0.2082
65,3.5268,0.2103
66,3.5366,0.2103
67,3.5445,0.2109
68,3.5243,0.2163
69,3.5285,0.2144
70,3.537,0.2145
71,3.5381,0.2148
72,3.5336,0.2135
73,3.5316,0.2156
74,3.5357,0.2123
75,3.5424,0.2142
76,3.5301,0.2166
77,3.5259,0.2113
78,3.5151,0.2143
79,3.5332,0.2128
80,3.5272,0.216
81,3.5334,0.2148
82,3.5331,0.2138
83,3.5223,0.2146
84,3.5205,0.214
85,3.522,0.2114
86,3.514,0.2197
87,3.5292,0.2157
88,3.52,0.2136
89,3.5208,0.2171
90,3.5237,0.2159
91,3.5271,0.2158
92,3.5183,0.2169
93,3.5152,0.2169
94,3.5217,0.2144
95,3.5235,0.2146
96,3.5061,0.2208
97,3.5123,0.2136
98,3.5221,0.2193
99,3.5177,0.2149
100,3.526,0.2187
