Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3518,0.0679
2,3.6772,0.1322
3,3.3696,0.1925
4,3.1701,0.2364
5,3.0658,0.2488
6,2.9767,0.2704
7,3.0167,0.2668
8,2.963,0.2868
9,2.8267,0.3032
10,2.8345,0.3069
11,2.9687,0.292
12,2.89,0.3121
13,2.7097,0.3205
14,2.8297,0.3063
15,2.7436,0.326
16,2.842,0.3063
17,2.7039,0.3342
18,2.7537,0.3152
19,2.8375,0.318
20,2.8187,0.3256
21,2.7286,0.3422
22,2.69,0.3301
23,2.6291,0.3455
24,2.631,0.3554
25,2.8321,0.317
26,2.631,0.3458
27,2.6564,0.3533
28,2.6168,0.3557
29,2.8479,0.3316
30,2.6746,0.3542
31,2.7602,0.3406
32,2.5923,0.3641
33,2.7659,0.3213
34,2.6309,0.3542
35,2.6138,0.3602
36,2.566,0.3718
37,2.5976,0.3516
38,2.5677,0.3637
39,2.5908,0.3647
40,2.635,0.3598
41,2.5354,0.3672
42,2.7315,0.3562
43,2.9638,0.3305
44,2.6341,0.3654
45,2.7461,0.3595
46,2.8396,0.3354
47,2.7026,0.3305
48,2.6114,0.3514
49,2.6378,0.3668
50,2.6341,0.3673
51,2.7971,0.3323
52,2.6593,0.3498
53,3.1128,0.3207
54,2.6936,0.3467
55,2.6969,0.3565
56,2.6238,0.3513
57,2.5866,0.3691
58,3.0526,0.3315
59,2.5635,0.3769
60,2.4815,0.3783
61,2.5969,0.369
62,2.6753,0.3531
63,2.9236,0.3273
64,2.5672,0.3647
65,2.6657,0.3555
66,2.6271,0.3629
67,2.6286,0.3713
68,2.5023,0.3796
69,2.6679,0.3618
70,2.4645,0.3891
71,2.6972,0.3555
72,2.6862,0.3562
73,2.576,0.3797
74,2.6184,0.3679
75,2.57,0.3682
76,2.6788,0.3339
77,2.6606,0.3696
78,2.676,0.357
79,2.6244,0.3644
80,2.5032,0.3919
81,2.5685,0.3552
82,2.6081,0.3586
83,2.5069,0.3817
84,2.6848,0.352
85,2.5279,0.3664
86,2.5449,0.3855
87,2.5252,0.3791
88,2.59,0.3776
89,2.6394,0.3721
90,2.5871,0.3741
91,2.5438,0.3707
92,2.6225,0.3808
93,2.6865,0.3556
94,2.5819,0.3737
95,2.4494,0.3843
96,2.4263,0.3887
97,2.7139,0.3665
98,2.6941,0.3601
99,2.8782,0.3661
100,2.4864,0.3793
101,2.7324,0.3711
102,2.7762,0.361
103,2.6301,0.3803
104,2.6349,0.3733
105,2.5988,0.3688
106,2.6558,0.3642
107,2.6545,0.3728
108,2.5224,0.3783
109,2.6059,0.3656
110,2.7041,0.3627
111,2.6591,0.377
112,2.5524,0.3875
113,2.3972,0.3999
114,2.8163,0.3594
115,2.545,0.3849
116,2.7408,0.3589
117,2.6085,0.3554
118,2.5907,0.381
119,2.5658,0.382
120,2.4734,0.3831
121,2.5239,0.3827
122,2.489,0.3918
123,2.7529,0.3608
124,2.5662,0.3747
125,2.6761,0.3769
126,2.5819,0.3802
127,2.5313,0.3855
128,2.5139,0.3887
129,2.5053,0.3953
130,2.8881,0.3532
131,2.5769,0.3783
132,2.6958,0.3706
133,2.804,0.3661
134,2.4977,0.3787
135,2.5644,0.3819
136,2.4528,0.3855
137,2.4995,0.3836
138,2.5916,0.3863
139,2.8248,0.3586
140,2.6194,0.3666
141,2.7599,0.332
142,2.4871,0.3828
143,2.4282,0.3939
144,2.5065,0.3856
145,2.5624,0.3798
146,2.5025,0.3745
147,2.4514,0.389
148,2.5786,0.3801
149,2.4435,0.4067
150,2.5075,0.3978
151,2.5328,0.392
152,2.4697,0.3875
153,2.4708,0.3941
154,2.6147,0.3968
155,2.4423,0.3952
156,2.5481,0.3861
157,2.797,0.3587
158,2.6146,0.3685
159,2.537,0.381
160,2.5242,0.3876
161,2.4408,0.4021
162,2.5198,0.3861
163,2.4949,0.3722
164,2.4695,0.4041
165,2.4478,0.3986
166,2.6461,0.3823
167,2.6005,0.3483
168,2.476,0.3968
169,2.6635,0.3776
170,2.518,0.3874
171,2.5356,0.3817
172,2.8021,0.3554
173,2.6622,0.3727
174,2.4767,0.3838
175,2.4811,0.3967
176,2.6768,0.3777
177,2.4565,0.3934
178,2.5208,0.391
179,2.4579,0.3999
180,2.5776,0.3854
181,3.0135,0.3532
182,2.4184,0.4047
183,2.5442,0.3723
184,2.5229,0.3909
185,2.6309,0.3701
186,2.4997,0.3873
187,2.5759,0.3871
188,2.5164,0.389
189,2.581,0.3799
190,3.0392,0.3423
191,2.5587,0.3752
192,2.9424,0.333
193,2.4064,0.4101
194,2.5895,0.3816
195,2.456,0.4034
196,2.5835,0.3662
197,2.5014,0.3822
198,2.5932,0.3653
199,2.6445,0.3798
200,2.5483,0.3973
