Round,Aggregated Test Loss,Aggregated Test Acc
1,5.2117,0.0228
2,4.3578,0.1169
3,4.1797,0.167
4,4.1899,0.1909
5,4.0832,0.2115
6,4.1045,0.227
7,4.1275,0.2293
8,4.0751,0.2427
9,4.0317,0.2468
10,4.0382,0.2515
11,4.0999,0.2561
12,4.0636,0.261
13,4.114,0.2619
14,4.0607,0.2688
15,4.0436,0.2643
16,4.0323,0.2706
17,3.9949,0.2778
18,4.0446,0.2702
19,4.031,0.2746
20,4.0352,0.2735
21,4.0427,0.2651
22,4.0276,0.2782
23,4.0602,0.2732
24,4.0051,0.2751
25,3.9457,0.2778
26,3.961,0.2816
27,4.0033,0.2722
28,4.0048,0.275
29,3.8892,0.2898
30,3.9654,0.2806
31,3.9246,0.2833
32,3.9824,0.2823
33,3.9997,0.2797
34,3.9796,0.283
35,3.9474,0.2886
36,3.9415,0.2857
37,3.9344,0.2831
38,3.9265,0.2846
39,3.9418,0.2895
40,3.9684,0.2907
41,4.0154,0.2848
42,4.0139,0.2825
43,3.9551,0.2913
44,3.9765,0.2779
45,3.9596,0.2882
46,3.9943,0.2807
47,3.9771,0.2883
48,3.9055,0.2912
49,3.9341,0.2948
50,3.8912,0.2947
51,3.9756,0.2832
52,3.9726,0.2886
53,3.9033,0.2966
54,3.9419,0.2838
55,4.0081,0.2869
56,3.9236,0.2917
57,3.8823,0.2925
58,3.8861,0.2898
59,3.8963,0.293
60,3.8314,0.2996
61,3.9272,0.2926
62,3.8778,0.288
63,3.9261,0.2926
64,3.9493,0.2945
65,3.979,0.2935
66,3.9571,0.2849
67,3.9017,0.2914
68,3.9496,0.2915
69,3.8867,0.2924
70,3.8667,0.3009
71,3.968,0.2863
72,3.9523,0.2838
73,3.9422,0.2918
74,3.9274,0.2917
75,3.9263,0.2929
76,3.8464,0.2968
77,3.9347,0.2871
78,3.9627,0.287
79,3.846,0.2978
80,3.9306,0.2891
81,3.9277,0.2935
82,3.9213,0.2923
83,3.8915,0.2961
84,3.9368,0.2887
85,3.9452,0.2891
86,3.9748,0.2858
87,3.8896,0.3035
88,3.9067,0.2992
89,3.8872,0.2988
90,3.8447,0.3019
91,3.9823,0.289
92,3.9822,0.2875
93,3.902,0.2974
94,3.9898,0.2866
95,3.8854,0.2867
96,3.8473,0.297
97,3.8766,0.2983
98,3.9837,0.288
99,3.8676,0.2977
100,3.8838,0.2927
