Round,Aggregated Test Loss,Aggregated Test Acc
1,5.1389,0.0252
2,4.2846,0.1109
3,4.0378,0.1703
4,4.0105,0.2029
5,3.9296,0.2208
6,3.9496,0.2275
7,3.9187,0.2415
8,3.8204,0.2478
9,3.8464,0.2434
10,3.8305,0.2445
11,3.8579,0.2426
12,3.7798,0.252
13,3.8817,0.2493
14,3.8495,0.2492
15,3.9281,0.2498
16,3.8722,0.2469
17,3.9386,0.2481
18,4.0047,0.2412
19,4.0896,0.2484
20,4.0479,0.2545
21,4.1841,0.2483
22,4.1879,0.2501
23,4.2643,0.2555
24,4.3379,0.2522
25,4.4296,0.2529
26,4.476,0.2552
27,4.5051,0.255
28,4.588,0.2569
29,4.5884,0.2558
30,4.6493,0.2547
31,4.6175,0.2604
32,4.67,0.2622
33,4.612,0.2618
34,4.6605,0.2588
35,4.6143,0.2629
36,4.5945,0.2605
37,4.6566,0.2629
38,4.7067,0.259
39,4.6637,0.2625
40,4.6907,0.264
41,4.6426,0.2622
42,4.6956,0.2652
43,4.6438,0.2638
44,4.5837,0.2679
45,4.7202,0.26
46,4.6526,0.2649
47,4.6864,0.2646
48,4.7592,0.2605
49,4.7383,0.2584
50,4.7005,0.2632
51,4.7062,0.2692
52,4.7724,0.2576
53,4.7686,0.2605
54,4.8364,0.2566
55,4.7843,0.2633
56,4.8134,0.2641
57,4.665,0.2666
58,4.7295,0.2636
59,4.7184,0.2667
60,4.7192,0.2649
61,4.7502,0.2654
62,4.7695,0.26
63,4.734,0.2645
64,4.747,0.2655
65,4.8078,0.2628
66,4.7087,0.269
67,4.7598,0.2671
68,4.7039,0.2687
69,4.7641,0.2631
70,4.7055,0.2663
71,4.7607,0.2664
72,4.6946,0.2665
73,4.7062,0.2661
74,4.788,0.2753
75,4.7585,0.2699
76,4.7452,0.2694
77,4.6807,0.2693
78,4.7335,0.2689
79,4.7363,0.2712
80,4.6977,0.2688
81,4.7197,0.2665
82,4.8164,0.2684
83,4.7583,0.2676
84,4.6916,0.273
85,4.74,0.2754
86,4.7627,0.2728
87,4.7667,0.2705
88,4.8312,0.2701
89,4.7617,0.2659
90,4.8166,0.2673
91,4.7613,0.2641
92,4.7976,0.2722
93,4.6707,0.2733
94,4.769,0.2692
95,4.7252,0.2683
96,4.7666,0.2665
97,4.7449,0.2694
98,4.6783,0.2696
99,4.8431,0.2637
100,4.7394,0.2698
