Round,Aggregated Test Loss,Aggregated Test Acc
1,5.0987,0.0305
2,4.4962,0.1066
3,4.2814,0.1571
4,4.2784,0.1847
5,4.3182,0.1922
6,4.402,0.2023
7,4.4214,0.2109
8,4.4639,0.214
9,4.519,0.2143
10,4.5043,0.2165
11,4.5663,0.2164
12,4.4468,0.224
13,4.5148,0.2239
14,4.5137,0.22
15,4.553,0.2238
16,4.7601,0.2214
17,4.7026,0.2206
18,4.8186,0.2189
19,4.8418,0.218
20,4.7695,0.2197
21,4.8326,0.2146
22,4.8371,0.2177
23,4.7982,0.2187
24,4.8824,0.2193
25,4.9497,0.2149
26,4.9466,0.2188
27,5.109,0.2141
28,5.0691,0.2201
29,5.1122,0.2146
30,5.1441,0.2224
31,5.1278,0.2176
32,5.1847,0.2163
33,5.3009,0.2175
34,5.2724,0.2191
35,5.3537,0.2188
36,5.4178,0.2176
37,5.4851,0.217
38,5.4279,0.2214
39,5.4806,0.2181
40,5.481,0.2181
41,5.4851,0.2248
42,5.5342,0.2187
43,5.5654,0.2281
44,5.4694,0.2232
45,5.4633,0.2261
46,5.5475,0.2266
47,5.4984,0.2178
48,5.5315,0.2257
49,5.5302,0.225
50,5.541,0.2248
51,5.4905,0.2278
52,5.5128,0.225
53,5.5569,0.2306
54,5.621,0.2268
55,5.4872,0.2259
56,5.4946,0.2317
57,5.5479,0.2293
58,5.4344,0.2313
59,5.5085,0.2302
60,5.5812,0.2289
61,5.5689,0.2242
62,5.5141,0.2278
63,5.5889,0.2272
64,5.6698,0.223
65,5.5037,0.2317
66,5.5169,0.2294
67,5.6636,0.2248
68,5.529,0.2307
69,5.6034,0.2299
70,5.6378,0.2245
71,5.452,0.2257
72,5.6375,0.2257
73,5.517,0.2291
74,5.4652,0.2294
75,5.6674,0.2303
76,5.4957,0.2319
77,5.4857,0.2333
78,5.5807,0.2289
79,5.5491,0.2322
80,5.5656,0.2311
81,5.4862,0.2366
82,5.4554,0.2336
83,5.5357,0.2324
84,5.439,0.2313
85,5.511,0.2333
86,5.5444,0.2283
87,5.4198,0.231
88,5.5055,0.2324
89,5.4668,0.2369
90,5.4996,0.2358
91,5.5374,0.2315
92,5.5179,0.2346
93,5.5491,0.2346
94,5.4621,0.2333
95,5.4316,0.2421
96,5.4292,0.2399
97,5.5945,0.2327
98,5.5376,0.233
99,5.4551,0.2403
100,5.5778,0.2354
