Round,Aggregated Test Loss,Aggregated Test Acc
1,2.0824,0.2165
2,1.8033,0.3311
3,1.5898,0.3941
4,1.5264,0.4374
5,1.4693,0.4584
6,1.4564,0.445
7,1.3329,0.5143
8,1.3009,0.5171
9,1.2377,0.541
10,1.2453,0.5529
11,1.2585,0.537
12,1.0749,0.6043
13,1.121,0.5829
14,1.0825,0.6105
15,1.1132,0.5976
16,1.1639,0.5914
17,1.0827,0.6076
18,1.0997,0.6196
19,1.1044,0.609
20,1.0616,0.6314
21,0.9975,0.6522
22,1.1274,0.6103
23,1.1501,0.6071
24,0.9751,0.6642
25,1.1127,0.615
26,1.0205,0.6496
27,1.0418,0.6514
28,0.978,0.6599
29,1.0288,0.6447
30,0.9791,0.6644
31,1.0768,0.6424
32,0.9728,0.6645
33,1.0423,0.6559
34,0.9934,0.6632
35,1.0288,0.6593
36,1.1181,0.6443
37,1.0503,0.6526
38,1.038,0.6527
39,0.9796,0.6681
40,1.0189,0.6702
41,1.0785,0.6461
42,0.9719,0.6774
43,1.0443,0.6617
44,1.0841,0.6512
45,0.9929,0.674
46,0.9701,0.6716
47,1.0454,0.6649
48,1.0163,0.6753
49,0.9936,0.6765
50,0.9931,0.6701
51,0.9558,0.6882
52,1.0016,0.6738
53,0.9637,0.6887
54,1.0426,0.6676
55,1.0219,0.6746
56,0.9369,0.6917
57,1.0026,0.6783
58,1.0461,0.669
59,1.0329,0.6754
60,0.9616,0.6907
61,0.9305,0.6997
62,0.9324,0.6982
63,0.9926,0.6772
64,0.9364,0.6973
65,0.9729,0.6899
66,0.9406,0.7004
67,0.94,0.7051
68,0.9399,0.6902
69,1.0115,0.6866
70,0.8951,0.7122
71,0.9819,0.6895
72,0.9811,0.6886
73,0.9661,0.6913
74,0.8969,0.7119
75,0.9563,0.6985
76,0.9289,0.7066
77,1.0065,0.6806
78,0.9208,0.7024
79,0.9948,0.6872
80,0.9459,0.7002
81,0.8727,0.7174
82,0.9551,0.6989
83,0.9222,0.7055
84,0.9404,0.7074
85,0.9247,0.7029
86,0.9126,0.7086
87,0.9241,0.7075
88,0.9659,0.6976
89,0.9505,0.7019
90,0.9128,0.7112
91,0.9106,0.7125
92,0.9344,0.7085
93,0.915,0.7165
94,0.8896,0.7225
95,0.8767,0.7154
96,0.8914,0.7181
97,0.9603,0.6959
98,0.9177,0.7047
99,0.877,0.7213
100,0.8446,0.7319
101,0.9955,0.6949
102,0.9278,0.7091
103,0.911,0.715
104,0.9559,0.704
105,0.9291,0.7023
106,0.9703,0.6969
107,0.9163,0.7115
108,0.8766,0.7262
109,0.846,0.7269
110,0.9154,0.7175
111,0.8858,0.7195
112,0.8873,0.7198
113,0.8914,0.7168
114,0.9357,0.7086
115,0.9523,0.7065
116,0.8811,0.7171
117,0.9231,0.7174
118,0.911,0.7123
119,1.0394,0.6874
120,0.8926,0.7243
121,0.8825,0.7227
122,0.9194,0.7112
123,1.1215,0.6734
124,0.9485,0.7052
125,0.9083,0.7172
126,0.9287,0.7127
127,0.9636,0.7051
128,1.0228,0.693
129,0.9394,0.71
130,0.9166,0.7163
131,0.9024,0.7218
132,0.9,0.72
133,0.9307,0.7123
134,0.8423,0.728
135,0.9017,0.715
136,0.8591,0.7271
137,0.8677,0.7266
138,0.8889,0.7186
139,0.9037,0.7222
140,0.9134,0.718
141,0.9586,0.7112
142,0.8964,0.7218
143,0.9756,0.7085
144,0.9301,0.7152
145,0.9314,0.706
146,0.9767,0.7113
147,0.8943,0.7181
148,0.8982,0.7266
149,0.8579,0.7339
150,0.9087,0.7215
151,0.8891,0.717
152,0.9546,0.7036
153,0.8648,0.7263
154,0.9439,0.7115
155,0.899,0.7184
156,0.926,0.7132
157,0.972,0.7072
158,0.9433,0.7065
159,0.8883,0.7207
160,1.022,0.6952
161,0.8763,0.7222
162,0.9304,0.7097
163,0.8478,0.7271
164,0.8908,0.7231
165,0.9054,0.7212
166,0.9588,0.7026
167,0.9075,0.7208
168,0.9623,0.7094
169,0.9315,0.715
170,0.8669,0.7245
171,0.9159,0.7177
172,0.9223,0.7161
173,0.9488,0.7068
174,0.9562,0.7134
175,0.9611,0.7051
176,0.9704,0.7023
177,0.9551,0.7031
178,0.9251,0.72
179,0.8746,0.7217
180,0.8928,0.7226
181,0.9209,0.7163
182,0.8997,0.7184
183,0.8685,0.7279
184,0.839,0.7391
185,0.9091,0.718
186,0.9512,0.7001
187,0.9232,0.7176
188,0.953,0.7069
189,0.9333,0.7136
190,0.8721,0.7289
191,0.8875,0.7196
192,0.8538,0.7287
193,0.908,0.7209
194,0.929,0.7113
195,0.9039,0.7144
196,0.9235,0.7118
197,0.8746,0.7343
198,0.8955,0.7206
199,0.8885,0.7229
200,0.8668,0.7229
