Round,Aggregated Test Loss,Aggregated Test Acc
1,5.0987,0.0305
2,4.4931,0.1072
3,4.2833,0.1587
4,4.3237,0.1816
5,4.3548,0.1926
6,4.442,0.1965
7,4.4667,0.2052
8,4.477,0.2099
9,4.5128,0.2138
10,4.7417,0.2021
11,4.6125,0.211
12,4.5731,0.2126
13,4.6705,0.2112
14,4.6246,0.2155
15,4.6762,0.2159
16,4.9208,0.2099
17,4.7567,0.213
18,4.6232,0.2204
19,4.7662,0.2131
20,4.8235,0.2128
21,4.8127,0.2026
22,4.8206,0.2151
23,4.9662,0.2081
24,5.0644,0.2077
25,5.0368,0.2086
26,4.9677,0.2133
27,5.1875,0.209
28,5.1636,0.2109
29,5.2111,0.21
30,5.2203,0.2136
31,5.2302,0.2153
32,5.2187,0.2147
33,5.3395,0.2172
34,5.3636,0.2115
35,5.3234,0.2186
36,5.4809,0.2129
37,5.5334,0.2169
38,5.4772,0.2169
39,5.5665,0.2174
40,5.5575,0.2153
41,5.573,0.217
42,5.7701,0.2159
43,5.5301,0.2173
44,5.7098,0.2124
45,5.6521,0.2179
46,5.7098,0.2196
47,5.6951,0.2198
48,5.6597,0.2175
49,5.6345,0.217
50,5.6976,0.2217
51,5.6705,0.2148
52,5.7434,0.2199
53,5.7639,0.2156
54,5.7071,0.2164
55,5.6675,0.2206
56,5.7363,0.2232
57,5.7425,0.218
58,5.7292,0.2201
59,5.7578,0.2157
60,5.6578,0.2241
61,5.6818,0.2224
62,5.6325,0.2178
63,5.6638,0.2235
64,5.8293,0.2226
65,5.7608,0.2118
66,5.7212,0.2191
67,5.7682,0.2163
68,5.7712,0.2162
69,5.8099,0.218
70,5.7694,0.2224
71,5.7872,0.2235
72,5.7433,0.2177
73,5.8011,0.2179
74,5.7578,0.2203
75,5.747,0.2209
76,5.7042,0.225
77,5.7674,0.2253
78,5.8287,0.2269
79,5.7513,0.2265
80,5.7914,0.2261
81,5.8294,0.2215
82,5.7453,0.2299
83,5.6553,0.2272
84,5.6839,0.2183
85,5.8598,0.2242
86,5.9171,0.2178
87,5.8074,0.2215
88,5.7691,0.2195
89,5.7323,0.2202
90,5.6744,0.2276
91,5.8287,0.2228
92,5.8016,0.2211
93,5.7028,0.2249
94,5.8103,0.2261
95,5.8278,0.2233
96,5.9106,0.2179
97,5.8658,0.22
98,5.726,0.2228
99,5.7875,0.2272
100,5.7496,0.223
