Round,Aggregated Test Loss,Aggregated Test Acc
1,2.0986,0.23
2,1.8967,0.2867
3,1.6899,0.3897
4,2.1016,0.3205
5,1.498,0.4635
6,1.4614,0.4725
7,1.427,0.4857
8,1.3679,0.5121
9,1.58,0.478
10,1.3993,0.515
11,1.5788,0.4861
12,1.1986,0.5691
13,1.2306,0.5698
14,1.205,0.5814
15,1.5367,0.4906
16,1.2943,0.5575
17,1.5026,0.5168
18,1.2744,0.5485
19,1.1904,0.5901
20,1.2879,0.5714
21,1.0862,0.6128
22,1.4788,0.5392
23,1.0818,0.6204
24,1.1149,0.6236
25,1.1817,0.5891
26,1.1416,0.6056
27,1.2873,0.5757
28,1.435,0.5533
29,1.2395,0.5877
30,1.2795,0.5864
31,1.1267,0.6206
32,1.1758,0.6206
33,1.0179,0.6525
34,1.0027,0.6567
35,1.0799,0.6462
36,0.9364,0.6772
37,1.0061,0.6627
38,1.2024,0.6121
39,1.0537,0.6426
40,1.0485,0.6513
41,1.2067,0.6189
42,1.0827,0.6378
43,1.1384,0.6328
44,1.1369,0.6386
45,1.0053,0.6614
46,1.1819,0.6306
47,1.1532,0.624
48,1.0046,0.6706
49,1.0947,0.6498
50,1.1251,0.6253
51,1.021,0.6572
52,1.0324,0.6652
53,1.1683,0.6265
54,1.2166,0.6362
55,1.0976,0.6498
56,0.9547,0.6822
57,1.0782,0.6612
58,1.0614,0.6674
59,1.0906,0.6646
60,1.109,0.6451
61,1.2315,0.623
62,1.0199,0.6726
63,1.1394,0.6468
64,1.0913,0.652
65,1.1329,0.646
66,1.2414,0.6322
67,1.1309,0.6394
68,0.9881,0.6698
69,1.0323,0.6726
70,1.1704,0.6464
71,1.1648,0.6436
72,1.2633,0.6162
73,1.3512,0.5995
74,1.0403,0.6737
75,0.9472,0.6907
76,0.9469,0.685
77,0.979,0.6887
78,1.2444,0.635
79,1.217,0.6292
80,0.9651,0.6787
81,1.1114,0.6535
82,1.2073,0.6339
83,1.0248,0.683
84,1.569,0.6113
85,1.12,0.6581
86,1.0611,0.6821
87,1.0257,0.6754
88,0.998,0.6832
89,1.1556,0.6647
90,0.9625,0.688
91,0.9803,0.6827
92,1.4259,0.6235
93,0.9303,0.7072
94,1.1232,0.6736
95,0.9407,0.6915
96,1.2793,0.6368
97,1.0772,0.6558
98,0.9817,0.6763
99,1.0364,0.6758
100,1.0345,0.6787
101,1.6743,0.6055
102,1.1146,0.6645
103,1.0846,0.6684
104,0.9367,0.7025
105,0.8866,0.7123
106,0.9373,0.6957
107,1.043,0.6733
108,0.9295,0.6927
109,0.9201,0.7014
110,1.0273,0.686
111,1.0602,0.68
112,1.0109,0.6884
113,0.9762,0.686
114,0.9878,0.6973
115,1.4507,0.6105
116,1.089,0.6674
117,0.9753,0.6862
118,1.0328,0.6829
119,1.1024,0.6747
120,1.024,0.672
121,1.0972,0.6771
122,0.9532,0.6925
123,0.8938,0.7087
124,0.9443,0.6957
125,0.9627,0.7022
126,0.9242,0.703
127,1.0253,0.6885
128,0.9266,0.7056
129,0.9165,0.709
130,1.1171,0.6679
131,0.9379,0.7042
132,1.1163,0.6657
133,0.9538,0.7039
134,1.2126,0.6607
135,1.2318,0.6483
136,1.0323,0.6856
137,0.8686,0.7126
138,0.9482,0.7035
139,0.9663,0.6924
140,0.9975,0.6884
141,1.2052,0.6582
142,1.0303,0.6947
143,1.0027,0.6915
144,1.17,0.6585
145,0.9408,0.7049
146,0.9954,0.6934
147,0.9581,0.6981
148,1.0552,0.6777
149,1.01,0.6749
150,1.1023,0.679
151,1.0076,0.6846
152,1.0249,0.6952
153,1.4053,0.6322
154,1.1187,0.6667
155,1.0913,0.6807
156,1.1391,0.638
157,1.0567,0.6771
158,1.2264,0.631
159,1.2161,0.6462
160,0.9261,0.7098
161,0.9792,0.7021
162,0.9256,0.7082
163,1.103,0.6681
164,0.9825,0.6866
165,1.0414,0.6846
166,0.9485,0.7104
167,1.0636,0.6928
168,0.9671,0.6891
169,1.0281,0.6758
170,0.9026,0.7171
171,0.9814,0.6922
172,0.9068,0.7091
173,1.1541,0.6712
174,1.0405,0.6758
175,0.9856,0.693
176,1.0,0.6862
177,0.9792,0.6939
178,0.9208,0.7129
179,0.9699,0.7062
180,1.033,0.6822
181,1.1718,0.6634
182,1.0584,0.6931
183,0.9475,0.6987
184,1.1468,0.6741
185,0.9707,0.6895
186,0.9813,0.6728
187,0.9178,0.6968
188,1.0294,0.6945
189,1.0387,0.6702
190,1.172,0.6801
191,1.024,0.6816
192,0.9907,0.6741
193,0.8783,0.7097
194,0.9411,0.6929
195,0.9414,0.7044
196,1.0352,0.6785
197,1.0477,0.6793
198,1.0199,0.7022
199,1.3252,0.6418
200,0.9113,0.7029
