Round,Aggregated Test Loss,Aggregated Test Acc
1,2.2553,0.1173
2,2.1693,0.2298
3,2.2447,0.2515
4,2.3528,0.2406
5,2.4367,0.2555
6,2.3547,0.2673
7,2.3785,0.2697
8,2.3383,0.2625
9,2.3643,0.2823
10,2.3003,0.2937
11,2.3446,0.2845
12,2.2589,0.2626
13,2.1668,0.302
14,2.2306,0.3193
15,2.0843,0.3138
16,2.1665,0.3185
17,2.3399,0.3067
18,2.3464,0.316
19,2.2194,0.3232
20,2.0569,0.3512
21,2.0632,0.3444
22,2.095,0.3337
23,2.0968,0.3487
24,2.3963,0.3047
25,2.0232,0.3456
26,2.1643,0.3428
27,2.1423,0.3455
28,1.9321,0.3656
29,1.9121,0.3774
30,1.9341,0.3815
31,1.8172,0.4104
32,2.0973,0.3675
33,1.7359,0.4216
34,1.7836,0.4082
35,2.0237,0.3405
36,1.8423,0.4005
37,1.8325,0.405
38,1.8255,0.4077
39,1.9555,0.386
40,1.9502,0.3997
41,1.8411,0.4065
42,1.7843,0.4293
43,1.9218,0.4007
44,1.7196,0.4322
45,1.851,0.4242
46,1.7905,0.4208
47,1.9681,0.3911
48,1.6678,0.4343
49,1.681,0.4368
50,1.7118,0.4193
51,1.7042,0.4456
52,1.7103,0.445
53,1.6877,0.4277
54,1.8672,0.4127
55,1.7605,0.4357
56,1.765,0.435
57,1.6163,0.4622
58,1.7641,0.4218
59,1.6064,0.464
60,1.5268,0.4568
61,1.6695,0.4433
62,1.4654,0.4741
63,1.6353,0.4353
64,1.6229,0.4508
65,1.7076,0.4367
66,1.7853,0.4327
67,1.6735,0.4426
68,1.7083,0.4424
69,1.6301,0.4338
70,1.6948,0.4334
71,1.5171,0.4668
72,1.765,0.4258
73,1.7057,0.4358
74,1.6844,0.4407
75,1.629,0.4441
76,1.7766,0.4233
77,1.6826,0.4302
78,1.7023,0.4507
79,1.6842,0.4361
80,1.5247,0.4817
81,1.7004,0.4394
82,1.5363,0.4967
83,1.6503,0.4429
84,1.4689,0.4968
85,1.7144,0.4439
86,1.5075,0.4814
87,1.5938,0.4672
88,1.472,0.4902
89,1.4803,0.4897
90,1.655,0.4694
91,1.5286,0.4848
92,1.6249,0.4714
93,1.6069,0.4583
94,1.6235,0.4585
95,1.6008,0.4744
96,1.6553,0.4514
97,1.5536,0.4875
98,1.6884,0.4545
99,1.5818,0.4685
100,1.536,0.4864
101,1.7906,0.4429
102,1.7059,0.4654
103,1.8025,0.4372
104,1.6158,0.4709
105,1.6876,0.4602
106,1.6892,0.4636
107,1.7957,0.4575
108,1.6864,0.4666
109,1.8819,0.435
110,1.5625,0.4842
111,1.9629,0.4243
112,1.8036,0.4389
113,1.8958,0.4132
114,1.7445,0.4486
115,1.6227,0.4692
116,1.8016,0.4413
117,1.9119,0.4298
118,1.5149,0.4724
119,1.6781,0.4639
120,1.5232,0.4875
121,1.4852,0.4949
122,1.5269,0.4851
123,1.6222,0.4804
124,1.5284,0.4843
125,1.6997,0.4657
126,1.6235,0.4751
127,1.4643,0.4848
128,1.5121,0.483
129,1.808,0.4322
130,1.4578,0.4889
131,1.7499,0.4453
132,1.5506,0.4673
133,1.6853,0.4334
134,1.5138,0.4738
135,1.6411,0.4426
136,1.583,0.449
137,1.7613,0.4347
138,1.6611,0.4371
139,1.6044,0.4522
140,1.7199,0.4324
141,1.7092,0.4324
142,1.5405,0.4726
143,1.5015,0.4842
144,1.821,0.436
145,1.5528,0.4855
146,1.6171,0.4829
147,1.4901,0.4969
148,1.6958,0.455
149,1.6214,0.4772
150,1.3735,0.5261
151,1.393,0.5163
152,1.5111,0.4996
153,1.4696,0.4865
154,1.4674,0.4998
155,1.5524,0.4778
156,1.5226,0.4889
157,1.5465,0.4824
158,1.6586,0.449
159,1.5271,0.4866
160,1.5241,0.4842
161,1.4568,0.5071
162,1.4365,0.501
163,1.4727,0.5042
164,1.6169,0.4753
165,1.4722,0.4951
166,1.4936,0.5001
167,1.6466,0.4585
168,1.4551,0.4966
169,1.5232,0.491
170,1.5415,0.4895
171,1.7265,0.4445
172,1.684,0.4572
173,1.5953,0.4659
174,1.6323,0.4664
175,1.7755,0.4388
176,1.6153,0.4546
177,1.5983,0.4739
178,1.5186,0.4836
179,1.5285,0.4839
180,1.5936,0.4529
181,1.7051,0.4446
182,1.6873,0.4461
183,1.5746,0.4622
184,1.5325,0.4693
185,1.6872,0.4389
186,1.5602,0.4622
187,1.5349,0.4694
188,1.5612,0.4692
189,1.6205,0.4655
190,1.6082,0.4572
191,1.5542,0.4633
192,1.5245,0.4761
193,1.6728,0.4525
194,1.6654,0.4544
195,1.4428,0.5053
196,1.6666,0.4488
197,1.4873,0.496
198,1.657,0.4633
199,1.7293,0.4474
200,1.6518,0.4766
