Round,Aggregated Test Loss,Aggregated Test Acc
1,4.4559,0.0267
2,4.0768,0.0765
3,3.8455,0.1169
4,3.7391,0.1358
5,3.6499,0.1506
6,3.6046,0.1594
7,3.587,0.1632
8,3.516,0.1767
9,3.4947,0.1804
10,3.4751,0.1839
11,3.4639,0.1867
12,3.4339,0.192
13,3.4301,0.1934
14,3.4145,0.1955
15,3.3957,0.1973
16,3.3894,0.1985
17,3.3745,0.2003
18,3.3643,0.199
19,3.3475,0.2035
20,3.3414,0.2059
21,3.3336,0.2036
22,3.3199,0.2071
23,3.301,0.2096
24,3.2971,0.2102
25,3.2797,0.2136
26,3.287,0.2136
27,3.2643,0.2189
28,3.251,0.2193
29,3.2479,0.2193
30,3.2329,0.222
31,3.2368,0.2197
32,3.2446,0.2179
33,3.2239,0.2241
34,3.2343,0.2217
35,3.2089,0.2285
36,3.2171,0.2246
37,3.1929,0.2257
38,3.1841,0.2294
39,3.187,0.2283
40,3.1881,0.2282
41,3.1597,0.2318
42,3.1566,0.2326
43,3.1592,0.2313
44,3.1773,0.2316
45,3.1473,0.2369
46,3.162,0.2344
47,3.1445,0.2376
48,3.1401,0.2377
49,3.146,0.236
50,3.1531,0.236
51,3.1432,0.2372
52,3.1416,0.2396
53,3.1409,0.238
54,3.1293,0.2397
55,3.1319,0.2401
56,3.1252,0.2429
57,3.1243,0.2452
58,3.1179,0.2423
59,3.1143,0.2422
60,3.1221,0.243
61,3.1527,0.2427
62,3.1029,0.2459
63,3.1147,0.2446
64,3.093,0.2483
65,3.1102,0.2415
66,3.1082,0.2427
67,3.1023,0.2435
68,3.114,0.246
69,3.1057,0.2481
70,3.0835,0.2482
71,3.1023,0.2476
72,3.0913,0.247
73,3.0995,0.248
74,3.0697,0.2513
75,3.0741,0.2498
76,3.0601,0.2524
77,3.0644,0.2493
78,3.088,0.2451
79,3.0538,0.2519
80,3.0613,0.2495
81,3.0584,0.2521
82,3.0551,0.2513
83,3.059,0.2482
84,3.055,0.253
85,3.037,0.2559
86,3.0484,0.2514
87,3.0508,0.2535
88,3.0568,0.2499
89,3.0389,0.2567
90,3.0243,0.2568
91,3.0184,0.2556
92,3.0185,0.2559
93,3.0394,0.2539
94,3.0365,0.2544
95,3.0308,0.2585
96,3.0147,0.2575
97,3.0203,0.2556
98,3.0167,0.2565
99,3.0267,0.2579
100,3.0202,0.2563
101,3.0167,0.2571
102,3.016,0.2569
103,3.0397,0.256
104,3.0166,0.2588
105,3.0283,0.2567
106,3.0191,0.2577
107,3.0236,0.2577
108,2.998,0.2646
109,3.0322,0.2575
110,3.0036,0.258
111,3.0028,0.2596
112,2.9955,0.2642
113,2.9992,0.2622
114,2.999,0.2619
115,3.0089,0.2613
116,3.0036,0.2637
117,3.0061,0.2612
118,2.9977,0.2625
119,3.0023,0.2631
120,3.04,0.2607
121,2.9926,0.2617
122,2.9809,0.2686
123,2.9873,0.2623
124,2.9807,0.2627
125,2.9942,0.2622
126,2.9801,0.2637
127,2.9849,0.2631
128,2.9769,0.2632
129,2.9948,0.2633
130,2.9709,0.2683
131,2.9645,0.2664
132,2.973,0.2612
133,2.9807,0.2657
134,2.9743,0.2629
135,2.9551,0.2638
136,2.9864,0.2664
137,2.971,0.2667
138,2.9587,0.2689
139,2.9994,0.2644
140,2.9548,0.2703
141,2.9622,0.2685
142,2.978,0.2687
143,2.9812,0.268
144,2.9462,0.2714
145,2.973,0.2661
146,2.9583,0.2693
147,2.9529,0.2739
148,2.94,0.2716
149,2.9525,0.2718
150,2.9499,0.2677
151,2.9452,0.2704
152,2.9569,0.2641
153,2.9591,0.2705
154,2.9591,0.2687
155,2.9501,0.2673
156,2.9516,0.2708
157,2.9507,0.2708
158,2.943,0.2707
159,2.9769,0.2692
160,2.918,0.2738
161,2.9259,0.2697
162,2.9235,0.2745
163,2.9532,0.2707
164,2.9029,0.2786
165,2.927,0.2752
166,2.948,0.2718
167,2.9369,0.2711
168,2.9618,0.2667
169,2.94,0.2686
170,2.9367,0.2727
171,2.9456,0.2716
172,2.93,0.2735
173,2.9572,0.2682
174,2.9342,0.2692
175,2.9243,0.2748
176,2.9336,0.2732
177,2.921,0.2747
178,2.9189,0.2752
179,2.9136,0.2783
180,2.9405,0.2749
181,2.9362,0.274
182,2.9325,0.2725
183,2.9007,0.2792
184,2.9316,0.2732
185,2.9371,0.2697
186,2.9072,0.2761
187,2.9077,0.2807
188,2.9487,0.2743
189,2.9269,0.2721
190,2.9494,0.2744
191,2.9269,0.2765
192,2.9131,0.2764
193,2.9024,0.2775
194,2.9108,0.2765
195,2.9268,0.2756
196,2.9152,0.2789
197,2.9343,0.276
198,2.9164,0.2731
199,2.9289,0.2777
200,2.9196,0.2743
