Round,Aggregated Test Loss,Aggregated Test Acc
1,4.4411,0.0452
2,4.2858,0.082
3,4.2667,0.1092
4,4.325,0.1278
5,4.2699,0.131
6,4.3058,0.1343
7,4.2567,0.1482
8,4.0341,0.1583
9,4.0061,0.1667
10,4.0219,0.173
11,3.9489,0.1697
12,3.855,0.1786
13,3.8396,0.1787
14,3.8655,0.1792
15,3.8607,0.1865
16,3.7829,0.1903
17,3.7507,0.1822
18,3.7192,0.1922
19,3.7806,0.1869
20,3.7031,0.1962
21,3.7103,0.1939
22,3.6796,0.2042
23,3.7353,0.206
24,3.7682,0.1964
25,3.7827,0.1981
26,3.7078,0.2018
27,3.7411,0.1959
28,3.7522,0.2039
29,3.6085,0.2037
30,3.6794,0.2021
31,3.7649,0.1939
32,3.6468,0.2017
33,3.7217,0.2046
34,3.6473,0.2043
35,3.7467,0.2006
36,3.7558,0.2002
37,3.6876,0.2001
38,3.665,0.1975
39,3.7424,0.1944
40,3.6459,0.1961
41,3.7187,0.1951
42,3.6329,0.2061
43,3.6836,0.2013
44,3.7232,0.2009
45,3.7648,0.1912
46,3.8201,0.186
47,3.6644,0.193
48,3.7923,0.19
49,3.7628,0.1903
50,3.7242,0.1933
51,3.7678,0.1917
52,3.8217,0.1949
53,3.7439,0.1904
54,3.8284,0.1803
55,3.7072,0.1934
56,3.7894,0.1834
57,3.7123,0.1912
58,3.6796,0.1981
59,3.6639,0.197
60,3.7273,0.1945
61,3.6283,0.1966
62,3.7692,0.1921
63,3.7409,0.19
64,3.7251,0.1998
65,3.7598,0.1917
66,3.7057,0.1899
67,3.7169,0.1919
68,3.8402,0.1834
69,3.6905,0.1883
70,3.802,0.1778
71,3.8004,0.1814
72,3.7271,0.1832
73,3.7313,0.18
74,3.5706,0.1997
75,3.7992,0.1791
76,3.6998,0.1841
77,3.6878,0.1907
78,3.776,0.1757
79,3.6989,0.1878
80,3.7004,0.1928
81,3.6811,0.1906
82,3.6793,0.1873
83,3.7176,0.1909
84,3.7629,0.1889
85,3.7877,0.1782
86,3.6919,0.185
87,3.7213,0.1847
88,3.7708,0.1823
89,3.695,0.1861
90,3.6208,0.1893
91,3.6047,0.1974
92,3.8281,0.1856
93,3.7132,0.1872
94,3.6956,0.1831
95,3.7477,0.1819
96,3.7541,0.1813
97,3.7717,0.1806
98,3.689,0.1881
99,3.7079,0.1861
100,3.7808,0.1904
101,3.7742,0.1774
102,3.7351,0.1843
103,3.7235,0.1851
104,3.7168,0.1863
105,3.7516,0.1832
106,3.7354,0.183
107,3.6894,0.1882
