Round,Aggregated Test Loss,Aggregated Test Acc
1,4.665,0.0673
2,4.6124,0.0585
3,4.1348,0.0947
4,4.1545,0.1001
5,4.1519,0.1096
6,4.0806,0.1378
7,7.3131,0.1173
8,6.1052,0.1135
9,5.3559,0.1163
10,5.3844,0.1138
11,5.2035,0.1202
12,3.9714,0.1557
13,3.8163,0.1526
14,3.9065,0.1583
15,4.7233,0.1503
16,7.053,0.1262
17,6.8282,0.1263
18,3.7313,0.1868
19,3.7202,0.1833
20,3.7214,0.1872
21,3.9096,0.1676
22,3.8687,0.1548
23,3.9849,0.1666
24,3.8852,0.1574
25,3.847,0.1556
26,3.658,0.1912
27,3.6778,0.1623
28,6.751,0.1199
29,4.6641,0.1663
30,4.7769,0.1468
31,8.4089,0.1072
32,8.9619,0.1003
33,9.0871,0.0996
34,8.9799,0.1024
35,8.703,0.096
36,8.7724,0.0943
37,8.7878,0.0866
38,9.5651,0.0803
39,9.873,0.117
40,12.1873,0.1053
41,13.3088,0.0864
42,14.039,0.082
43,13.9809,0.0796
44,12.8722,0.0942
45,14.7481,0.0854
46,14.5485,0.0876
47,14.0847,0.0876
48,14.29,0.0818
49,14.5281,0.0797
50,14.8152,0.0799
51,7.6895,0.1119
52,5.755,0.1329
53,5.8701,0.128
54,6.0542,0.1262
55,6.0596,0.1223
56,4.9352,0.1577
57,6.6161,0.1377
58,6.9023,0.131
59,5.5416,0.1502
60,5.6291,0.1469
61,5.9998,0.139
62,5.1579,0.1536
63,5.423,0.1507
64,5.6811,0.1427
65,5.7321,0.1396
66,5.7671,0.1419
67,5.8165,0.1497
68,5.5585,0.1592
69,5.0734,0.1668
70,5.0904,0.1638
71,5.0538,0.1659
72,5.2544,0.164
73,5.4168,0.1545
74,5.3206,0.1642
75,5.401,0.1616
76,5.2994,0.1625
77,4.7472,0.1747
78,4.8697,0.1813
79,4.9264,0.1727
80,5.1891,0.1733
81,5.9914,0.1673
82,6.0776,0.1665
83,5.8511,0.1713
84,5.2291,0.1843
85,5.3696,0.175
86,5.0555,0.1777
87,4.8023,0.1875
88,5.0823,0.1771
89,5.0914,0.1692
90,5.0737,0.1818
91,5.2771,0.1751
92,5.9132,0.1689
93,6.8439,0.1605
94,6.4125,0.1603
95,6.5403,0.1553
96,6.5091,0.1556
97,6.3911,0.1633
98,6.503,0.1611
99,6.6192,0.1602
100,6.5439,0.1638
101,6.1764,0.1631
102,6.2084,0.1662
103,6.1045,0.1635
104,6.019,0.1643
105,6.0412,0.1609
106,6.097,0.1637
107,6.1482,0.1634
108,6.2723,0.1612
109,6.3467,0.1582
110,6.3117,0.1584
111,6.3419,0.158
112,6.3379,0.1564
113,6.3325,0.1574
114,5.8128,0.1712
115,5.8068,0.1721
116,5.8076,0.1736
117,5.8807,0.1721
118,5.9575,0.1697
119,5.9089,0.1728
120,5.9287,0.1722
121,6.0738,0.1674
122,6.0853,0.1669
123,6.198,0.1635
124,6.6396,0.158
125,6.6142,0.161
126,6.6301,0.1597
127,6.2276,0.1653
128,6.3766,0.1588
129,6.3896,0.1594
130,6.4583,0.158
131,6.5063,0.1556
132,6.474,0.1561
133,6.2446,0.1613
134,6.4431,0.1622
135,6.5043,0.1604
136,6.1015,0.168
137,6.064,0.1671
138,5.9695,0.1719
139,5.9673,0.1736
140,5.914,0.1797
141,6.0323,0.1783
142,6.0307,0.1754
143,6.1256,0.171
144,6.4031,0.1696
145,6.7804,0.1652
146,6.6427,0.168
147,6.8382,0.1641
148,6.3682,0.1723
149,6.4293,0.1758
150,6.499,0.1752
151,6.361,0.1777
152,6.194,0.1793
153,6.3631,0.176
154,6.3694,0.1757
155,6.1703,0.1766
156,6.2861,0.1725
157,6.1785,0.176
158,6.1651,0.1785
159,6.5922,0.1695
160,6.8848,0.1633
161,6.935,0.162
162,7.1383,0.1623
163,7.1364,0.1617
164,7.1558,0.1616
165,7.1327,0.1628
166,7.5423,0.1528
167,7.5284,0.1536
168,7.6994,0.1501
169,7.8114,0.1506
170,7.2033,0.1572
171,6.79,0.1626
172,6.8459,0.1613
173,7.1243,0.1548
174,7.1537,0.1541
175,7.2865,0.15
176,7.384,0.1508
177,7.5248,0.15
178,7.8393,0.1523
179,8.0209,0.1507
180,8.017,0.1519
181,8.0396,0.1525
182,8.0526,0.1504
183,8.1514,0.1507
184,8.225,0.1476
185,7.6,0.1545
186,7.5534,0.1571
187,7.5475,0.1547
188,7.583,0.1565
189,7.2172,0.1657
190,7.3025,0.1651
191,7.3024,0.1652
192,7.3309,0.1651
193,7.0157,0.1665
194,7.4516,0.1665
195,7.5065,0.1637
196,7.5208,0.1627
197,7.5322,0.1625
198,7.5967,0.1601
199,7.5695,0.161
200,7.6976,0.158
201,7.6911,0.1579
202,7.6249,0.1599
203,7.9165,0.1584
204,7.3471,0.1593
205,7.3705,0.1626
206,7.7353,0.161
207,7.3038,0.1655
208,7.4562,0.1632
209,7.0898,0.164
210,6.9796,0.1635
211,7.1935,0.1595
212,6.8797,0.1628
213,6.7774,0.1626
214,6.7735,0.1623
215,6.948,0.1669
216,7.0695,0.1665
217,7.1623,0.1667
218,7.2362,0.1615
219,7.3068,0.1613
220,7.3474,0.1618
221,7.3422,0.1611
222,6.7676,0.1651
223,6.7562,0.1659
224,7.0937,0.1645
225,7.474,0.162
226,7.4573,0.1614
227,7.4669,0.1606
228,7.4997,0.1612
229,7.5771,0.1632
230,7.6358,0.1606
231,7.25,0.1625
232,7.1675,0.1592
233,7.2877,0.1567
234,7.3779,0.1571
235,6.9636,0.1614
236,6.9974,0.1594
237,7.0834,0.1584
238,7.1846,0.1587
239,7.4287,0.1586
240,7.4253,0.1589
241,7.8634,0.1537
242,7.9296,0.154
243,7.8806,0.1587
244,7.9362,0.1573
245,7.4286,0.1592
246,7.3702,0.1553
247,6.9804,0.161
248,7.0418,0.1604
249,7.1269,0.1607
250,7.0247,0.1581
251,7.2222,0.1574
252,7.2765,0.1568
253,7.3809,0.1522
254,7.1402,0.1581
255,7.2268,0.157
256,7.0547,0.1623
257,7.1264,0.1645
258,7.1221,0.1646
259,7.1876,0.162
260,6.7503,0.1658
261,7.0,0.1626
262,7.148,0.1623
263,6.849,0.1628
264,6.9537,0.1618
265,7.0008,0.1606
266,6.7857,0.1646
267,6.6844,0.1682
268,6.574,0.1673
269,6.6822,0.1675
270,6.7719,0.1668
271,6.9418,0.1665
272,7.0151,0.1662
273,7.1269,0.1661
274,6.8216,0.167
275,6.9626,0.1654
276,7.0704,0.1665
277,7.0435,0.1628
278,7.0034,0.1628
279,7.007,0.1626
280,6.953,0.1651
281,7.0662,0.1635
282,7.3047,0.1648
283,7.7246,0.1622
284,7.4034,0.1641
285,7.2827,0.1627
286,7.2978,0.1626
287,7.3196,0.1623
288,7.3983,0.1611
289,7.4652,0.1634
290,7.1771,0.1652
291,7.1731,0.1665
292,7.2639,0.1668
293,7.1216,0.168
294,6.8312,0.172
295,6.8284,0.1729
296,6.8958,0.1711
297,7.1316,0.1717
298,7.1988,0.1721
299,7.2743,0.1708
300,7.2839,0.1702
301,7.4615,0.1672
302,7.2031,0.1692
303,7.1911,0.1695
304,6.9901,0.1671
305,7.0621,0.1666
306,6.9694,0.1682
307,6.9418,0.1691
308,6.9733,0.1668
309,6.9898,0.1685
310,7.0445,0.1677
311,7.0236,0.1688
312,7.0465,0.1677
313,7.0801,0.168
314,7.0673,0.1719
315,7.1173,0.1717
316,7.2277,0.1685
317,7.2076,0.1676
318,7.011,0.1717
319,7.0381,0.1741
320,7.0359,0.1733
321,6.9121,0.1714
322,7.156,0.1708
323,6.9822,0.173
324,6.8976,0.1736
325,7.0034,0.1721
326,7.0151,0.1717
327,7.0987,0.1703
328,7.1234,0.1729
329,7.2388,0.1738
330,7.2522,0.1773
331,7.0572,0.1739
332,6.8756,0.1736
333,6.8996,0.1749
334,7.0416,0.1725
335,7.0364,0.1744
336,7.0674,0.1739
337,7.1979,0.1748
338,7.2787,0.1763
339,7.3799,0.1731
340,7.2222,0.173
341,7.2525,0.1736
342,7.4066,0.1713
343,7.3237,0.1681
344,7.1024,0.1701
345,6.9807,0.173
346,7.0256,0.1732
347,7.2731,0.17
348,7.4789,0.1654
349,7.4662,0.1655
350,7.44,0.1663
351,7.2939,0.1647
352,7.2999,0.1639
353,7.3436,0.1633
354,7.4332,0.1646
355,7.4278,0.1656
356,7.3897,0.1668
357,7.2278,0.1691
358,6.9445,0.1731
359,6.9487,0.173
360,7.0675,0.1741
361,7.0608,0.1747
362,6.7711,0.1737
363,6.905,0.1724
364,6.9215,0.1726
365,6.9488,0.1723
366,6.9438,0.1736
367,6.9532,0.1726
368,6.962,0.1713
369,6.9719,0.1703
370,6.9478,0.1721
371,6.9424,0.1748
372,6.8824,0.175
373,7.1451,0.1759
374,7.0471,0.1737
375,6.9483,0.1736
376,6.8941,0.1742
377,6.9162,0.1741
378,7.0519,0.1731
379,7.0715,0.1748
380,7.0077,0.1744
381,6.9819,0.1756
382,6.9594,0.1771
383,7.0581,0.1751
384,7.1119,0.1749
385,7.1015,0.1746
386,7.1605,0.1754
387,7.1425,0.1759
388,7.1771,0.1772
389,7.183,0.1736
390,7.2158,0.1762
391,7.2082,0.1758
392,7.1959,0.1759
393,7.0856,0.1758
394,7.1381,0.174
395,7.1397,0.1738
396,7.1625,0.1741
397,7.2459,0.1727
398,7.2548,0.1739
399,6.9963,0.178
400,6.8815,0.1762
401,6.9313,0.1765
402,6.9898,0.1765
403,7.0181,0.1763
404,7.0169,0.1762
405,7.0275,0.175
406,7.0855,0.1739
407,7.0029,0.174
408,7.0034,0.172
409,7.0659,0.1713
410,7.2052,0.1707
411,7.2015,0.1721
412,7.2568,0.1731
