Round,Aggregated Test Loss,Aggregated Test Acc
1,2.2671,0.1897
2,2.129,0.2152
3,1.9576,0.3086
4,1.8821,0.3379
5,1.8113,0.3362
6,1.7799,0.3562
7,1.7201,0.395
8,1.6967,0.3667
9,1.6637,0.3698
10,1.5654,0.4239
11,1.5271,0.4397
12,1.4753,0.4667
13,1.5689,0.4245
14,1.4648,0.4619
15,1.5161,0.4429
16,1.5113,0.458
17,1.4965,0.4377
18,1.4255,0.472
19,1.4863,0.4436
20,1.4235,0.4826
21,1.4157,0.4849
22,1.4962,0.4642
23,1.4173,0.4806
24,1.4074,0.4827
25,1.3807,0.4945
26,1.3626,0.4929
27,1.3905,0.4743
28,1.3127,0.517
29,1.3524,0.5123
30,1.3241,0.5089
31,1.3041,0.5288
32,1.2941,0.5313
33,1.2937,0.5315
34,1.3294,0.5193
35,1.2791,0.5259
36,1.2761,0.5245
37,1.3016,0.5199
38,1.295,0.5294
39,1.3143,0.5106
40,1.2314,0.5528
41,1.2418,0.565
42,1.2032,0.5659
43,1.2185,0.5591
44,1.2316,0.5547
45,1.2248,0.5636
46,1.2151,0.5561
47,1.2122,0.566
48,1.2121,0.5672
49,1.1901,0.574
50,1.1661,0.5829
51,1.1924,0.5686
52,1.1783,0.5687
53,1.1833,0.5738
54,1.1759,0.5699
55,1.1884,0.5638
56,1.1822,0.5646
57,1.2025,0.568
58,1.1516,0.5874
59,1.1569,0.5865
60,1.2071,0.552
61,1.1994,0.5567
62,1.1658,0.5831
63,1.1652,0.5694
64,1.1557,0.5843
65,1.1323,0.5938
66,1.1576,0.5918
67,1.1387,0.594
68,1.1286,0.6016
69,1.1199,0.6033
70,1.1324,0.6009
71,1.1389,0.6015
72,1.1438,0.5973
73,1.1281,0.607
74,1.1349,0.6024
75,1.1092,0.6074
76,1.103,0.6116
77,1.1005,0.6124
78,1.1338,0.5996
79,1.0988,0.6106
80,1.0993,0.613
81,1.0822,0.618
82,1.081,0.6193
83,1.0872,0.6195
84,1.1151,0.6041
85,1.0977,0.6093
86,1.08,0.6228
87,1.1122,0.6057
88,1.0749,0.6234
89,1.0839,0.6174
90,1.0712,0.623
91,1.0621,0.6233
92,1.0536,0.6283
93,1.0627,0.6206
94,1.0637,0.6195
95,1.0576,0.6269
96,1.05,0.6296
97,1.0474,0.63
98,1.0515,0.6239
99,1.0453,0.631
100,1.0448,0.6297
101,1.0549,0.6313
102,1.0504,0.6335
103,1.0431,0.6391
104,1.0397,0.6404
105,1.0478,0.6299
106,1.0474,0.6358
107,1.0616,0.6322
108,1.0504,0.6343
109,1.051,0.6311
110,1.0281,0.6381
111,1.0416,0.6318
112,1.0447,0.6283
113,1.0443,0.6354
114,1.0535,0.6372
115,1.0374,0.6411
116,1.0394,0.6405
117,1.0443,0.6434
118,1.0496,0.6342
119,1.0437,0.6367
120,1.029,0.646
121,1.0354,0.6431
122,1.0276,0.643
123,1.025,0.6417
124,1.0167,0.6458
125,1.0177,0.6446
126,1.0084,0.6507
127,0.9965,0.6528
128,1.0128,0.6497
129,1.0284,0.6334
130,1.0236,0.6422
131,1.0266,0.6391
132,1.0025,0.653
133,1.013,0.6516
134,1.0073,0.6525
135,1.0135,0.6539
136,1.0409,0.6345
137,1.0541,0.6229
138,1.0409,0.6525
139,1.0664,0.6465
140,1.0308,0.6545
141,1.0392,0.6404
142,1.0191,0.6457
143,1.007,0.6479
144,1.0171,0.6506
145,0.9976,0.6542
146,1.0009,0.6517
147,1.0022,0.6491
148,1.0096,0.6431
149,1.0049,0.6455
150,1.0081,0.6552
151,0.9948,0.6596
152,1.0096,0.6564
153,1.0052,0.6507
154,0.9918,0.6602
155,0.9878,0.6594
156,1.0144,0.6559
157,1.0466,0.6492
158,1.0521,0.6462
159,1.0255,0.6471
160,1.0359,0.6441
161,1.0195,0.6429
162,1.0292,0.6372
163,0.9949,0.6549
164,1.0105,0.6453
165,0.9868,0.6605
166,0.9862,0.6556
167,1.0127,0.6416
168,0.9985,0.646
169,0.9819,0.6601
170,0.9776,0.6575
171,0.9667,0.6639
172,0.9745,0.6567
173,0.9823,0.6555
174,0.9765,0.6624
175,0.9821,0.6588
176,0.9839,0.657
177,0.9989,0.6612
178,0.9841,0.6625
179,0.9759,0.666
180,0.964,0.669
181,0.9685,0.6675
182,0.9793,0.6635
183,0.9738,0.6677
184,0.9749,0.6635
185,0.9731,0.6611
186,0.992,0.6697
187,0.9787,0.6674
188,0.9676,0.6679
189,0.9785,0.6628
190,0.9945,0.6529
191,1.0054,0.6526
192,1.0039,0.6478
193,0.9833,0.6569
194,0.974,0.6613
195,0.9742,0.6564
196,0.9969,0.6455
197,0.9668,0.6619
198,0.9681,0.6575
199,0.9766,0.6495
200,0.9671,0.6624
201,0.9509,0.6717
202,0.9727,0.6641
203,0.9739,0.6653
204,0.9804,0.6666
205,0.9729,0.6673
206,0.9999,0.6632
207,1.0049,0.6573
208,0.9694,0.6728
209,0.9666,0.6654
210,0.9689,0.6765
211,0.9546,0.674
212,0.9559,0.6747
213,0.9725,0.6662
214,0.9656,0.6716
215,0.9543,0.6732
216,0.9545,0.6694
217,0.9628,0.6664
218,0.9538,0.6735
219,0.9549,0.6721
220,0.9564,0.6683
221,0.9492,0.673
222,0.9436,0.6748
223,0.9524,0.6737
224,0.9458,0.6755
225,0.9347,0.678
226,0.9338,0.6779
227,0.9346,0.6785
228,0.9371,0.6782
229,0.9383,0.6791
230,0.9305,0.6809
231,0.9327,0.6801
232,0.9286,0.6822
233,0.9391,0.6749
234,0.9304,0.6814
235,0.9363,0.6824
236,0.9924,0.6677
237,0.9509,0.6762
238,0.9333,0.684
239,0.9335,0.6822
240,0.9401,0.6792
241,0.9619,0.6798
242,0.9478,0.6791
243,0.9435,0.6829
244,0.9385,0.6787
245,0.9367,0.6773
246,0.9578,0.6746
247,0.9504,0.6771
248,0.9343,0.6802
249,0.9231,0.6866
250,0.9366,0.6795
251,0.9363,0.6752
252,0.9368,0.6767
253,0.9538,0.6727
254,0.9533,0.6676
255,0.9587,0.6706
256,0.9615,0.6764
257,0.9546,0.6822
258,0.9517,0.6795
259,0.963,0.6786
260,0.956,0.6814
261,0.9437,0.685
262,0.9451,0.68
263,0.9404,0.6823
264,0.9777,0.6716
265,0.9681,0.6743
266,0.9605,0.6797
267,0.9377,0.6835
268,0.9413,0.6803
269,0.9386,0.6787
270,0.9393,0.6822
271,0.9459,0.6825
272,0.9503,0.6796
273,0.9246,0.6866
274,0.9316,0.6792
275,0.9361,0.6746
276,0.9304,0.6748
277,0.9238,0.6809
278,0.9272,0.6794
279,0.9344,0.6779
280,0.9046,0.6891
281,0.9123,0.6824
282,0.8991,0.6938
283,0.9276,0.6852
284,0.9182,0.6882
285,0.9119,0.6867
286,0.9171,0.6886
287,0.9357,0.681
288,0.9271,0.6885
289,0.9407,0.6859
290,0.9343,0.6838
291,0.9228,0.6832
292,0.9358,0.684
293,0.9302,0.6811
294,0.9877,0.6655
295,0.9593,0.6741
296,0.9327,0.685
297,0.9246,0.6857
298,0.9101,0.6874
