Round,Aggregated Test Loss,Aggregated Test Acc
1,6.7987,0.0115
2,7.7068,0.0167
3,5.6517,0.0386
4,6.6928,0.0438
5,6.5947,0.058
6,7.4927,0.0693
7,8.1024,0.0678
8,8.3828,0.0879
9,8.3076,0.0817
10,7.6138,0.0759
11,8.565,0.0819
12,7.1083,0.1002
13,6.8261,0.0989
14,8.0375,0.0829
15,7.0514,0.0995
16,7.5854,0.0974
17,5.8565,0.1306
18,6.7146,0.0991
19,6.7595,0.1155
20,8.2099,0.1106
21,7.5727,0.121
22,5.8728,0.1457
23,7.1045,0.1213
24,7.2717,0.1224
25,7.1569,0.1182
26,6.7195,0.1266
27,7.4443,0.1328
28,6.5996,0.1385
29,6.9774,0.1383
30,7.2109,0.1306
31,7.2346,0.1369
32,6.6754,0.1365
33,6.0411,0.1466
34,5.4671,0.1524
35,6.2941,0.1342
36,5.1973,0.1635
37,6.314,0.1468
38,6.4513,0.1426
39,6.7587,0.1414
40,6.0464,0.1561
41,6.2331,0.1547
42,6.1183,0.1589
43,5.7015,0.1682
44,6.0346,0.1571
45,6.6929,0.1521
46,7.1453,0.1525
47,6.2447,0.1683
48,6.4363,0.1695
49,6.6069,0.1623
50,7.0271,0.1679
51,6.9985,0.1648
52,6.2049,0.1738
53,6.5607,0.1651
54,7.6856,0.1531
55,7.7438,0.1485
56,6.9532,0.1557
57,6.2193,0.1683
58,5.5018,0.1839
59,5.7374,0.1776
60,6.6672,0.1667
61,6.5011,0.1665
62,6.748,0.1722
63,7.446,0.1601
64,6.3398,0.1781
65,6.5269,0.1745
66,6.4387,0.1776
67,6.0162,0.1853
68,6.4289,0.1748
69,6.1143,0.1759
70,5.7706,0.182
71,5.6763,0.1845
72,5.977,0.1851
73,6.0183,0.1874
74,5.5373,0.1928
75,5.3054,0.193
76,5.6978,0.1853
77,5.5569,0.185
78,5.9826,0.1828
79,5.6431,0.1931
80,5.7279,0.1798
81,5.8633,0.1867
82,6.193,0.1813
83,5.5957,0.1871
84,5.6354,0.19
85,5.7401,0.1951
86,5.6725,0.1933
87,5.6497,0.1967
88,6.0487,0.1907
89,5.6469,0.1958
90,5.9184,0.1919
91,5.9146,0.1931
92,5.9759,0.1949
93,5.7638,0.1992
94,5.486,0.2014
95,5.5282,0.2043
96,5.6596,0.2051
97,5.8472,0.1975
98,5.7989,0.1941
99,5.4828,0.2066
100,5.6732,0.2003
101,5.51,0.2056
102,5.5624,0.2081
103,5.575,0.2089
104,5.8238,0.2053
105,5.5632,0.2115
106,5.542,0.2089
107,5.5566,0.2059
108,5.4465,0.2056
109,5.6868,0.2063
110,5.4874,0.2083
111,5.438,0.2078
112,5.2572,0.2075
113,5.3342,0.209
114,5.4776,0.2075
115,5.6025,0.2073
116,5.9007,0.1986
117,5.5962,0.1996
118,5.4035,0.2063
119,5.7199,0.2023
120,5.7384,0.2023
121,5.404,0.2083
122,5.1473,0.212
123,5.4082,0.2095
124,5.492,0.2107
125,5.3126,0.2111
126,5.5428,0.2065
127,5.3502,0.2107
128,5.1187,0.2118
129,5.0882,0.213
130,5.0905,0.2084
131,5.2675,0.2031
132,5.3006,0.2087
133,5.5187,0.2051
134,5.1772,0.2125
135,5.0397,0.2142
136,5.2097,0.2123
137,5.5145,0.2083
138,5.289,0.2136
139,5.2843,0.2135
140,5.5565,0.2094
141,5.5283,0.2119
142,5.5509,0.2146
143,5.2882,0.218
144,5.4069,0.2165
145,5.5356,0.2177
146,5.5707,0.2172
147,5.6484,0.2151
148,5.5993,0.2167
149,5.5733,0.2106
150,5.302,0.2161
151,5.3197,0.2114
152,5.1538,0.2171
153,5.1945,0.2126
154,5.1451,0.2149
155,5.1339,0.2161
156,5.0989,0.2149
157,5.1275,0.2202
158,5.2267,0.2165
159,5.2952,0.2196
160,5.144,0.2203
161,5.0808,0.2251
162,5.2018,0.2218
163,5.3393,0.22
164,5.2679,0.2231
165,5.4023,0.2186
166,5.5446,0.2179
167,5.6746,0.2141
168,5.4812,0.2169
169,5.399,0.2174
170,5.3621,0.2225
171,5.3158,0.2203
172,5.302,0.2202
173,5.2587,0.2211
174,5.1429,0.2204
175,5.1361,0.219
176,5.1671,0.2214
177,5.2263,0.2225
178,5.2691,0.2226
179,5.3958,0.2229
180,5.5044,0.2204
181,5.4238,0.2223
182,5.4863,0.2257
183,5.4174,0.2269
184,5.2751,0.2278
185,5.3852,0.2254
186,5.3581,0.2237
187,5.2312,0.2254
188,5.3379,0.2275
189,5.4581,0.2247
190,5.431,0.2255
191,5.4505,0.2243
192,5.3981,0.2248
193,5.4358,0.2258
194,5.4729,0.2245
195,5.4036,0.2256
196,5.2822,0.2301
197,5.3122,0.2256
198,5.2875,0.226
199,5.3336,0.227
200,5.3517,0.2279
