Round,Aggregated Test Loss,Aggregated Test Acc
1,4.4484,0.0376
2,4.3162,0.0765
3,4.6153,0.1127
4,4.367,0.1407
5,4.2231,0.1472
6,4.1427,0.1717
7,4.3655,0.1491
8,5.0164,0.1111
9,4.4008,0.1084
10,4.5665,0.1313
11,4.5182,0.154
12,4.3587,0.1628
13,4.8259,0.1387
14,4.1184,0.15
15,3.9746,0.1818
16,4.2184,0.1816
17,4.6166,0.1389
18,3.8921,0.1397
19,3.7634,0.1949
20,4.289,0.1791
21,3.8208,0.1978
22,3.8794,0.2052
23,3.8884,0.2138
24,3.6431,0.2018
25,3.9022,0.1971
26,3.8754,0.16
27,3.6421,0.1944
28,3.9503,0.1314
29,3.9514,0.1667
30,3.8268,0.1943
31,3.9559,0.2028
32,4.2114,0.1614
33,3.7102,0.1802
34,3.8348,0.1591
35,3.7223,0.1663
36,3.71,0.195
37,3.806,0.1948
38,3.626,0.1903
39,3.9049,0.1495
40,3.631,0.1984
41,3.8079,0.2124
42,3.795,0.2176
43,3.8644,0.192
44,3.6777,0.2069
45,3.6547,0.2073
46,3.4922,0.2294
47,3.6266,0.2175
48,3.5994,0.2114
49,3.7122,0.173
50,3.7172,0.1978
51,3.5944,0.2103
52,3.5248,0.2272
53,3.6316,0.1948
54,3.5137,0.2228
55,3.7587,0.2106
56,3.5865,0.2311
57,3.5807,0.2388
58,3.6231,0.2251
59,3.5221,0.2375
60,3.681,0.227
61,3.5982,0.2174
62,3.4897,0.2225
63,3.4636,0.2448
64,3.3753,0.2318
65,3.5033,0.2232
66,3.3365,0.2341
67,3.4219,0.2122
68,3.5814,0.1734
69,3.627,0.1693
70,3.8671,0.1292
71,3.6705,0.1642
72,3.4414,0.2018
73,3.3873,0.2054
74,3.4981,0.1983
75,3.6685,0.1981
76,3.5582,0.2235
77,3.6075,0.2271
78,3.6013,0.2322
79,3.7843,0.2228
80,3.5859,0.233
81,3.5644,0.2115
82,3.5222,0.2317
83,3.4344,0.2311
84,3.5206,0.1963
85,3.4789,0.2081
86,3.3347,0.2334
87,3.3422,0.2434
88,3.3374,0.2501
89,3.2718,0.2565
90,3.2593,0.2496
91,3.3494,0.2453
92,3.2708,0.2556
93,3.2171,0.262
94,3.1955,0.2686
95,3.3124,0.263
96,3.2676,0.2722
97,3.3262,0.2664
98,3.2586,0.2703
99,3.3613,0.2544
100,3.4244,0.2395
101,3.3985,0.2387
102,3.3672,0.2415
103,3.3316,0.2468
104,3.423,0.2367
105,3.5013,0.2326
106,3.3748,0.2436
107,3.3136,0.255
108,3.2497,0.2644
109,3.2323,0.2721
110,3.2049,0.2729
111,3.2725,0.2573
112,3.3046,0.2544
113,3.2291,0.2691
114,3.1782,0.2706
115,3.1788,0.2721
116,3.1771,0.28
117,3.1334,0.2709
118,3.0977,0.2773
119,3.0973,0.2844
120,3.0731,0.2881
121,3.1086,0.2833
122,3.1459,0.2847
123,3.1654,0.2726
124,3.1502,0.2793
125,3.2033,0.2671
126,3.1568,0.271
127,3.1193,0.2788
128,3.1463,0.2771
129,3.091,0.2836
130,3.1046,0.2841
131,3.1092,0.279
132,3.0934,0.2761
133,3.1416,0.2746
134,3.1802,0.2718
135,3.1932,0.2598
136,3.1792,0.2578
137,3.1007,0.2663
138,3.1156,0.2627
139,3.1111,0.2598
140,3.1818,0.2478
141,3.1475,0.2588
142,3.1022,0.2667
143,3.1371,0.2685
144,3.1018,0.2678
145,3.0987,0.2767
146,3.1131,0.2755
147,3.1011,0.2704
148,3.1511,0.2689
149,3.1622,0.2624
150,3.1135,0.2732
151,3.0966,0.2716
152,3.0781,0.2705
153,3.0804,0.2619
154,3.0353,0.2727
155,3.0179,0.2761
156,3.0325,0.2732
157,3.0032,0.2771
158,3.0166,0.2744
159,2.9988,0.2787
160,2.9939,0.2842
161,3.0191,0.2814
162,2.9889,0.2914
163,2.9664,0.2951
164,2.9907,0.2848
165,2.9849,0.2899
166,2.989,0.2935
167,2.9864,0.2928
168,3.0177,0.2847
169,3.0011,0.2819
170,2.9841,0.2823
171,2.9786,0.2802
172,2.9588,0.2851
173,2.9453,0.288
174,2.9755,0.2849
175,2.9419,0.2931
176,2.9247,0.2981
177,2.9404,0.2963
178,2.9351,0.293
179,2.9218,0.2978
180,2.9115,0.3003
181,2.907,0.2987
182,2.8898,0.3054
183,2.8878,0.3059
184,2.8968,0.3072
185,2.8955,0.3085
186,2.9095,0.3054
187,2.9191,0.3027
188,2.9058,0.3013
189,2.9026,0.3054
190,2.9068,0.3015
191,2.903,0.3012
192,2.8949,0.3032
193,2.893,0.3047
194,2.8979,0.3065
195,2.8958,0.3077
196,2.9,0.3072
197,2.8913,0.3022
198,2.9019,0.3024
199,2.9107,0.2963
200,2.9076,0.2964
201,2.8998,0.3012
202,2.8946,0.3015
203,2.8934,0.3017
204,2.8901,0.3024
205,2.884,0.3035
206,2.8911,0.3028
207,2.8985,0.2992
208,2.8928,0.3034
209,2.8949,0.3044
210,2.8978,0.3038
211,2.897,0.3004
212,2.8996,0.3017
213,2.8878,0.3045
214,2.8893,0.3003
215,2.8854,0.3018
216,2.879,0.3028
217,2.8791,0.3058
218,2.8828,0.3065
219,2.8855,0.305
220,2.882,0.3055
221,2.8746,0.3111
222,2.8718,0.3098
223,2.8897,0.3084
224,2.8964,0.3113
225,2.8822,0.313
226,2.8776,0.31
227,2.8913,0.307
228,2.8953,0.3051
229,2.8908,0.3067
230,2.8913,0.2999
231,2.9016,0.299
232,2.899,0.3005
233,2.9027,0.2931
234,2.9008,0.296
235,2.8884,0.2992
236,2.8847,0.3025
237,2.8897,0.3035
238,2.9103,0.2976
239,2.9051,0.299
240,2.9071,0.2989
241,2.8952,0.3019
242,2.888,0.2998
243,2.895,0.3016
244,2.8844,0.3059
245,2.8894,0.3008
246,2.898,0.2956
247,2.9105,0.2936
248,2.894,0.2982
249,2.8809,0.2992
250,2.8723,0.3042
251,2.8718,0.3072
252,2.8706,0.3064
253,2.8785,0.3066
254,2.8921,0.3072
255,2.8785,0.3105
256,2.8674,0.3111
257,2.8642,0.3087
258,2.867,0.3079
259,2.8626,0.3093
260,2.8524,0.3092
261,2.8617,0.3111
262,2.8564,0.3135
263,2.8556,0.3153
264,2.8639,0.3148
265,2.8732,0.3149
266,2.8642,0.3165
267,2.8575,0.3175
268,2.8655,0.3149
269,2.8646,0.3154
270,2.8928,0.3123
271,2.8894,0.3125
272,2.8844,0.3134
273,2.8734,0.3139
274,2.8907,0.3097
275,2.9247,0.3011
276,2.9131,0.3064
277,2.9119,0.3096
278,2.9205,0.3078
279,2.9051,0.3076
280,2.9005,0.3088
281,2.9112,0.3032
282,2.9049,0.3052
283,2.9075,0.3055
284,2.9191,0.3004
285,2.907,0.2985
286,2.9047,0.3001
287,2.8992,0.2975
288,2.8919,0.3019
289,2.8893,0.3032
290,2.8959,0.3022
291,2.8976,0.3018
292,2.8873,0.3045
293,2.8809,0.3055
294,2.8827,0.3069
295,2.8854,0.3061
296,2.8792,0.3083
297,2.8817,0.3099
298,2.8917,0.3092
299,2.8832,0.31
300,2.8851,0.3104
