Round,Aggregated Test Loss,Aggregated Test Acc
1,6.5949,0.0175
2,8.0348,0.0305
3,7.0463,0.0346
4,6.3369,0.0452
5,8.432,0.0557
6,7.8169,0.0527
7,6.9678,0.0784
8,7.8343,0.0672
9,9.4449,0.0604
10,9.7854,0.0488
11,9.5818,0.0595
12,9.2842,0.0673
13,8.152,0.0759
14,8.9799,0.0738
15,8.9243,0.0722
16,7.1791,0.0849
17,7.6251,0.0802
18,8.0586,0.0747
19,7.629,0.0943
20,6.7916,0.104
21,7.333,0.0965
22,6.9556,0.103
23,7.7031,0.1018
24,8.1693,0.0977
25,8.0679,0.1038
26,8.4176,0.1022
27,8.4469,0.0971
28,8.1859,0.0992
29,8.4062,0.0929
30,8.492,0.0939
31,8.3142,0.1003
32,8.264,0.0933
33,7.5068,0.1095
34,8.6581,0.098
35,8.2821,0.1063
36,7.2203,0.1168
37,7.4372,0.1127
38,8.3218,0.0947
39,7.6394,0.1091
40,8.8478,0.0918
41,8.9955,0.0925
42,7.506,0.1105
43,6.8994,0.12
44,6.732,0.1208
45,6.9591,0.1147
46,7.2458,0.1175
47,6.565,0.1259
48,7.7136,0.0971
49,7.265,0.1072
50,6.5435,0.1174
51,7.2884,0.1069
52,7.4413,0.1075
53,6.8601,0.1161
54,7.0926,0.1171
55,7.5348,0.1093
56,7.5498,0.1027
57,8.4394,0.0983
58,8.2845,0.1023
59,7.7706,0.1077
60,7.6188,0.1133
61,7.5177,0.1076
62,7.6039,0.1097
63,6.2681,0.1315
64,6.6783,0.1268
65,6.7102,0.1281
66,6.6078,0.1325
67,6.0646,0.1414
68,6.4021,0.1354
69,6.1615,0.1441
70,6.3043,0.1418
71,6.235,0.146
72,6.887,0.1224
73,6.3448,0.1285
74,6.3387,0.1372
75,6.1089,0.1427
76,6.0333,0.1441
77,5.9834,0.1453
78,5.6739,0.1554
79,5.8131,0.1559
80,5.7862,0.155
81,5.7007,0.1576
82,5.8349,0.1531
83,6.0058,0.1496
84,6.2758,0.143
85,7.0929,0.124
86,7.2102,0.1232
87,6.2298,0.1412
88,6.256,0.141
89,6.8233,0.1277
90,6.4764,0.1369
91,5.9102,0.1497
92,6.2688,0.1455
93,6.3152,0.1454
94,6.2878,0.1482
95,5.906,0.1456
96,5.7886,0.1523
97,5.8833,0.153
98,5.7705,0.1541
99,5.9139,0.1478
100,5.7785,0.1552
101,6.0695,0.1516
102,5.8819,0.1559
103,5.9324,0.1559
104,5.8211,0.156
105,5.6545,0.1579
106,5.7211,0.1618
107,5.6813,0.1582
108,5.5464,0.1629
109,5.9878,0.1472
110,5.9991,0.1512
111,5.8749,0.1559
112,5.8381,0.1575
113,5.527,0.1639
114,5.6084,0.1647
115,5.5143,0.167
116,5.5317,0.1689
117,5.5722,0.1721
118,5.38,0.1764
119,5.4773,0.1675
120,5.4304,0.174
121,5.2831,0.1735
122,5.4629,0.1658
123,5.5494,0.1587
124,5.5316,0.1624
125,5.2975,0.1732
126,5.4697,0.1698
127,5.6624,0.1597
128,5.6528,0.1626
129,5.5777,0.1642
130,5.6405,0.1624
131,5.6159,0.1692
132,5.6355,0.1713
133,5.6825,0.1718
134,5.6232,0.1728
135,5.3893,0.1775
136,5.349,0.1797
137,5.2641,0.1843
138,5.267,0.1806
139,5.1974,0.1762
140,5.3922,0.177
141,5.5024,0.1737
142,5.5339,0.1758
143,5.4991,0.1784
144,5.7729,0.1712
145,5.6215,0.1706
146,5.6411,0.1694
147,5.8289,0.1656
148,6.086,0.1614
149,6.1402,0.1595
150,6.2101,0.1582
151,6.4303,0.1535
152,6.0358,0.163
153,5.9176,0.1663
154,5.5418,0.1705
155,5.3112,0.1771
156,5.5509,0.1733
157,5.6344,0.17
158,5.4213,0.1746
159,5.4555,0.1747
160,5.2503,0.1793
161,5.3071,0.1795
162,5.1761,0.1806
163,5.2277,0.1798
164,5.2077,0.1831
165,5.2098,0.1847
166,5.3315,0.181
167,5.52,0.1772
168,5.4969,0.1722
169,5.4786,0.1724
170,5.5911,0.1725
171,5.4186,0.175
172,5.3991,0.1759
173,5.2583,0.1841
174,5.2596,0.1823
175,5.3991,0.1799
176,5.2875,0.1828
177,5.3178,0.184
178,5.3019,0.1855
179,5.2478,0.1856
180,5.2106,0.1869
181,5.1331,0.1896
182,5.1625,0.1877
183,5.2509,0.1844
184,5.3328,0.1817
185,5.3234,0.182
186,5.3584,0.1822
187,5.4069,0.1813
188,5.3252,0.1833
189,5.3896,0.185
190,5.3862,0.1884
191,5.4147,0.1887
192,5.3423,0.1894
193,5.3545,0.1896
194,5.3089,0.1894
195,5.3567,0.1915
196,5.2477,0.1922
197,5.2147,0.1928
198,5.2075,0.1943
199,5.2261,0.1951
200,5.2565,0.1925
