Round,Aggregated Test Loss,Aggregated Test Acc
1,2.2944,0.1092
2,2.2245,0.2131
3,2.3103,0.2002
4,2.1415,0.1746
5,2.1207,0.2067
6,2.1647,0.2227
7,2.1122,0.2304
8,2.1338,0.2436
9,2.0927,0.2377
10,2.0912,0.253
11,1.9737,0.2667
12,2.1817,0.2719
13,2.0324,0.2345
14,1.9568,0.2531
15,1.8573,0.332
16,1.9799,0.2863
17,1.8716,0.3109
18,1.8291,0.308
19,1.7761,0.3536
20,1.7828,0.3457
21,1.8533,0.2769
22,1.9397,0.2408
23,1.8155,0.3033
24,1.7852,0.34
25,1.7348,0.368
26,1.7193,0.3545
27,1.7234,0.3589
28,1.7381,0.3492
29,1.6646,0.3582
30,1.6882,0.3665
31,1.7168,0.3499
32,1.6855,0.357
