Round,Aggregated Test Loss,Aggregated Test Acc
1,5.202,0.0481
2,5.2057,0.1426
3,5.5927,0.1807
4,5.6912,0.2029
5,5.8081,0.2116
6,5.8881,0.2094
7,6.1118,0.2133
8,5.9833,0.2262
9,6.0012,0.2287
10,5.9476,0.2289
11,5.9362,0.2294
12,5.9528,0.2338
13,5.8749,0.2379
14,5.9121,0.2385
15,5.8228,0.2292
16,5.8231,0.2363
17,5.8919,0.2335
18,5.6452,0.2407
19,5.7053,0.2434
20,5.8665,0.2345
21,5.8399,0.2337
22,5.7961,0.2404
23,5.64,0.2397
24,5.6239,0.2408
25,5.7263,0.2386
26,5.4776,0.2482
27,5.4621,0.2449
28,5.6608,0.2396
29,5.6074,0.2473
30,5.5516,0.2489
31,5.6706,0.2416
32,5.7616,0.2378
33,5.4438,0.2509
34,5.585,0.2423
35,5.4915,0.246
36,5.4748,0.2472
37,5.4172,0.2436
38,5.4148,0.243
39,5.4508,0.2423
40,5.5346,0.243
41,5.4259,0.243
42,5.4643,0.2417
43,5.4838,0.2434
44,5.4546,0.242
45,5.3512,0.2388
46,5.3866,0.2488
47,5.3851,0.2448
48,5.5275,0.2458
49,5.3967,0.2476
50,5.4754,0.2412
51,5.4578,0.2456
52,5.4912,0.2394
53,5.3927,0.2427
54,5.4229,0.243
55,5.3836,0.246
56,5.286,0.2469
57,5.2314,0.2497
58,5.2572,0.2455
59,5.3306,0.2462
60,5.283,0.2428
61,5.3985,0.243
62,5.3674,0.2408
63,5.4041,0.2404
64,5.2983,0.2396
65,5.3612,0.2363
66,5.24,0.2438
67,5.3888,0.2353
68,5.407,0.2359
69,5.418,0.2353
70,5.3659,0.2333
71,5.2505,0.233
72,5.3715,0.2312
73,5.4107,0.2285
74,5.6215,0.231
75,5.4133,0.2361
76,5.4141,0.2336
77,5.5793,0.2309
78,5.5759,0.2335
79,5.5736,0.2357
80,5.6381,0.2351
81,5.607,0.2332
82,5.5286,0.2312
83,5.7146,0.2317
84,5.6111,0.2294
85,5.4903,0.2327
86,5.5341,0.2317
87,5.6111,0.2275
88,5.5887,0.2284
89,5.5652,0.2344
90,5.5969,0.2385
91,5.5248,0.2326
92,5.7482,0.2326
93,5.489,0.2369
94,5.7158,0.228
95,5.5355,0.236
96,5.5773,0.2338
97,5.4149,0.2394
98,5.5357,0.2283
99,5.6473,0.2371
100,5.4808,0.2341
101,5.5813,0.2363
102,5.6135,0.2344
103,5.7127,0.2419
104,5.8847,0.2293
105,5.8628,0.231
106,5.7558,0.233
107,5.7066,0.236
108,5.6181,0.238
109,5.5517,0.2395
110,5.7205,0.2289
111,5.6675,0.2362
112,5.6419,0.2334
113,5.7913,0.2327
114,5.5082,0.2384
115,5.6419,0.2354
116,5.6714,0.2367
117,5.7908,0.2287
118,5.6046,0.2332
119,5.6397,0.2365
120,5.5923,0.2393
121,5.7248,0.2327
122,5.5696,0.2359
123,5.6067,0.2416
124,5.5732,0.2359
125,5.6128,0.2375
126,5.6598,0.2314
127,5.7108,0.2356
128,5.7175,0.2422
129,5.5773,0.2374
130,5.5832,0.2374
131,5.7877,0.2318
132,5.5183,0.2356
133,5.7394,0.2384
134,5.6197,0.2396
135,5.6136,0.2329
136,5.7974,0.2341
137,5.5851,0.2368
138,5.7235,0.2348
139,5.6682,0.2321
140,5.617,0.2384
141,5.6954,0.2413
142,5.7375,0.2349
143,5.6513,0.2325
144,5.6946,0.2262
145,5.6419,0.2282
146,5.861,0.2308
147,5.7144,0.242
148,5.6549,0.2369
149,5.7261,0.2335
150,5.663,0.2382
151,5.7339,0.2359
152,5.4812,0.24
153,5.7501,0.2336
154,5.6872,0.2327
155,5.7166,0.2339
156,5.6861,0.2359
157,5.7665,0.2283
158,5.6195,0.2412
159,5.7661,0.2383
160,5.6241,0.242
161,5.8718,0.2415
162,5.5845,0.2423
163,5.7989,0.2373
164,5.7289,0.2325
165,5.7512,0.2391
166,5.6164,0.2358
167,5.7105,0.2354
168,5.684,0.2343
169,5.5737,0.239
170,5.7231,0.2407
171,5.651,0.2382
172,5.6921,0.2371
173,5.6484,0.2361
174,5.7114,0.236
175,5.6981,0.2293
176,5.648,0.24
177,5.7722,0.2292
178,5.5811,0.2392
179,5.7935,0.2243
180,5.5498,0.2394
181,5.457,0.2423
182,5.4856,0.2342
183,5.7101,0.2394
184,5.5887,0.2417
185,5.7466,0.2346
186,5.4799,0.2426
187,5.7038,0.2322
188,5.6176,0.2371
189,5.6778,0.2417
190,5.624,0.2396
191,5.6322,0.2328
192,5.6641,0.2374
193,5.7307,0.2396
194,5.6936,0.2375
195,5.606,0.2462
196,5.6716,0.2422
197,5.7045,0.2358
198,5.6561,0.2363
199,5.7829,0.2372
200,5.5758,0.2425
201,5.451,0.247
202,5.5124,0.2488
203,5.6315,0.2381
204,5.6074,0.2408
205,5.632,0.2296
206,5.507,0.2409
207,5.629,0.2378
208,5.6545,0.2339
209,5.6832,0.2386
210,5.7344,0.2388
