Round,Aggregated Test Loss,Aggregated Test Acc
1,4.7533,0.0427
2,4.6427,0.074
3,4.9657,0.0931
4,4.9432,0.1011
5,4.8254,0.1025
6,4.9528,0.1079
7,4.8483,0.1252
8,4.5623,0.1324
9,4.575,0.1463
10,4.4098,0.1526
11,4.4924,0.1554
12,4.2859,0.1619
13,4.2688,0.1594
14,4.2259,0.1654
15,4.4077,0.1722
16,4.2625,0.1744
17,4.3591,0.1751
18,4.1182,0.1769
19,4.1822,0.1796
20,4.1462,0.1802
21,4.1444,0.1844
22,4.0557,0.1864
23,4.2527,0.1894
24,4.1629,0.1914
25,4.2096,0.1907
26,4.1651,0.1883
27,4.1549,0.1863
28,4.1201,0.1936
29,3.9028,0.2014
30,4.0267,0.2011
31,3.9924,0.2009
32,3.9634,0.1942
33,4.0286,0.2021
34,3.905,0.2064
35,3.9514,0.2024
36,3.9987,0.2044
37,3.9867,0.2068
38,3.9888,0.2017
39,3.9087,0.2024
40,3.8088,0.2099
41,3.8175,0.2089
42,3.8061,0.2122
43,3.852,0.2125
44,3.9239,0.2144
45,3.8758,0.2168
46,3.8727,0.2093
47,3.8361,0.208
48,3.8222,0.2131
49,3.8877,0.2138
50,3.8608,0.2119
51,3.8817,0.2089
52,3.8958,0.2113
53,3.8084,0.2096
54,3.7549,0.2154
55,3.8192,0.2128
56,3.7791,0.2158
57,3.7755,0.2154
58,3.746,0.2154
59,3.7554,0.2204
60,3.7637,0.224
61,3.6991,0.2246
62,3.7512,0.2237
63,3.7655,0.2188
64,3.7237,0.2182
65,3.722,0.2182
66,3.7037,0.2211
67,3.6394,0.2261
68,3.7072,0.2209
69,3.7193,0.227
70,3.7305,0.2202
71,3.7359,0.222
72,3.6963,0.2236
73,3.6705,0.2279
74,3.6553,0.2295
75,3.686,0.2315
76,3.678,0.2272
77,3.6534,0.2302
78,3.6626,0.2274
79,3.6868,0.2274
80,3.6896,0.2287
81,3.6434,0.2317
82,3.6503,0.2284
83,3.6424,0.2362
84,3.6496,0.2326
85,3.6668,0.2291
86,3.6555,0.227
87,3.6359,0.231
88,3.6623,0.2331
89,3.6934,0.2324
90,3.6325,0.2347
91,3.5984,0.2359
92,3.6226,0.234
93,3.6267,0.2333
94,3.6183,0.2338
95,3.5958,0.234
96,3.6027,0.2338
97,3.6205,0.2355
98,3.6089,0.2363
99,3.6007,0.238
100,3.6291,0.2392
101,3.6539,0.2381
102,3.6105,0.2368
103,3.5852,0.2371
104,3.5849,0.2368
105,3.5857,0.2354
106,3.572,0.2367
107,3.568,0.2347
108,3.578,0.2344
109,3.611,0.2351
110,3.6099,0.2338
111,3.5981,0.2314
112,3.5935,0.231
113,3.5867,0.2306
114,3.5934,0.2315
115,3.6053,0.2324
116,3.5976,0.2323
117,3.5986,0.2334
118,3.5812,0.2364
119,3.5923,0.2359
120,3.5942,0.2362
121,3.5947,0.2354
122,3.5988,0.2348
123,3.5871,0.2381
124,3.6038,0.2338
125,3.6105,0.2348
126,3.5761,0.234
127,3.587,0.2333
128,3.5608,0.2352
129,3.5581,0.2364
130,3.5631,0.2335
131,3.5468,0.236
132,3.5731,0.2348
133,3.598,0.2352
134,3.6016,0.2322
135,3.5726,0.2333
136,3.5644,0.2346
137,3.5735,0.2366
138,3.5458,0.237
139,3.5437,0.2395
140,3.538,0.2395
141,3.544,0.2357
142,3.5455,0.2364
143,3.5433,0.2374
144,3.546,0.234
145,3.5609,0.2332
146,3.5476,0.235
147,3.558,0.2321
148,3.5475,0.2353
149,3.5513,0.2342
150,3.5642,0.2314
151,3.5603,0.2309
152,3.5585,0.2304
153,3.5595,0.2323
154,3.5581,0.2313
155,3.5442,0.2354
156,3.5479,0.2343
157,3.5313,0.2358
158,3.537,0.2335
159,3.5404,0.2335
160,3.5397,0.2346
161,3.5377,0.2341
162,3.5333,0.2352
163,3.5421,0.2336
164,3.5257,0.236
165,3.5267,0.2362
166,3.5441,0.2328
167,3.5445,0.2339
168,3.5264,0.2346
169,3.5258,0.2359
170,3.5184,0.2352
171,3.5374,0.2346
172,3.5323,0.2366
173,3.5335,0.2366
174,3.5275,0.2369
175,3.5372,0.2367
176,3.5345,0.2398
177,3.5521,0.2361
178,3.5472,0.2364
179,3.5491,0.2374
180,3.546,0.2355
181,3.541,0.236
182,3.5363,0.235
183,3.524,0.2391
184,3.5217,0.2394
185,3.5238,0.2366
186,3.5406,0.2355
187,3.5362,0.2354
188,3.5286,0.2353
189,3.5273,0.2332
190,3.527,0.2343
191,3.5229,0.2382
192,3.5269,0.2377
193,3.526,0.2389
194,3.5272,0.2376
195,3.5319,0.2385
196,3.5327,0.2392
197,3.5365,0.2378
198,3.546,0.2393
199,3.5377,0.2394
200,3.5309,0.2394
201,3.5348,0.2368
202,3.5322,0.2371
203,3.5274,0.2376
204,3.5205,0.2392
205,3.5238,0.2391
206,3.5264,0.2395
207,3.5223,0.2387
208,3.5242,0.2377
209,3.517,0.239
210,3.5214,0.2389
211,3.5158,0.2416
212,3.5245,0.2398
213,3.5176,0.241
214,3.5141,0.2413
215,3.5224,0.2398
216,3.5221,0.2374
217,3.5197,0.2378
218,3.5209,0.2397
219,3.5324,0.2359
220,3.5297,0.2372
221,3.5295,0.2382
222,3.5211,0.239
223,3.5222,0.24
224,3.5212,0.238
225,3.5207,0.2372
226,3.5213,0.2381
227,3.5166,0.2378
228,3.512,0.2406
229,3.5137,0.2401
230,3.5145,0.2408
231,3.5147,0.2397
232,3.517,0.24
233,3.514,0.2414
234,3.5139,0.242
235,3.5187,0.2412
236,3.5205,0.2397
