Round,Aggregated Test Loss,Aggregated Test Acc
1,2.293,0.1154
2,2.2541,0.1784
3,2.1632,0.2185
4,2.1047,0.2417
5,2.082,0.2025
6,1.9869,0.298
7,1.9899,0.2602
8,1.928,0.2912
9,1.9993,0.2394
10,1.9977,0.2324
11,1.8954,0.3115
12,2.0393,0.2677
13,1.9738,0.2714
14,1.9413,0.2691
15,1.8232,0.3458
16,1.7386,0.3712
17,1.9215,0.3212
18,1.7662,0.3517
19,1.8049,0.3316
20,1.761,0.3634
21,1.8883,0.2961
22,1.7088,0.351
23,1.7285,0.3479
24,1.6916,0.376
25,1.6892,0.3414
26,1.6963,0.3716
27,1.6905,0.3798
28,1.6497,0.3827
29,1.6328,0.3858
30,1.6438,0.4013
31,1.5736,0.4232
32,1.5524,0.4288
33,1.5804,0.4093
34,1.6349,0.3844
35,1.6021,0.4026
36,1.5521,0.4179
37,1.5774,0.398
38,1.6167,0.404
39,1.602,0.4155
40,1.629,0.4085
41,1.7037,0.3948
42,1.5291,0.4468
43,1.5071,0.4455
44,1.5342,0.4531
45,1.5511,0.4135
46,1.5714,0.403
47,1.496,0.4437
48,1.5389,0.438
49,1.5642,0.4409
50,1.5813,0.4161
51,1.5362,0.4463
52,1.4988,0.4456
53,1.5223,0.4336
54,1.4754,0.4563
55,1.4699,0.463
56,1.4424,0.4774
57,1.4633,0.4734
58,1.4989,0.4596
59,1.5133,0.4427
60,1.5251,0.424
61,1.4956,0.4488
62,1.4737,0.4482
63,1.47,0.4476
64,1.4903,0.4344
65,1.425,0.4779
66,1.4148,0.498
67,1.4167,0.4929
68,1.4088,0.482
69,1.4846,0.4493
70,1.4032,0.4992
71,1.4163,0.4833
72,1.4202,0.4816
73,1.4312,0.4758
74,1.4428,0.4714
75,1.4071,0.4949
76,1.3902,0.5174
77,1.3828,0.5102
78,1.3915,0.4867
79,1.4079,0.501
80,1.3856,0.5013
81,1.391,0.5009
82,1.4005,0.4894
83,1.3751,0.4913
84,1.3517,0.5085
85,1.3834,0.4925
86,1.3811,0.5088
87,1.395,0.5005
88,1.3766,0.5135
89,1.3475,0.5096
90,1.3522,0.5156
91,1.3434,0.518
92,1.3406,0.5094
93,1.3422,0.5108
94,1.3494,0.5153
95,1.3695,0.5028
96,1.3444,0.5082
97,1.367,0.5092
98,1.3267,0.524
99,1.3438,0.5139
100,1.3352,0.525
101,1.3549,0.513
102,1.3675,0.5045
103,1.3302,0.5181
104,1.3339,0.5159
105,1.3264,0.5109
106,1.3151,0.5227
107,1.3151,0.53
108,1.3026,0.5367
109,1.3337,0.5113
110,1.35,0.5037
111,1.3119,0.5262
112,1.3477,0.5042
113,1.344,0.5061
114,1.3154,0.5339
115,1.3279,0.524
116,1.3432,0.5096
117,1.3255,0.5173
118,1.3417,0.5068
119,1.3191,0.5239
120,1.3432,0.5176
121,1.3104,0.5337
122,1.3073,0.5237
123,1.3075,0.5297
124,1.2955,0.5329
125,1.3399,0.5112
126,1.3364,0.5002
127,1.3216,0.5067
128,1.2995,0.5275
129,1.2933,0.5306
130,1.2892,0.5338
131,1.2837,0.5453
132,1.276,0.5475
133,1.2962,0.5323
134,1.2868,0.5353
135,1.3125,0.5327
136,1.3176,0.5295
137,1.2956,0.5418
138,1.3062,0.5281
