Round,Aggregated Test Loss,Aggregated Test Acc
1,2.3784,0.1178
2,2.245,0.1924
3,2.1988,0.1964
4,2.1448,0.1729
5,2.0804,0.2378
6,2.077,0.2625
7,2.0643,0.2645
8,2.0849,0.2819
9,2.1605,0.2478
10,1.9016,0.3041
11,1.8422,0.3364
12,2.0525,0.3308
13,1.8442,0.3136
14,1.7616,0.315
15,1.6849,0.3812
16,1.8974,0.3297
17,1.7606,0.355
18,1.8279,0.3393
19,1.6157,0.4201
20,1.726,0.3512
21,1.6787,0.3788
22,1.7332,0.3481
23,1.7549,0.3517
24,1.5742,0.4152
25,1.6279,0.4033
26,1.6696,0.3869
27,1.544,0.4336
28,1.5495,0.437
29,1.5851,0.4041
30,1.6178,0.4081
31,1.5524,0.4222
32,1.5083,0.4353
33,1.6238,0.3693
34,1.4298,0.4798
35,1.4853,0.4621
36,1.5402,0.448
37,1.511,0.4713
38,1.5083,0.4231
39,1.4637,0.4674
40,1.4708,0.4714
41,1.4534,0.4765
42,1.4621,0.4682
43,1.4326,0.484
44,1.3928,0.4983
45,1.5718,0.4276
46,1.3975,0.4937
47,1.4343,0.4558
48,1.5929,0.4157
49,1.582,0.417
50,1.3793,0.4911
51,1.3449,0.5152
52,1.3912,0.4948
53,1.5094,0.4677
54,1.415,0.4809
55,1.379,0.4945
56,1.3593,0.5215
57,1.3272,0.5268
58,1.3342,0.513
59,1.3767,0.5045
60,1.4181,0.4976
61,1.3443,0.4985
62,1.4084,0.4709
63,1.3489,0.5004
64,1.3602,0.5205
65,1.3864,0.4941
66,1.3566,0.5135
67,1.2998,0.5297
68,1.2768,0.5414
69,1.3041,0.5393
70,1.3278,0.5255
71,1.2628,0.5478
72,1.3181,0.5343
73,1.3193,0.5268
74,1.2861,0.5327
75,1.3225,0.5248
76,1.2652,0.5466
77,1.307,0.5258
78,1.2892,0.5268
79,1.2825,0.5366
80,1.2989,0.5327
81,1.2708,0.5451
82,1.3051,0.544
83,1.2839,0.5455
84,1.2848,0.5507
85,1.2563,0.5538
86,1.2442,0.5546
87,1.2726,0.5339
88,1.2451,0.5495
89,1.21,0.5665
90,1.2313,0.5576
91,1.2569,0.5495
92,1.2326,0.5595
93,1.2305,0.5579
94,1.2734,0.5448
95,1.255,0.5496
96,1.2344,0.5599
97,1.252,0.5472
98,1.2691,0.5325
99,1.2399,0.5536
100,1.2568,0.5439
101,1.2304,0.5589
102,1.2228,0.5623
103,1.2598,0.5401
104,1.216,0.5733
105,1.2084,0.5747
106,1.2353,0.5627
107,1.2168,0.5636
108,1.194,0.5774
109,1.1824,0.5835
110,1.1817,0.582
111,1.1839,0.5838
112,1.1996,0.5787
113,1.1799,0.587
114,1.1979,0.5721
115,1.2084,0.5675
116,1.2003,0.5763
117,1.1791,0.58
118,1.1781,0.5825
119,1.1703,0.583
120,1.176,0.5857
121,1.19,0.5767
122,1.1905,0.576
123,1.2008,0.5665
124,1.1829,0.5806
125,1.195,0.5775
126,1.2048,0.5745
127,1.2414,0.5574
128,1.2264,0.5698
129,1.2033,0.5786
130,1.2127,0.5762
131,1.1861,0.5842
132,1.1781,0.5848
133,1.1584,0.5918
134,1.1554,0.5953
135,1.168,0.5876
136,1.1535,0.5949
137,1.151,0.5931
138,1.1658,0.5945
139,1.1687,0.59
140,1.1588,0.5911
