Round,Aggregated Test Loss,Aggregated Test Acc
1,2.5402,0.1218
2,2.3391,0.1016
3,2.1601,0.1894
4,2.1174,0.2365
5,2.0138,0.2547
6,2.0389,0.2657
7,2.0104,0.2383
8,1.9874,0.2154
9,2.0222,0.2467
10,1.9694,0.2634
11,1.8415,0.3392
12,2.0416,0.3094
13,1.7658,0.3404
14,1.8657,0.3289
15,2.0731,0.3646
16,1.8209,0.3641
17,1.8332,0.3565
18,2.0232,0.3253
19,1.6862,0.4013
20,1.8655,0.3749
21,1.7653,0.3932
22,1.6618,0.4067
23,1.6234,0.4051
24,1.6669,0.3975
25,1.5799,0.4273
26,1.6415,0.4107
27,1.5056,0.4457
28,1.5175,0.4561
29,1.5064,0.4463
30,1.9469,0.3848
31,1.7014,0.385
32,1.9672,0.4018
33,1.9823,0.3979
34,1.6014,0.4333
35,1.8842,0.3763
36,1.74,0.3915
37,1.7617,0.3855
38,1.431,0.4798
39,1.4958,0.4606
40,1.5098,0.4577
41,1.542,0.4528
42,1.4306,0.475
43,1.4608,0.4606
44,1.4576,0.4636
45,1.3914,0.4945
46,1.6709,0.4063
47,1.4559,0.465
48,1.587,0.4064
49,1.5404,0.444
50,1.5215,0.4391
51,1.7941,0.4028
52,1.5824,0.4478
53,1.5533,0.4512
54,1.5265,0.4592
55,1.5224,0.4766
56,1.5489,0.4572
57,1.5093,0.4628
58,1.4663,0.478
59,1.5707,0.4575
60,1.6313,0.4588
61,1.8809,0.4341
62,1.917,0.4339
63,1.8261,0.4338
64,1.4952,0.4802
65,1.4677,0.4823
66,1.4243,0.494
67,1.5738,0.4613
68,1.684,0.448
69,1.7014,0.4473
70,1.6182,0.4475
71,1.6489,0.4412
72,1.6322,0.4511
73,1.682,0.4447
74,1.6224,0.4585
75,1.8192,0.4455
76,1.7375,0.4273
77,1.7466,0.4246
78,1.6511,0.4417
79,1.5819,0.4565
80,1.5078,0.4636
81,1.5276,0.4538
82,1.4187,0.4919
83,1.4248,0.4879
84,1.3906,0.4969
85,1.3821,0.4965
86,1.4024,0.5075
87,1.6015,0.4764
88,1.6202,0.4733
89,1.3816,0.5233
90,1.3307,0.5331
91,1.3703,0.5246
92,1.3581,0.5166
93,1.3259,0.5311
94,1.2906,0.5466
95,1.3062,0.5397
96,1.316,0.5371
97,1.2975,0.5403
98,1.2755,0.5487
99,1.3724,0.5293
100,1.3759,0.5344
101,1.334,0.5424
102,1.3246,0.5447
103,1.3155,0.5465
104,1.254,0.5549
105,1.2318,0.5618
106,1.2303,0.5635
107,1.2349,0.5551
108,1.271,0.5475
109,1.2821,0.544
110,1.4549,0.5178
111,1.4019,0.5199
112,1.423,0.5073
113,1.3727,0.5206
114,1.4049,0.5147
115,1.4102,0.5146
116,1.2757,0.5462
117,1.2789,0.5493
118,1.2504,0.5617
119,1.2437,0.5534
120,1.2369,0.5647
121,1.2204,0.5663
122,1.2181,0.5633
123,1.2566,0.5555
124,1.1933,0.5775
125,1.2253,0.5635
126,1.2187,0.5669
127,1.3053,0.5396
128,1.2547,0.5538
129,1.2416,0.5562
130,1.279,0.5456
131,1.2394,0.5585
132,1.244,0.5529
133,1.2164,0.5661
134,1.2227,0.5648
135,1.2511,0.5491
136,1.2524,0.5532
137,1.2467,0.5548
138,1.242,0.5558
139,1.231,0.5606
140,1.2342,0.5578
141,1.236,0.5604
142,1.2337,0.5646
143,1.3039,0.5486
144,1.3244,0.5449
145,1.2608,0.5655
146,1.2559,0.5698
147,1.255,0.5698
148,1.255,0.5702
149,1.2425,0.5686
150,1.2844,0.5616
151,1.2718,0.561
152,1.2224,0.5765
153,1.2299,0.5762
154,1.2106,0.5815
155,1.2123,0.5776
156,1.2543,0.5614
157,1.2515,0.5659
158,1.2279,0.5742
159,1.2125,0.5778
160,1.219,0.5758
161,1.1967,0.5863
162,1.1794,0.5903
163,1.177,0.5947
164,1.2242,0.5768
165,1.2894,0.5654
166,1.256,0.5732
167,1.268,0.567
168,1.316,0.5566
169,1.3248,0.5486
170,1.3291,0.5448
171,1.3195,0.546
172,1.3199,0.5439
173,1.3044,0.5485
174,1.2993,0.5509
175,1.2865,0.5527
176,1.2745,0.5533
177,1.2639,0.5584
178,1.2153,0.5739
179,1.2121,0.5759
180,1.1899,0.5842
181,1.1921,0.583
182,1.2075,0.5768
183,1.1984,0.5809
184,1.1899,0.5839
185,1.2032,0.5799
186,1.1916,0.5819
187,1.2144,0.5789
188,1.2174,0.578
189,1.2211,0.5763
190,1.2129,0.5798
191,1.1976,0.5855
192,1.1868,0.5881
193,1.1834,0.5895
194,1.1844,0.5899
195,1.1658,0.5976
196,1.1838,0.5877
197,1.1779,0.5871
198,1.1675,0.592
199,1.1662,0.5928
200,1.1525,0.594
201,1.1491,0.5974
202,1.1539,0.5955
203,1.1553,0.5939
204,1.155,0.5954
205,1.1553,0.5956
206,1.1515,0.5992
207,1.1391,0.6019
208,1.1397,0.602
209,1.1417,0.602
210,1.1544,0.6009
211,1.1516,0.5995
212,1.132,0.6038
213,1.1321,0.6024
214,1.1387,0.6022
215,1.133,0.603
216,1.137,0.5998
217,1.1433,0.6014
218,1.1564,0.5981
219,1.1442,0.6042
220,1.1447,0.6035
221,1.1441,0.6023
222,1.1466,0.6032
223,1.1426,0.6027
224,1.131,0.6085
225,1.133,0.6084
226,1.1369,0.6077
227,1.1377,0.6077
228,1.145,0.6034
229,1.145,0.5999
230,1.1488,0.5974
231,1.1673,0.5909
232,1.1724,0.5887
233,1.1778,0.5898
234,1.1861,0.5859
235,1.1683,0.5924
236,1.1747,0.5884
237,1.1666,0.5921
238,1.1666,0.592
239,1.167,0.5936
240,1.1569,0.5994
241,1.1519,0.5987
242,1.139,0.6009
243,1.1362,0.6012
244,1.1452,0.5941
245,1.1344,0.6023
246,1.1392,0.6045
247,1.1311,0.6043
248,1.1366,0.6043
249,1.129,0.6039
250,1.1209,0.6109
251,1.1222,0.6095
252,1.1162,0.6094
253,1.1201,0.6081
254,1.1153,0.6105
255,1.1111,0.6112
256,1.117,0.6097
257,1.11,0.6124
258,1.1075,0.6117
259,1.1002,0.616
260,1.1049,0.6154
261,1.1056,0.615
262,1.0925,0.6197
263,1.0974,0.6182
264,1.0955,0.6168
265,1.0963,0.6154
266,1.0959,0.6169
267,1.1018,0.6114
268,1.1025,0.6089
269,1.1025,0.6102
270,1.1033,0.6107
271,1.0965,0.6144
272,1.0969,0.6145
273,1.0966,0.6146
274,1.1045,0.6136
275,1.1138,0.6112
276,1.1154,0.6092
277,1.1222,0.6066
278,1.1273,0.6065
279,1.1337,0.6069
280,1.1399,0.6033
281,1.1485,0.6026
282,1.1524,0.6048
283,1.1767,0.5974
284,1.1951,0.5921
285,1.186,0.5942
286,1.1895,0.5937
287,1.1683,0.599
