Round,Aggregated Test Loss,Aggregated Test Acc
1,4.4982,0.0455
2,4.4675,0.0626
3,5.4408,0.0653
4,4.9301,0.06
5,4.9009,0.0748
6,5.188,0.069
7,4.4455,0.1126
8,4.8095,0.1086
9,4.6978,0.1119
10,4.4037,0.1239
11,4.4506,0.1385
12,3.673,0.1655
13,4.0084,0.153
14,3.958,0.1545
15,4.0056,0.1583
16,3.8097,0.1374
17,3.7207,0.1473
18,3.5441,0.1859
19,3.5809,0.1796
20,3.9645,0.1702
21,4.5832,0.167
22,3.6441,0.2065
23,4.8661,0.1884
24,5.7832,0.1584
25,4.4648,0.1846
26,4.3239,0.1833
27,3.8849,0.1909
28,5.0165,0.188
29,4.74,0.1803
30,4.1125,0.1949
31,4.8175,0.1737
32,6.1341,0.1476
33,5.5904,0.1712
34,5.7132,0.1671
35,5.7192,0.1664
36,5.5291,0.1712
37,5.2453,0.1822
38,5.2214,0.1864
39,5.3541,0.1815
40,4.9393,0.1809
41,4.7021,0.1863
42,5.5686,0.1807
43,7.0753,0.1668
44,7.151,0.1691
45,7.0954,0.1635
46,7.1776,0.1587
47,7.108,0.1467
48,7.0521,0.1583
49,5.3545,0.1863
50,5.7281,0.1776
51,6.0173,0.1773
52,6.1427,0.1758
53,5.5325,0.1903
54,5.531,0.1905
55,5.5697,0.1954
56,5.5375,0.1899
57,6.7579,0.1752
58,7.0163,0.1732
59,8.1887,0.159
60,8.8554,0.1496
61,8.9589,0.151
62,9.2575,0.1492
63,6.4452,0.1741
64,6.3845,0.1698
65,5.3363,0.1958
66,5.4851,0.1854
67,5.7016,0.1821
68,6.1827,0.1688
69,6.6681,0.1598
70,7.2925,0.1485
71,7.4328,0.145
72,6.1029,0.1704
73,6.3332,0.1677
74,5.5925,0.1869
75,5.9184,0.1755
76,6.0617,0.1746
77,6.4092,0.1651
78,5.5896,0.1801
79,6.5389,0.1681
80,6.2631,0.1762
81,5.836,0.1796
82,6.1316,0.1707
83,6.2417,0.1705
84,5.4107,0.1889
85,5.3967,0.1889
86,5.1166,0.2064
87,5.4845,0.1927
88,5.4807,0.1932
89,5.8826,0.1853
90,6.3571,0.1729
91,6.5518,0.1684
92,6.1142,0.1754
93,6.4658,0.1655
94,6.3833,0.1675
95,6.3951,0.1677
96,6.405,0.1728
97,6.5136,0.17
98,6.1294,0.1749
99,6.3082,0.1756
100,7.0092,0.1663
101,7.839,0.156
102,7.0393,0.1666
103,6.8489,0.1652
104,6.8794,0.1656
105,7.1318,0.1618
106,7.5196,0.1528
107,7.803,0.147
108,6.9406,0.164
109,7.0264,0.1649
110,7.1932,0.1629
111,6.4138,0.1723
112,6.0198,0.1811
113,6.0411,0.1808
114,6.158,0.1793
115,6.8355,0.1729
116,7.1875,0.1663
117,7.2147,0.1691
118,7.2295,0.1684
119,7.6406,0.162
120,7.0516,0.1688
121,7.0882,0.1693
122,6.6597,0.1765
123,6.9968,0.1683
124,6.537,0.1758
125,6.5854,0.173
126,6.6838,0.1717
127,6.8642,0.1693
128,7.081,0.1652
129,7.1591,0.1633
130,7.0711,0.1656
131,7.0741,0.1661
132,7.2449,0.1647
133,7.4387,0.1596
134,7.3204,0.1653
135,7.2296,0.1619
136,6.8794,0.1672
137,6.9485,0.1657
138,6.8965,0.1675
139,6.548,0.1764
140,7.0621,0.1697
141,6.6279,0.1765
142,6.3975,0.1792
143,6.5325,0.177
144,6.7138,0.174
145,6.6464,0.1757
146,6.7072,0.1757
147,6.76,0.1741
148,6.8601,0.175
149,6.6271,0.1745
150,6.5784,0.1769
151,6.6403,0.1758
152,6.7764,0.1733
153,6.7779,0.1747
154,6.81,0.1735
155,7.2651,0.1652
156,7.3279,0.1653
157,7.4176,0.1645
158,7.1306,0.1719
159,7.3407,0.1652
160,7.5054,0.1614
161,7.2291,0.1629
162,7.1817,0.1669
163,6.9807,0.1709
164,7.103,0.1685
165,7.1433,0.1666
166,7.1543,0.167
167,7.3575,0.1645
168,7.358,0.1645
169,7.0274,0.1675
170,7.0716,0.1672
171,7.0246,0.165
172,7.2448,0.1623
173,7.3764,0.1605
174,7.3728,0.1605
175,7.087,0.1645
176,6.6142,0.1721
177,6.6005,0.1729
178,6.7459,0.1724
179,6.9325,0.1672
180,6.6481,0.1705
181,6.7402,0.1688
182,6.8442,0.1672
183,6.9993,0.1677
184,7.0754,0.167
185,7.0557,0.1667
186,7.0284,0.1676
187,7.1007,0.1666
188,7.1264,0.1667
189,7.0674,0.167
190,6.7304,0.1723
191,6.9406,0.1692
192,6.846,0.1694
193,6.73,0.1698
194,6.6876,0.1716
195,6.7021,0.172
196,6.9615,0.1673
197,7.005,0.1669
198,6.8511,0.171
199,6.9601,0.1693
200,6.9624,0.1699
201,7.0623,0.1686
202,7.0952,0.1664
203,6.9979,0.17
204,7.0012,0.1695
205,6.9927,0.1684
206,7.0409,0.1692
207,6.9784,0.1668
208,7.0923,0.1668
209,7.0787,0.1664
210,7.0611,0.1672
211,7.0112,0.1666
212,7.0583,0.1666
213,7.1392,0.1653
214,7.1973,0.165
215,7.2763,0.1625
216,7.3232,0.1609
217,6.9921,0.1672
218,6.7141,0.1718
219,6.7675,0.1713
220,6.825,0.1706
221,6.8711,0.1691
222,6.8711,0.1702
223,6.9423,0.1706
224,6.9971,0.1696
225,6.8317,0.1728
226,6.8325,0.1724
227,6.7931,0.1697
228,6.9854,0.1693
229,7.0182,0.1684
230,6.92,0.1693
231,6.6542,0.1756
232,6.7242,0.1736
233,6.8392,0.1707
234,6.7152,0.1722
235,7.0326,0.168
236,7.0334,0.168
237,6.8394,0.1711
238,6.697,0.1754
239,6.6852,0.1747
240,6.742,0.1747
241,6.7408,0.174
242,6.8486,0.1718
243,6.78,0.1715
244,6.9433,0.1684
245,7.1792,0.1667
246,7.2921,0.1646
247,7.0165,0.1693
248,7.2497,0.1648
249,7.3215,0.163
250,7.2029,0.1671
251,7.2827,0.1649
252,7.383,0.1646
253,7.5366,0.1619
254,7.5342,0.1617
255,7.6741,0.1585
256,7.7523,0.1571
257,7.7925,0.1561
258,7.7404,0.1575
259,7.7466,0.1592
260,7.8307,0.1576
261,7.8891,0.156
262,7.4528,0.1617
263,7.598,0.1584
264,7.3601,0.1616
265,7.1792,0.164
266,7.1616,0.166
267,7.0752,0.1661
268,7.1908,0.1613
269,7.0666,0.1665
270,7.1391,0.165
271,7.2188,0.166
272,7.3216,0.1617
273,7.2655,0.1628
274,7.2741,0.1643
275,7.0974,0.1667
276,6.9375,0.1686
277,6.9693,0.1664
278,6.9944,0.1674
279,7.0958,0.1669
280,7.137,0.1666
281,7.1285,0.1657
282,7.2221,0.164
283,7.3167,0.1616
284,7.1189,0.1649
285,7.1526,0.1648
286,7.2362,0.1612
287,7.1353,0.1655
288,7.1318,0.1652
289,7.179,0.1665
290,7.1191,0.165
291,7.1665,0.1654
292,7.1365,0.1673
293,6.9543,0.1663
294,7.003,0.1654
295,7.1349,0.1626
296,7.0873,0.1637
297,7.2272,0.1612
298,7.2899,0.1608
299,7.3767,0.1597
300,7.2779,0.1618
