Round,Aggregated Test Loss,Aggregated Test Acc
1,4.4698,0.0492
2,4.5524,0.0691
3,4.3112,0.0657
4,4.2681,0.0711
5,4.0742,0.1024
6,4.7565,0.1239
7,4.7884,0.1429
8,4.4429,0.1458
9,4.6446,0.1077
10,4.5306,0.1479
11,4.5095,0.1656
12,4.3533,0.1719
13,4.1274,0.1666
14,4.0995,0.1773
15,3.9752,0.1545
16,4.1375,0.1461
17,3.9588,0.1778
18,4.2891,0.1818
19,4.1686,0.1662
20,3.9071,0.1955
21,4.0055,0.2054
22,4.103,0.1989
23,3.8976,0.1956
24,3.8574,0.2071
25,4.0288,0.2032
26,3.9306,0.1822
27,3.7839,0.1906
28,3.8109,0.1906
29,3.7161,0.2078
30,3.9574,0.2037
31,3.8094,0.1875
32,3.807,0.1773
33,3.8262,0.1976
34,3.7332,0.204
35,3.673,0.1861
36,3.738,0.182
37,3.7427,0.2069
38,3.9376,0.2099
39,3.8193,0.186
40,3.7657,0.2044
41,3.6321,0.2024
42,3.6087,0.1759
43,3.6877,0.1862
44,3.6769,0.1804
45,3.7768,0.1962
46,3.7552,0.1899
47,3.6493,0.201
48,3.6707,0.2179
49,3.6104,0.2073
50,3.5953,0.2121
51,3.5629,0.2147
52,3.58,0.1951
53,3.5655,0.2166
54,3.6808,0.2286
55,3.7018,0.228
56,3.8153,0.2359
57,3.6846,0.2356
58,3.8244,0.2386
59,3.6672,0.2356
60,3.7249,0.2392
61,3.7604,0.2376
62,3.6826,0.2382
63,3.5614,0.2306
64,3.6256,0.2359
65,3.6552,0.2412
66,3.707,0.249
67,3.7611,0.2406
68,3.624,0.2391
69,3.6361,0.2348
70,3.5506,0.242
71,3.4774,0.2465
72,3.417,0.2508
73,3.5049,0.2508
74,3.5403,0.2533
75,3.5842,0.251
76,3.5811,0.2435
77,3.5001,0.2521
78,3.4469,0.2545
79,3.55,0.2586
80,3.4855,0.259
81,3.5608,0.2541
82,3.5103,0.2554
83,3.4352,0.2581
84,3.4131,0.2459
85,3.3848,0.2564
86,3.4536,0.2575
87,3.4822,0.2574
88,3.4531,0.2589
89,3.5195,0.2559
90,3.457,0.2564
91,3.4727,0.2531
92,3.4171,0.264
93,3.3616,0.2568
94,3.4116,0.2617
95,3.4186,0.2553
96,3.3545,0.2584
97,3.394,0.26
98,3.4807,0.2619
99,3.3999,0.2645
100,3.3561,0.2675
101,3.3583,0.2648
102,3.4565,0.267
103,3.3551,0.2633
104,3.3504,0.2719
105,3.3486,0.2724
106,3.3681,0.2707
107,3.3438,0.2724
108,3.3289,0.2666
109,3.2773,0.2766
110,3.3533,0.2782
111,3.334,0.2742
112,3.3495,0.2733
113,3.3657,0.2827
114,3.3044,0.2845
115,3.3595,0.2849
116,3.3753,0.2851
117,3.3519,0.2844
118,3.3502,0.2878
119,3.3111,0.2797
120,3.307,0.2783
121,3.2047,0.2762
122,3.193,0.2777
123,3.2305,0.2798
124,3.2694,0.2833
125,3.2871,0.2841
126,3.2846,0.2862
127,3.2389,0.2808
128,3.2544,0.2837
129,3.2403,0.2803
130,3.2274,0.2804
131,3.2372,0.2834
132,3.1934,0.2843
133,3.1614,0.2855
134,3.1937,0.2884
135,3.1928,0.2869
136,3.1857,0.2828
137,3.1701,0.2798
138,3.1632,0.2821
139,3.2102,0.2812
140,3.2262,0.2834
141,3.2137,0.2814
142,3.1812,0.2831
143,3.1759,0.2852
144,3.1952,0.2892
145,3.1898,0.2917
146,3.2085,0.2897
147,3.2425,0.2907
148,3.1985,0.287
149,3.1598,0.2871
150,3.2095,0.2875
151,3.2057,0.292
152,3.1684,0.2938
153,3.1833,0.2937
154,3.1765,0.2932
155,3.1859,0.2936
156,3.1818,0.2964
157,3.1699,0.2952
158,3.161,0.296
159,3.1519,0.2975
160,3.1614,0.2963
161,3.163,0.2919
162,3.1552,0.2938
163,3.1629,0.297
164,3.1676,0.2926
165,3.1739,0.2942
166,3.1841,0.2947
167,3.1671,0.2959
168,3.138,0.2951
169,3.1548,0.2989
170,3.1215,0.296
171,3.1154,0.2929
172,3.1026,0.2949
173,3.1112,0.2986
174,3.1272,0.2988
175,3.1087,0.2995
176,3.1277,0.3
177,3.1526,0.2994
178,3.1432,0.2993
179,3.1692,0.2989
180,3.1424,0.2957
181,3.1462,0.295
182,3.171,0.2968
183,3.1515,0.299
184,3.1413,0.3012
185,3.1799,0.3006
186,3.1988,0.2991
187,3.1432,0.2999
188,3.1097,0.3002
189,3.1116,0.2992
190,3.1375,0.2996
191,3.1667,0.3004
192,3.1656,0.3012
193,3.1721,0.2998
194,3.1688,0.2977
195,3.1779,0.2985
196,3.1548,0.2986
197,3.152,0.3008
198,3.1404,0.2999
199,3.1739,0.2996
200,3.1263,0.3018
201,3.139,0.3008
202,3.1537,0.299
203,3.1667,0.2995
204,3.1478,0.3003
205,3.1217,0.2978
206,3.1357,0.3012
207,3.1265,0.3014
208,3.1096,0.3008
209,3.12,0.3022
210,3.112,0.3023
211,3.0817,0.3014
212,3.0778,0.3021
213,3.0642,0.3025
214,3.0606,0.3021
215,3.073,0.3026
216,3.0811,0.3031
217,3.0779,0.303
218,3.079,0.3035
219,3.0895,0.3046
220,3.093,0.3039
221,3.0741,0.3029
222,3.0731,0.3033
223,3.0631,0.3039
224,3.0644,0.302
225,3.0803,0.3007
226,3.0956,0.3018
227,3.1038,0.3035
228,3.0892,0.3052
229,3.0943,0.3053
230,3.096,0.3062
231,3.1161,0.3032
232,3.1139,0.3045
233,3.1059,0.3064
234,3.0974,0.3068
235,3.0897,0.3071
236,3.0564,0.3077
237,3.074,0.3073
238,3.0635,0.3068
239,3.0637,0.3078
240,3.0677,0.3063
241,3.0552,0.3074
242,3.0615,0.3096
243,3.0724,0.3105
244,3.0865,0.31
245,3.0867,0.3094
246,3.0934,0.3085
247,3.0945,0.3087
248,3.0676,0.3108
249,3.0655,0.3096
250,3.0691,0.3102
251,3.0757,0.3065
252,3.0755,0.3067
253,3.0825,0.3063
254,3.0613,0.3101
255,3.0706,0.3084
256,3.0854,0.3092
