Round,Aggregated Test Loss,Aggregated Test Acc
1,2.2811,0.1865
2,2.1022,0.2537
3,2.1549,0.2767
4,2.0737,0.2377
5,1.8673,0.3231
6,1.8242,0.3311
7,1.8838,0.3544
8,2.0016,0.3661
9,2.1178,0.3401
10,1.9098,0.392
11,1.6535,0.4027
12,1.8393,0.4187
13,1.6148,0.4171
14,1.4962,0.433
15,1.5406,0.4213
16,1.7717,0.4068
17,1.5812,0.4209
18,1.5808,0.4241
19,1.4139,0.4833
20,1.5933,0.4102
21,1.51,0.4541
22,1.65,0.4145
23,1.5735,0.4472
24,1.4308,0.4779
25,1.4123,0.4955
26,1.3847,0.4918
27,1.3851,0.501
28,1.3571,0.5095
29,1.4969,0.4788
30,1.4273,0.4965
31,1.4485,0.5061
32,1.4137,0.5079
33,1.3945,0.5009
34,1.2862,0.5467
35,1.3,0.5363
36,1.3431,0.5204
37,1.4178,0.5016
38,1.3357,0.5086
39,1.3042,0.5458
40,1.3952,0.5137
41,1.3663,0.5228
42,1.3907,0.5048
43,1.2914,0.5424
44,1.238,0.5594
45,1.3927,0.5203
46,1.2751,0.5472
47,1.2653,0.5423
48,1.4343,0.4785
49,1.4769,0.4782
50,1.303,0.5342
51,1.2086,0.5736
52,1.2536,0.5612
53,1.3367,0.5399
54,1.2833,0.5446
55,1.2351,0.5612
56,1.2439,0.5642
57,1.2001,0.5741
58,1.2311,0.5644
59,1.2005,0.5785
60,1.2614,0.5616
61,1.2215,0.5728
62,1.2724,0.5487
63,1.2258,0.5684
64,1.2206,0.577
65,1.2357,0.5647
66,1.2372,0.5664
67,1.1891,0.5856
68,1.2112,0.5836
69,1.1738,0.5991
70,1.1857,0.5893
71,1.157,0.6009
72,1.2161,0.5885
73,1.2205,0.5752
74,1.1996,0.5904
75,1.2289,0.5796
76,1.2056,0.5886
77,1.237,0.5792
78,1.1919,0.5832
79,1.1615,0.5939
80,1.1738,0.5907
81,1.1608,0.6008
82,1.1366,0.607
83,1.1936,0.5869
84,1.1842,0.5929
85,1.1463,0.5956
86,1.1477,0.5997
87,1.1914,0.5872
88,1.148,0.606
89,1.1305,0.6083
90,1.1602,0.6081
91,1.1779,0.6001
92,1.1698,0.6001
93,1.1562,0.6
