Round,Aggregated Test Loss,Aggregated Test Acc
1,2.2982,0.229
2,2.1838,0.2113
3,2.1017,0.2878
4,1.9099,0.3052
5,1.7712,0.3476
6,1.9296,0.3311
7,1.8265,0.3274
8,1.8798,0.2947
9,1.8302,0.331
10,1.8232,0.3423
11,1.7054,0.3993
12,1.9903,0.3796
13,1.5747,0.4301
14,1.6086,0.4316
15,1.913,0.4162
16,1.7036,0.4375
17,1.6579,0.4389
18,2.1137,0.3997
19,1.6205,0.4343
20,2.2727,0.4068
21,2.1242,0.4366
22,1.8685,0.4485
23,1.7358,0.4561
24,1.7911,0.4261
25,1.5512,0.4664
26,1.645,0.445
27,1.4557,0.4846
28,1.4719,0.4957
29,1.3803,0.5091
30,2.2864,0.4351
31,1.8142,0.4465
32,2.7748,0.4261
33,2.5571,0.4336
34,1.5085,0.4892
35,1.6909,0.4625
36,1.6369,0.4635
37,1.6323,0.4575
38,1.3009,0.5421
39,1.3944,0.5214
40,1.3607,0.5237
41,1.4067,0.5219
42,1.3974,0.5161
43,1.3767,0.5233
44,1.421,0.531
45,1.3268,0.5428
46,1.4412,0.5038
47,1.5357,0.4966
48,1.6297,0.4577
49,1.4814,0.5
50,1.5141,0.4863
51,1.862,0.4501
52,1.6714,0.4847
53,1.7103,0.4727
54,1.8253,0.4621
55,1.7656,0.4799
56,1.7356,0.4784
57,1.6835,0.4823
58,1.6573,0.4854
59,1.7883,0.4802
60,1.7306,0.4885
61,2.3224,0.4596
62,2.3613,0.4541
63,2.2497,0.4447
64,1.5828,0.529
65,1.5553,0.5242
66,1.4878,0.5292
67,1.5992,0.514
68,1.8313,0.5012
69,1.9303,0.4909
70,1.7295,0.5028
71,1.7986,0.4883
72,1.8623,0.4944
73,1.9148,0.4751
74,1.7805,0.4977
75,2.0936,0.4831
76,1.9682,0.4702
77,2.005,0.4624
78,1.8715,0.4818
79,1.8094,0.4911
80,1.6546,0.4998
81,1.6546,0.4974
82,1.4221,0.5422
83,1.4372,0.5366
84,1.3951,0.5519
85,1.3711,0.5467
86,1.4451,0.5442
87,1.7455,0.5115
88,1.72,0.5106
89,1.4586,0.5425
90,1.3616,0.5667
91,1.3912,0.5541
92,1.4309,0.5437
93,1.3546,0.557
94,1.3587,0.5623
95,1.3975,0.5529
96,1.4533,0.5459
97,1.5052,0.5364
98,1.309,0.5739
99,1.3891,0.5697
100,1.4324,0.561
101,1.3978,0.5639
102,1.3677,0.5682
103,1.3626,0.5689
104,1.2674,0.5815
105,1.2452,0.5861
106,1.2332,0.5868
107,1.24,0.5786
108,1.3172,0.5717
109,1.3316,0.5652
110,1.5022,0.5523
111,1.463,0.5575
112,1.4821,0.5501
113,1.4382,0.554
114,1.4466,0.5565
115,1.4544,0.5532
116,1.3449,0.5713
117,1.3046,0.5728
118,1.2662,0.587
119,1.2615,0.5839
120,1.2646,0.5872
121,1.2432,0.589
122,1.2421,0.584
123,1.2726,0.5778
124,1.216,0.5936
125,1.2324,0.5911
126,1.2249,0.5876
127,1.337,0.5696
128,1.3022,0.5719
129,1.2788,0.5744
130,1.3315,0.569
131,1.2576,0.5813
132,1.2702,0.5775
133,1.2763,0.5797
134,1.2958,0.5751
135,1.2756,0.5712
136,1.261,0.5774
137,1.2705,0.5771
138,1.2633,0.5749
139,1.2406,0.586
140,1.1967,0.5906
141,1.1864,0.5989
142,1.2146,0.598
143,1.3041,0.5818
144,1.3556,0.578
145,1.3017,0.5896
146,1.3036,0.5899
147,1.2818,0.5941
148,1.2822,0.5929
149,1.2661,0.5967
150,1.3083,0.5908
151,1.285,0.5936
152,1.2722,0.5997
153,1.2824,0.5963
154,1.2583,0.5984
155,1.2643,0.5934
156,1.3063,0.5808
157,1.2876,0.5942
158,1.2695,0.6003
159,1.2679,0.5949
160,1.2624,0.5993
161,1.2329,0.6037
162,1.2385,0.604
163,1.2378,0.6016
164,1.2828,0.596
165,1.3584,0.5833
166,1.3232,0.591
167,1.3165,0.5869
168,1.3386,0.5847
169,1.3803,0.5821
170,1.3652,0.5845
171,1.3463,0.5858
172,1.3362,0.5845
173,1.3106,0.5892
174,1.2994,0.5911
175,1.2984,0.592
176,1.2728,0.5941
177,1.2518,0.5992
178,1.229,0.6029
179,1.2135,0.6053
180,1.1965,0.6076
181,1.1942,0.6056
182,1.1939,0.6048
183,1.1969,0.6048
184,1.1884,0.6062
185,1.1845,0.6073
186,1.1601,0.6148
187,1.1811,0.6118
188,1.1892,0.614
189,1.1893,0.6107
190,1.2095,0.6103
191,1.199,0.6152
192,1.1799,0.6161
