Round,Aggregated Test Loss,Aggregated Test Acc
1,2.2238,0.209
2,2.0104,0.2837
3,1.8648,0.3077
4,1.672,0.3831
5,1.6499,0.3833
6,1.7237,0.3617
7,1.58,0.419
8,1.6647,0.4133
9,1.5664,0.4169
10,1.4848,0.4731
11,1.4315,0.4872
12,1.3885,0.503
13,1.3944,0.5148
14,1.3499,0.503
15,1.368,0.5167
16,1.5723,0.4499
17,1.3355,0.5163
18,1.3141,0.5282
19,1.3303,0.5382
20,1.3411,0.5401
21,1.2398,0.5661
22,1.3264,0.5352
23,1.2422,0.5517
24,1.2412,0.5686
25,1.3424,0.5342
26,1.216,0.5736
27,1.2602,0.5431
28,1.1574,0.5957
29,1.1227,0.6111
30,1.1432,0.6043
31,1.2065,0.5842
32,1.2334,0.5749
33,1.1521,0.6053
34,1.1055,0.62
35,1.1381,0.6099
36,1.1742,0.5954
37,1.1438,0.6127
38,1.1265,0.6192
39,1.1347,0.6219
40,1.1274,0.6188
41,1.0592,0.6294
42,1.0831,0.6297
43,1.0602,0.6372
44,1.0974,0.6236
45,1.0822,0.6329
46,1.0796,0.6342
47,1.2001,0.5963
48,1.0939,0.6318
49,1.0921,0.6367
50,1.1203,0.6248
51,1.1129,0.6303
52,1.1182,0.642
53,1.0406,0.6528
54,1.0317,0.6431
55,1.0151,0.6517
56,1.0437,0.6377
57,1.0456,0.6444
58,1.0006,0.6522
59,1.0792,0.6445
60,1.0184,0.6602
61,1.0381,0.6595
62,1.0779,0.6481
63,1.04,0.6466
64,1.0141,0.6585
65,1.0214,0.6594
66,1.0314,0.6516
67,0.9994,0.6521
68,1.0124,0.6488
69,1.013,0.6542
70,1.051,0.6439
71,1.0046,0.6566
72,1.0471,0.6514
73,0.9878,0.6608
74,0.9801,0.6573
75,0.9795,0.6562
76,1.003,0.6522
77,0.9725,0.6619
78,0.9762,0.6646
79,0.9701,0.6683
80,0.9925,0.6733
81,1.0317,0.6669
82,1.0009,0.6669
83,1.0068,0.6677
84,0.9864,0.6647
85,0.9538,0.6748
86,0.9625,0.6746
87,0.9616,0.6696
88,0.9546,0.67
89,0.9708,0.6667
90,0.9547,0.6776
91,0.9611,0.671
92,0.9357,0.6787
93,0.9562,0.675
94,0.9564,0.68
95,0.9766,0.6747
96,0.9651,0.675
97,0.9454,0.6785
98,0.9547,0.6718
99,0.9481,0.6781
100,0.9293,0.6822
101,0.9358,0.6828
102,0.9297,0.6873
103,0.9329,0.6855
104,0.9394,0.685
105,0.9312,0.6861
106,0.9455,0.683
107,0.9435,0.6812
108,0.9511,0.6811
109,0.9537,0.6804
110,0.9389,0.6842
111,0.9415,0.6819
112,0.94,0.6808
113,0.9303,0.6829
114,0.9246,0.6835
115,0.9173,0.6847
116,0.9285,0.6842
117,0.9374,0.6803
118,0.9234,0.6836
119,0.9344,0.6804
120,0.9127,0.6886
121,0.9113,0.6897
122,0.9163,0.6834
123,0.913,0.6866
124,0.9211,0.6892
125,0.9118,0.6877
126,0.9312,0.6858
127,0.9212,0.6824
128,0.919,0.6798
129,0.9284,0.6891
130,0.9185,0.6916
131,0.9276,0.6895
132,0.9119,0.6926
133,0.9185,0.6949
134,0.9324,0.6941
135,0.9344,0.6938
136,0.9227,0.6935
137,0.9254,0.6927
138,0.9393,0.6891
139,0.9187,0.696
140,0.9153,0.6947
141,0.9157,0.6962
142,0.9189,0.6947
143,0.9262,0.6934
144,0.9262,0.6934
145,0.9446,0.6903
146,0.9564,0.6891
147,0.9413,0.6931
148,0.9209,0.6989
149,0.9214,0.6975
150,0.9285,0.6948
151,0.9241,0.6942
152,0.9167,0.6955
153,0.9161,0.6964
154,0.9321,0.69
155,0.9281,0.6905
156,0.9207,0.6902
157,0.9071,0.6966
158,0.9111,0.6952
159,0.9066,0.6945
160,0.9066,0.6966
161,0.9046,0.6915
162,0.9045,0.695
163,0.9085,0.6934
164,0.916,0.6924
165,0.9111,0.6937
166,0.9198,0.693
167,0.9292,0.6945
168,0.9357,0.693
169,0.9267,0.6928
170,0.9224,0.6932
171,0.9151,0.6985
172,0.9238,0.6947
173,0.9348,0.6947
174,0.9175,0.697
175,0.9132,0.6974
176,0.9138,0.6998
177,0.9183,0.7015
178,0.9104,0.6997
179,0.9046,0.7004
180,0.9106,0.7008
181,0.9161,0.7006
182,0.9074,0.7024
183,0.9022,0.7015
184,0.909,0.7028
185,0.9167,0.7015
186,0.9119,0.7037
187,0.8971,0.7013
188,0.8963,0.702
189,0.9007,0.7051
190,0.9017,0.705
191,0.9045,0.7048
192,0.9035,0.7046
193,0.9015,0.7029
194,0.9049,0.7022
195,0.9106,0.7015
196,0.9133,0.7021
197,0.9087,0.7059
198,0.9098,0.7044
199,0.8975,0.7045
200,0.9027,0.7037
201,0.8965,0.7024
202,0.8933,0.7037
203,0.8915,0.7039
204,0.8931,0.7058
205,0.8889,0.7067
206,0.8838,0.7061
207,0.8889,0.7057
208,0.8935,0.7038
209,0.8859,0.7059
210,0.8885,0.7044
211,0.8919,0.704
212,0.8884,0.7047
213,0.892,0.7055
214,0.8935,0.7038
215,0.8824,0.7049
216,0.8856,0.7042
217,0.8926,0.7055
218,0.8932,0.7041
219,0.8926,0.7021
220,0.8929,0.7024
221,0.8939,0.7021
222,0.8971,0.7026
223,0.891,0.7061
224,0.8851,0.705
225,0.8874,0.7045
226,0.896,0.7032
227,0.8981,0.7025
