Round,Aggregated Test Loss,Aggregated Test Acc
1,5.751,0.0224
2,6.1879,0.0342
3,5.8536,0.0625
4,7.0122,0.0662
5,5.7602,0.0847
6,7.1362,0.0824
7,7.4727,0.0922
8,6.3771,0.1044
9,6.4608,0.1243
10,6.8731,0.1139
11,7.2578,0.1247
12,6.4863,0.1289
13,7.4765,0.1266
14,6.7132,0.1252
15,6.394,0.1443
16,6.98,0.1456
17,6.9624,0.1508
18,6.3776,0.1446
19,5.937,0.1521
20,6.4885,0.1488
21,6.8281,0.1618
22,6.6444,0.1714
23,5.8578,0.1692
24,5.8229,0.1681
25,6.3678,0.165
26,5.9881,0.1624
27,5.5676,0.1718
28,5.8821,0.1649
29,5.88,0.1701
30,5.6491,0.1831
31,5.7493,0.1833
32,5.7303,0.1805
33,6.2112,0.1876
34,5.9876,0.1919
35,6.2918,0.1759
36,5.757,0.1879
37,6.1461,0.1599
38,6.3798,0.1553
39,6.25,0.1702
40,5.8469,0.1771
41,6.1606,0.1702
42,5.6523,0.1817
43,6.0029,0.1881
44,6.0936,0.1927
45,5.6885,0.1938
46,5.8629,0.1937
47,5.716,0.2041
48,5.9682,0.2013
49,6.2684,0.1985
50,5.989,0.1965
51,6.158,0.1979
52,6.2366,0.1997
53,5.9337,0.2089
54,5.9193,0.2052
55,6.1019,0.2056
56,5.5607,0.2061
57,5.7624,0.2134
58,5.9257,0.2115
59,5.6489,0.2075
60,5.5939,0.2042
61,5.7816,0.2076
62,5.8422,0.215
63,5.473,0.2214
64,5.4951,0.2081
65,5.4953,0.2078
66,5.6602,0.2169
67,5.8458,0.2091
68,5.596,0.22
69,5.9428,0.2131
70,5.9119,0.2138
71,5.6245,0.218
72,5.519,0.2195
73,5.4734,0.2211
74,5.5019,0.2189
75,5.536,0.2215
76,5.3504,0.224
77,5.4944,0.2206
78,5.5691,0.2243
79,5.5831,0.2173
80,5.5054,0.2193
81,5.5837,0.2209
82,5.4681,0.2219
83,5.545,0.2235
84,5.7312,0.2246
85,5.8996,0.2241
86,5.6985,0.2323
87,5.4765,0.2344
88,5.4734,0.2272
89,5.5362,0.2251
90,5.7714,0.2215
91,5.6475,0.2278
92,5.6282,0.227
93,5.4192,0.2257
94,5.5967,0.2279
95,5.4841,0.2314
96,5.455,0.2321
97,5.7537,0.2349
98,5.8503,0.2366
99,5.7305,0.2331
100,5.4936,0.2335
101,5.518,0.2287
102,5.6791,0.2273
103,5.688,0.231
104,5.7267,0.2259
105,5.5025,0.2318
106,5.4708,0.2268
107,5.4835,0.2215
108,5.4007,0.2227
109,5.512,0.227
110,5.4575,0.227
111,5.4115,0.2258
112,5.5343,0.2331
113,5.5633,0.2273
114,5.6784,0.2295
115,5.8011,0.2198
116,5.6891,0.2258
117,5.8485,0.2287
118,5.662,0.2287
119,5.5953,0.2309
120,5.4542,0.2334
121,5.3987,0.2345
122,5.403,0.2408
123,5.3982,0.232
124,5.3854,0.2366
125,5.5227,0.2347
126,5.5776,0.2377
127,5.5307,0.2376
128,5.5327,0.2301
129,5.5587,0.2347
130,5.5275,0.2333
131,5.5349,0.2364
132,5.4828,0.2356
133,5.5509,0.2363
134,5.4973,0.2346
135,5.4438,0.2341
136,5.3934,0.2381
137,5.4009,0.2374
138,5.3929,0.2322
139,5.4293,0.2274
140,5.4394,0.2354
141,5.4373,0.2357
142,5.3368,0.2373
143,5.4021,0.2388
144,5.42,0.2368
145,5.4559,0.2347
146,5.3959,0.2353
147,5.4468,0.2364
148,5.4038,0.2357
149,5.4393,0.2373
150,5.4086,0.2363
151,5.389,0.2376
152,5.3685,0.2379
153,5.3705,0.2347
154,5.3559,0.2333
155,5.3025,0.2354
156,5.244,0.2375
