Round,Aggregated Test Loss,Aggregated Test Acc
1,6.0283,0.022
2,7.3011,0.0399
3,7.5432,0.0637
4,7.4081,0.0748
5,6.4628,0.1018
6,6.8805,0.108
7,6.7509,0.1047
8,7.6608,0.0968
9,7.3058,0.121
10,8.5134,0.0908
11,7.1959,0.113
12,7.2911,0.1404
13,7.2913,0.1334
14,6.7414,0.1449
15,6.5115,0.1444
16,7.8301,0.1325
17,8.6307,0.1425
18,6.9314,0.1423
19,6.9463,0.1404
20,7.5807,0.1565
21,6.975,0.1557
22,7.3953,0.1349
23,6.99,0.1511
24,6.4846,0.1552
25,7.7433,0.158
26,7.0864,0.1442
27,6.9174,0.144
28,6.3559,0.1608
29,6.7413,0.1548
30,6.9693,0.1685
31,6.3094,0.1773
32,6.058,0.1798
33,6.4453,0.171
34,7.1433,0.1569
35,6.3185,0.1653
36,6.344,0.1667
37,6.1291,0.1724
38,6.6471,0.1796
39,6.4984,0.1855
40,6.2772,0.1884
41,6.5055,0.1898
42,7.0338,0.1858
43,6.2236,0.1878
44,6.616,0.1826
45,6.3031,0.1627
46,6.5323,0.186
47,5.829,0.1889
48,6.0427,0.1856
49,6.1714,0.173
50,6.0289,0.1891
51,5.9435,0.1952
52,5.6739,0.1939
53,6.3717,0.1994
54,5.5857,0.1989
55,5.6676,0.1959
56,5.6398,0.1966
57,6.0986,0.1929
58,6.6225,0.2052
59,6.7774,0.1922
60,7.4087,0.1973
61,6.328,0.2016
62,6.3895,0.1855
63,6.8532,0.1966
64,6.7688,0.2041
65,5.9573,0.2109
66,5.7506,0.2061
67,5.8107,0.2085
68,6.0151,0.1911
69,6.5939,0.1987
70,5.7104,0.2082
71,6.3534,0.2097
72,6.3746,0.2058
73,6.0705,0.2164
74,5.7741,0.217
75,5.4435,0.2164
76,5.6047,0.2148
77,5.543,0.2134
78,6.2538,0.2115
79,5.4316,0.2193
80,6.2425,0.2181
81,5.8347,0.218
82,5.469,0.2222
83,5.5822,0.2195
84,5.7023,0.2201
85,5.8606,0.2226
86,5.9811,0.2257
87,6.2091,0.2233
88,6.283,0.2254
89,5.6346,0.2276
90,5.9108,0.2145
91,5.7195,0.2163
92,5.6958,0.2145
93,5.3477,0.2255
94,5.7913,0.2256
95,5.9171,0.2243
96,5.466,0.224
97,5.8823,0.2296
98,5.4513,0.2297
99,5.9601,0.2279
100,5.4538,0.2286
101,5.3945,0.2304
102,5.393,0.2303
103,5.8887,0.2226
104,5.4407,0.2284
105,5.3936,0.2312
106,5.796,0.2233
107,5.8038,0.2256
108,5.5812,0.2284
109,5.5251,0.2289
110,5.575,0.2318
111,5.8986,0.2286
112,5.5183,0.2297
113,5.8815,0.2313
114,5.5429,0.2306
115,6.0598,0.2292
116,6.011,0.2325
117,5.9872,0.2289
118,5.6548,0.2337
119,5.6807,0.2333
120,5.9027,0.2346
121,5.7151,0.2367
122,5.6354,0.2317
123,5.5282,0.2341
124,5.501,0.2342
125,5.4695,0.2298
126,5.5029,0.2323
127,5.3859,0.2342
128,5.4723,0.2305
129,5.4928,0.2339
130,5.4467,0.2295
