Round,Aggregated Test Loss,Aggregated Test Acc
1,6.1243,0.0311
2,7.7373,0.0382
3,6.7849,0.0427
4,6.7294,0.0473
5,7.7384,0.0541
6,7.5278,0.0603
7,6.0466,0.0886
8,6.4881,0.0764
9,6.8753,0.0851
10,6.661,0.0878
11,6.7648,0.0952
12,6.9453,0.0979
13,7.6636,0.0861
14,7.2008,0.0819
15,7.8938,0.0792
16,7.7113,0.0805
17,7.4952,0.087
18,7.5105,0.0869
19,6.8019,0.1079
20,6.1198,0.1201
21,6.3164,0.1203
22,6.9034,0.1024
23,6.6502,0.1102
24,6.813,0.1149
25,6.7844,0.1145
26,6.8808,0.1135
27,6.8711,0.115
28,6.6562,0.1224
29,6.8508,0.1168
30,6.514,0.1267
31,6.9072,0.1182
32,6.9137,0.118
33,7.0935,0.1159
34,7.2848,0.1155
35,7.1724,0.1183
36,6.6157,0.1231
37,7.2094,0.109
38,7.0458,0.1146
39,7.1276,0.1124
40,7.2647,0.1137
41,7.4129,0.1121
42,6.8432,0.1148
43,6.9769,0.113
44,7.0511,0.1131
45,7.0949,0.1151
46,7.1698,0.1152
47,7.0971,0.1144
48,7.524,0.0997
49,6.9872,0.1193
50,6.891,0.1173
51,6.5852,0.128
52,7.1251,0.1093
53,7.3849,0.1071
54,6.9328,0.1209
55,7.7419,0.1001
56,7.4062,0.1073
57,7.7344,0.1021
58,7.802,0.103
59,7.8102,0.1032
60,7.8603,0.1034
61,7.9855,0.0985
62,7.1594,0.1163
63,6.577,0.1326
64,6.7224,0.1301
65,6.603,0.1286
66,6.8495,0.1232
67,7.1004,0.1171
68,7.1721,0.1155
69,7.2678,0.113
70,7.2248,0.1182
71,7.2389,0.1176
72,7.5005,0.1098
73,7.3884,0.1129
74,6.8546,0.1252
75,6.6399,0.1302
76,6.662,0.135
77,6.8061,0.126
78,6.7351,0.136
79,6.8336,0.1326
80,7.0545,0.1271
81,7.0291,0.1279
82,7.3633,0.1184
83,7.3935,0.1166
84,7.8489,0.1105
85,7.5834,0.1142
86,7.2073,0.1218
87,7.3125,0.1162
88,7.4667,0.1166
89,7.5972,0.1152
90,7.7073,0.1129
91,7.304,0.1222
92,7.0577,0.1264
93,6.7612,0.1349
94,6.8241,0.1311
